name,value,year,last value,rank
Anthem,1636666,1,1636666,0
Super Smash Bros. Ultimate,724623,1,724623,1
Star Wars: The Rise of Skywalker,674352,1,674352,2
Bird Box,574129,1,574129,3
Game of Thrones,332394,1,332394,4
Netflix,321441,1,321441,5
Animal Crossing: New Horizons,287549,1,287549,6
Aquaman,255114,1,255114,7
Carcassonne: Tiles & Tactics,236349,1,236349,8
Stranger Things: Season 3,230836,1,230836,9
Watchmen: The Series,727432,2,#N/A,0
Kingdom Hearts III,702494,2,#N/A,1
Super Smash Bros. Ultimate,696627,2,724623,2
Bird Box,655759,2,574129,3
Captain Marvel,435744,2,#N/A,4
Game of Thrones,408273,2,332394,5
Avengers: Endgame,345900,2,#N/A,6
Marvel's Spider-Man,305212,2,#N/A,7
Glass,294205,2,#N/A,8
The Witcher,221483,2,#N/A,9
Spider-Man: Far From Home,2265276,3,#N/A,0
Mortal Kombat 11,780378,3,#N/A,1
Kingdom Hearts III,414990,3,702494,2
Glass,410693,3,294205,3
Super Smash Bros. Ultimate,331094,3,696627,4
Star Wars -- EA Vancouver Project,265424,3,#N/A,5
Netflix,248940,3,#N/A,6
Marvel's The Punisher: Season 2,237043,3,#N/A,7
True Detective,229516,3,#N/A,8
Marvel's The Punisher,228614,3,#N/A,9
Resident Evil,1946266,4,#N/A,0
Resident Evil 2,1306303,4,#N/A,1
Kingdom Hearts III,1235895,4,414990,2
Shazam!,633773,4,#N/A,3
Pokemon Detective Pikachu,627773,4,#N/A,4
"Pokemon: Let's Go, Pikachu!",604112,4,#N/A,5
Anthem,575672,4,#N/A,6
Metroid Prime 4,343873,4,#N/A,7
Super Smash Bros. Ultimate,292829,4,331094,8
Marvel's The Punisher,285210,4,228614,9
Kingdom Hearts III,1041390,5,1235895,0
The Batman,732497,5,#N/A,1
PlayStation 5,446556,5,#N/A,2
Super Smash Bros. Ultimate,351787,5,292829,3
Pokemon Trading Card Game Online,332718,5,#N/A,4
Resident Evil 2,315305,5,1306303,5
Alita: Battle Angel,291592,5,#N/A,6
Red Dead Redemption 2,219861,5,#N/A,7
Fast & Furious Presents: Hobbs & Shaw,211289,5,#N/A,8
"Pokemon: Let's Go, Pikachu!",202999,5,202999,9
Avengers: Endgame,1043842,6,#N/A,0
Apex Legends,789346,6,#N/A,1
Game of Thrones: Season 8,605711,6,#N/A,2
Criminal Minds,370113,6,#N/A,3
Nintendo Switch,330683,6,#N/A,4
Kingdom Hearts III,296260,6,1041390,5
Avengers [2018],282675,6,#N/A,6
"Extremely Wicked, Shockingly Evil and Vile",236970,6,#N/A,7
PlayStation 5,219889,6,446556,8
Adaptation,190480,6,#N/A,9
The Legend of Zelda: Link's Awakening,718593,7,#N/A,0
Jump Force,597183,7,#N/A,1
Apex Legends,570283,7,789346,2
Anthem,563134,7,#N/A,3
Ghost World,515982,7,#N/A,4
The Legend of Zelda: Breath of the Wild,397928,7,#N/A,5
Crackdown 3,382376,7,#N/A,6
Metro Exodus,326057,7,#N/A,7
The Legend of Zelda: A Link to the Past,308216,7,#N/A,8
Far Cry: New Dawn,290328,7,#N/A,9
Anthem,1093242,8,563134,0
The Batman,578804,8,#N/A,1
The Umbrella Academy,387592,8,#N/A,2
Samsung,374113,8,#N/A,3
Marvel's The Punisher,318393,8,#N/A,4
Captain Marvel,296490,8,#N/A,5
Crackdown 3,258074,8,382376,6
Apex Legends,257722,8,570283,7
Star Wars: The Rise of Skywalker,254085,8,#N/A,8
Red Dead Redemption 2,241979,8,#N/A,9
Anthem,1613466,9,1093242,0
Game of Thrones: Season 8,1532494,9,#N/A,1
Pokemon Sword,1529185,9,#N/A,2
Pokemon Shield,885192,9,#N/A,3
Nintendo Switch,636452,9,#N/A,4
Pokemon Detective Pikachu,626562,9,#N/A,5
Watchmen: The Series,525160,9,#N/A,6
Disney,297076,9,#N/A,7
Star Wars: The Rise of Skywalker,295448,9,254085,8
Academy Awards,280628,9,#N/A,9
Captain Marvel,1959570,10,#N/A,0
Game of Thrones,954899,10,#N/A,1
Game of Thrones: Season 8,726891,10,1532494,2
Devil May Cry 5,518840,10,#N/A,3
Anthem,453996,10,1613466,4
Marvel's Jessica Jones,413012,10,#N/A,5
Pokemon Detective Pikachu,339112,10,626562,6
Dungeons & Dragons,307940,10,#N/A,7
Pokemon Sword,301630,10,1529185,8
Days Gone,279846,10,#N/A,9
Captain Marvel,2534208,11,1959570,0
Avengers: Endgame,1393974,11,#N/A,1
Pokemon,1246707,11,#N/A,2
Tom Clancy's The Division 2,1094787,11,#N/A,3
Guardians of the Galaxy Vol. 3,378231,11,#N/A,4
"Love, Death and Robots: Season 1",373111,11,#N/A,5
Game of Thrones: Season 8,355783,11,726891,6
Other,219508,11,#N/A,7
Chokepoint,171622,11,#N/A,8
Devil May Cry 5,169432,11,518840,9
Wolverine,1270062,12,#N/A,0
Sekiro: Shadows Die Twice,1227070,12,#N/A,1
Avengers: Endgame,1136678,12,1393974,2
Google Stadia,874022,12,#N/A,3
Tom Clancy's The Division 2,721159,12,1094787,4
Captain Marvel,625575,12,2534208,5
Google,591157,12,#N/A,6
John Wick: Chapter 3 - Parabellum,388145,12,#N/A,7
Pet Sematary,329629,12,#N/A,8
Deadpool,307940,12,#N/A,9
Avengers: Endgame,1751174,13,1136678,0
Borderlands 3,718288,13,#N/A,1
Game of Thrones,527184,13,#N/A,2
Marvel's Jessica Jones,500582,13,#N/A,3
Apple,496571,13,#N/A,4
Shazam!,433718,13,#N/A,5
Marvel Comics,394456,13,#N/A,6
The Calm Before,358773,13,#N/A,7
Facebook.com,326856,13,#N/A,8
Assassin's Creed III,291317,13,#N/A,9
Avengers: Endgame,2496807,14,1751174,0
The Walking Dead,1492928,14,#N/A,1
Terminator: Dark Fate,1347263,14,#N/A,2
Game of Thrones,1148220,14,527184,3
Borderlands 3,561977,14,718288,4
Shazam!,359168,14,433718,5
Darkborn,330048,14,#N/A,6
Joker,296968,14,#N/A,7
Batman,262123,14,#N/A,8
Gotham,239589,14,#N/A,9
Star Wars: The Rise of Skywalker,1795680,15,#N/A,0
Star Wars Jedi: Fallen Order,1464206,15,#N/A,1
Game of Thrones,1360405,15,1148220,2
Avengers: Endgame,1316174,15,2496807,3
Disney Plus,586168,15,#N/A,4
Shazam!,474912,15,359168,5
Into the Badlands,467378,15,#N/A,6
Hellboy,428425,15,#N/A,7
Borderlands 3,291369,15,561977,8
Fortnite,223709,15,#N/A,9
Game of Thrones,1937956,16,1360405,0
Game of Thrones: Season 8,1571507,16,#N/A,1
Star Wars: The Rise of Skywalker,897615,16,1795680,2
Mortal Kombat 11,886737,16,#N/A,3
Star Wars Jedi: Fallen Order,884793,16,1464206,4
PlayStation 5,800683,16,#N/A,5
Winterfell,670012,16,#N/A,6
Star Wars: The Mandalorian,343939,16,#N/A,7
They Did What?,278328,16,#N/A,8
Thor: Ragnarok,266731,16,#N/A,9
Avengers: Endgame,3839193,17,#N/A,0
Game of Thrones: Season 8,1540342,17,1571507,1
Mortal Kombat 11,1330110,17,886737,2
Game of Thrones,906291,17,1937956,3
Days Gone,702663,17,#N/A,4
The Beginning...,323582,17,#N/A,5
A Knight of the Seven Kingdoms,290502,17,#N/A,6
Once Upon a Time in Hollywood,248088,17,#N/A,7
Gotham,228039,17,#N/A,8
Captain Marvel,185074,17,#N/A,9
Avengers: Endgame,6375664,18,3839193,0
Game of Thrones,3150417,18,906291,1
Sonic the Hedgehog: The Movie,1510550,18,#N/A,2
The Long Night,1468952,18,#N/A,3
Borderlands 3,978893,18,#N/A,4
Game of Thrones: Season 8,770345,18,1540342,5
Pokemon Detective Pikachu,517053,18,#N/A,6
Spider-Man: Far From Home,315336,18,#N/A,7
Xbox One X,203987,18,#N/A,8
Dark Phoenix,176667,18,#N/A,9
Avengers: Endgame,4234075,19,6375664,0
Game of Thrones,3266539,19,3150417,1
The Last of the Starks,1320612,19,#N/A,2
Spider-Man: Far From Home,1066234,19,315336,3
Pokemon Detective Pikachu,988176,19,517053,4
Game of Thrones: Season 8,736011,19,770345,5
Tom Clancy's Ghost Recon Breakpoint,473224,19,#N/A,6
Avengers: Infinity War,392739,19,#N/A,7
Star Wars: The Rise of Skywalker,334783,19,#N/A,8
Final Fantasy VII Remake,330307,19,#N/A,9
Game of Thrones,5024437,20,3266539,0
Avengers: Endgame,2686376,20,4234075,1
Game of Thrones: Season 8,2462476,20,736011,2
The Bells,1402670,20,#N/A,3
Marvel's Jessica Jones,1168036,20,#N/A,4
Pokemon Detective Pikachu,677826,20,988176,5
The Batman,656932,20,#N/A,6
Rage 2,492239,20,#N/A,7
Godzilla: King of the Monsters,345423,20,#N/A,8
Avatar 2,315056,20,#N/A,9
Game of Thrones,8056457,21,5024437,0
Avengers: Endgame,1910292,21,2686376,1
The Iron Throne,1557305,21,#N/A,2
Game of Thrones: Season 8,1038476,21,2462476,3
Star Wars: The Rise of Skywalker,662641,21,#N/A,4
PlayStation 5,422836,21,#N/A,5
Stranger Things: Season 3,414319,21,#N/A,6
Aladdin,398989,21,#N/A,7
Brightburn,385033,21,#N/A,8
Spider-Man: Far From Home,316559,21,#N/A,9
Game of Thrones,1310942,22,8056457,0
Star Wars: Episode IV -- A New Hope,1172301,22,#N/A,1
Anthem,829872,22,#N/A,2
Godzilla: King of the Monsters,713262,22,#N/A,3
Death Stranding,695470,22,#N/A,4
Marvel's Avengers,482215,22,#N/A,5
The Batman,386965,22,#N/A,6
Call of Duty: Modern Warfare,353454,22,#N/A,7
Swamp Thing,328668,22,#N/A,8
Avengers: Endgame,315786,22,1910292,9
Dark Phoenix,1115977,23,#N/A,0
Pokemon Sword,980106,23,#N/A,1
Star Wars Jedi: Fallen Order,662759,23,#N/A,2
Marvel's Jessica Jones,605916,23,#N/A,3
Swamp Thing,602659,23,328668,4
Godzilla: King of the Monsters,533830,23,713262,5
Pokemon Shield,439663,23,#N/A,6
Game of Thrones,390167,23,1310942,7
Final Fantasy VII Remake,273191,23,#N/A,8
Black Mirror,248050,23,#N/A,9
Marvel's Avengers,1819844,24,#N/A,0
Cyberpunk 2077,1402511,24,#N/A,1
Dark Phoenix,913678,24,1115977,2
Final Fantasy VII Remake,659251,24,273191,3
Xbox Series X,560130,24,#N/A,4
The Legend of Zelda: Breath of the Wild 2,522248,24,#N/A,5
Men in Black International,458237,24,#N/A,6
Star Wars Jedi: Fallen Order,450768,24,662759,7
Elden Ring,357129,24,#N/A,8
Game of Thrones,306299,24,390167,9
Final Fantasy VII Remake,774424,25,659251,0
Avengers: Endgame,538579,25,#N/A,1
Marvel's Jessica Jones,501110,25,#N/A,2
The Amazing Spider-Man [2018 - Current],362431,25,#N/A,3
Spider-Man: Far From Home,359968,25,#N/A,4
Keanu Reeves,356904,25,#N/A,5
J.J. Abrams,301808,25,#N/A,6
Cyberpunk 2077,270961,25,1402511,7
Marvel's Avengers,241658,25,1819844,8
Toy Story 4,241636,25,#N/A,9
Spider-Man: Far From Home,1094386,26,359968,0
Marvel's Jessica Jones,736731,26,501110,1
Avengers: Endgame,696350,26,538579,2
Game of Thrones,505477,26,#N/A,3
Toy Story 4,339141,26,241636,4
Super Mario Maker 2,315173,26,#N/A,5
Bloodstained: Ritual of the Night,250923,26,#N/A,6
The Sinking City,237250,26,#N/A,7
Final Fantasy VII Remake,228063,26,774424,8
Spider-Man: Into the Spider-Verse,225121,26,#N/A,9
The Witcher,3979423,27,#N/A,0
Spider-Man: Far From Home,1486312,27,1094386,1
Stranger Things,1152502,27,#N/A,2
The Walking Dead,665211,27,#N/A,3
The Lion King,475718,27,#N/A,4
Marvel's Jessica Jones,224999,27,736731,5
Marvel's Spider-Man,220527,27,#N/A,6
Star Wars Jedi: Fallen Order,214001,27,#N/A,7
Sea of Solitude,201029,27,#N/A,8
The Walking Dead #193,191829,27,#N/A,9
Spider-Man: Far From Home,1649767,28,1486312,0
Stranger Things,1386622,28,1152502,1
Marvel's Jessica Jones,977194,28,224999,2
Nintendo Switch Lite,657107,28,#N/A,3
Pokemon Sword,554415,28,#N/A,4
Nintendo Switch,490070,28,#N/A,5
Spider-Man 4 [Sam Raimi],488120,28,#N/A,6
Sonic the Hedgehog: The Movie,420200,28,#N/A,7
The Lion King,360664,28,475718,8
The Witcher,290384,28,3979423,9
Star Wars: The Rise of Skywalker,989608,29,#N/A,0
Game of Thrones,909988,29,#N/A,1
The Witcher,819531,29,290384,2
Terminator: Dark Fate,624510,29,#N/A,3
Star Trek: Picard,545755,29,#N/A,4
Black Panther 2,484930,29,#N/A,5
The Expanse,481785,29,#N/A,6
Spider-Man: Far From Home,476626,29,1649767,7
Marvel's Daredevil,453839,29,#N/A,8
Marvel Ultimate Alliance 3: The Black Order,423458,29,#N/A,9
Marvel's Thor: Love and Thunder,1201760,30,#N/A,0
Avengers: Endgame,639650,30,#N/A,1
Marvel's Blade,550057,30,#N/A,2
House of X,513649,30,#N/A,3
Marvel's Jessica Jones,494677,30,#N/A,4
Zombieland: Double Tap,478492,30,#N/A,5
Other,440039,30,#N/A,6
Fire Emblem: Three Houses,427307,30,#N/A,7
Assassin's Creed Odyssey,423626,30,#N/A,8
Marvel's Black Widow,415549,30,#N/A,9
Avengers: Endgame,991520,31,639650,0
Fortnite,703091,31,#N/A,1
Game of Thrones,487799,31,#N/A,2
Fast & Furious Presents: Hobbs & Shaw,352789,31,#N/A,3
Call of Duty: Modern Warfare,331347,31,#N/A,4
The Boys,320230,31,#N/A,5
Madden NFL 20,301478,31,#N/A,6
The Lion King,285932,31,#N/A,7
Marvel's Thor: Love and Thunder,263187,31,1201760,8
Sonic the Hedgehog: The Movie,193474,31,#N/A,9
Arrow,1259198,32,#N/A,0
Marvel's What If...,567241,32,#N/A,1
House of X,505146,32,#N/A,2
Borderlands 3,351224,32,#N/A,3
WWE 2K20,256955,32,#N/A,4
Avengers: Endgame,248391,32,991520,5
Call of Duty: Modern Warfare,245742,32,331347,6
Nintendo World Championships 1990,241717,32,#N/A,7
Pokemon Shield,230703,32,#N/A,8
No Man's Sky,225882,32,#N/A,9
Avengers: Endgame,1156077,33,248391,0
Marvel's The Eternals,447923,33,#N/A,1
Pokemon Trading Card Game,408922,33,#N/A,2
