name,value,year,last value,rank
Animal Crossing: New Horizons,770251,1,770251,0
The Legend of Zelda: Breath of the Wild,272693,1,272693,1
Grand Theft Auto V,232539,1,232539,2
Red Dead Redemption 2,180818,1,180818,3
The Witcher 3: Wild Hunt,133442,1,133442,4
Uncharted 4: A Thief's End,127280,1,127280,5
Final Fantasy VII Remake,117552,1,117552,6
Pokemon Sword,105678,1,105678,7
Super Mario Galaxy,100731,1,100731,8
Persona 5 Royal,90021,1,90021,9
Animal Crossing: New Horizons,822338,2,770251,0
The Last of Us Part II,576749,2,#N/A,1
The Legend of Zelda: Breath of the Wild,269028,2,272693,2
Grand Theft Auto V,241838,2,232539,3
Red Dead Redemption 2,179937,2,180818,4
Resident Evil Resistance,135498,2,#N/A,5
The Witcher 3: Wild Hunt,133710,2,133442,6
Final Fantasy VII Remake,131729,2,117552,7
Pokemon Sword,101463,2,105678,8
Devil May Cry 5,97582,2,#N/A,9
Animal Crossing: New Horizons,935660,3,822338,0
The Legend of Zelda: Breath of the Wild,259046,3,269028,1
The Last of Us Part II,246795,3,576749,2
Grand Theft Auto V,220964,3,241838,3
Resident Evil 3,200507,3,#N/A,4
Final Fantasy VII Remake,191696,3,131729,5
Red Dead Redemption 2,175259,3,179937,6
The Witcher 3: Wild Hunt,130886,3,133710,7
Venom: Let There Be Carnage,129056,3,#N/A,8
Pokemon Sword,92814,3,101463,9
Animal Crossing: New Horizons,1056668,4,935660,0
The Legend of Zelda: Breath of the Wild,310307,4,259046,1
Batman Begins,299305,4,#N/A,2
Grand Theft Auto V,245550,4,220964,3
Red Dead Redemption 2,206774,4,175259,4
Resident Evil 3,204223,4,200507,5
Marvel's What If...,194759,4,#N/A,6
The Witcher 3: Wild Hunt,154911,4,130886,7
Final Fantasy VII Remake,114473,4,191696,8
Pokemon Sword,104858,4,92814,9
Animal Crossing: New Horizons,1208600,5,1056668,0
The Legend of Zelda: Breath of the Wild,318653,5,310307,1
Grand Theft Auto V,245185,5,245550,2
Red Dead Redemption 2,216285,5,206774,3
Batman Begins,185972,5,299305,4
The Witcher 3: Wild Hunt,160285,5,154911,5
Resident Evil 3,129896,5,204223,6
Marvel's What If...,126641,5,194759,7
Pokemon Sword,109693,5,104858,8
Cooking Mama: Cookstar,105437,5,105437,9
Animal Crossing: New Horizons,1157468,6,1208600,0
Final Fantasy VII Remake,672976,6,#N/A,1
Call of Duty: Modern Warfare,501494,6,#N/A,2
The Legend of Zelda: Breath of the Wild,256310,6,318653,3
Grand Theft Auto V,227694,6,245185,4
Red Dead Redemption 2,184229,6,216285,5
The Witcher 3: Wild Hunt,133063,6,160285,6
Star Wars Battlefront II,125499,6,#N/A,7
Resident Evil 3,124736,6,129896,8
Pokemon Sword,95908,6,109693,9
PlayStation 5,1268984,7,#N/A,0
Animal Crossing: New Horizons,1011614,7,1157468,1
Call of Duty: Modern Warfare,323652,7,501494,2
The Legend of Zelda: Breath of the Wild,251851,7,256310,3
Final Fantasy VII Remake,229238,7,672976,4
Grand Theft Auto V,221834,7,227694,5
