name,value,year,last value,rank
Uncharted 4: A Thief's End,118860,1,118860,0
Final Fantasy VII Remake,109820,1,109820,1
Super Mario Galaxy,99737,1,99737,2
Persona 5 Royal,88030,1,88030,3
Xbox Series X,85008,1,85008,4
Star Wars: The Rise of Skywalker,77186,1,77186,5
DuckTales [2017],71664,1,71664,6
Mortal Shell,65598,1,65598,7
Call of Duty: Modern Warfare 2: Campaign Remastered,65210,1,65210,8
Resident Evil 3,52297,1,52297,9
The Last of Us Part II,575270,2,#N/A,0
Resident Evil Resistance,133620,2,#N/A,1
Final Fantasy VII Remake,117935,2,109820,2
Devil May Cry 5,96077,2,#N/A,3
Fallout 76,69482,2,#N/A,4
WitchBrook,68417,2,#N/A,5
DuckTales [2017],51136,2,71664,6
Star Wars: The Rise of Skywalker,49323,2,77186,7
Top Gun: Maverick,47687,2,#N/A,8
"Tiger King: Murder, Mayhem and Madness",44081,2,#N/A,9
The Last of Us Part II,241458,3,575270,0
Final Fantasy VII Remake,168038,3,117935,1
Resident Evil 3,135092,3,#N/A,2
Venom: Let There Be Carnage,127808,3,#N/A,3
The Big Show Show,64722,3,#N/A,4
Call of Duty: Modern Warfare 2: Campaign Remastered,54448,3,#N/A,5
Star Wars: The Rise of Skywalker,48056,3,49323,6
Marvel's Black Widow,42943,3,#N/A,7
Resident Evil Resistance,41188,3,133620,8
WitchBrook,38564,3,68417,9
Batman Begins,297855,4,#N/A,0
Marvel's What If...,194706,4,#N/A,1
Resident Evil 3,121052,4,135092,2
Final Fantasy VII Remake,93424,4,168038,3
WWE [PPVs],67862,4,#N/A,4
Call of Duty: Modern Warfare 2: Campaign Remastered,50382,4,54448,5
Star Wars: The Rise of Skywalker,49272,4,48056,6
The Last of Us Part II,44275,4,241458,7
The Big Show Show,42889,4,64722,8
Venom: Let There Be Carnage,38476,4,127808,9
Batman Begins,182889,5,297855,0
Marvel's What If...,126604,5,194706,1
Cooking Mama: Cookstar,104554,5,#N/A,2
Resident Evil 8,88418,5,#N/A,3
"Tiger King: Murder, Mayhem and Madness",56600,5,#N/A,4
Resident Evil 3,50569,5,121052,5
Final Fantasy VII Remake,37914,5,93424,6
Westworld,30668,5,#N/A,7
The Walking Dead,29282,5,#N/A,8
Animal Crossing: New Horizons,26506,5,26506,9
Final Fantasy VII Remake,647442,6,37914,0
Call of Duty: Modern Warfare,486329,6,#N/A,1
Star Wars Battlefront II,124265,6,#N/A,2
Saints Row: The Third Remastered,94884,6,#N/A,3
Animal Crossing: New Horizons,73371,6,26506,4
Resident Evil 3,72660,6,50569,5
The Last of Us Part II,68635,6,#N/A,6
Saints Row: The Third,56059,6,#N/A,7
The Walking Dead,56011,6,29282,8
Star Wars: The High Republic,53559,6,#N/A,9
PlayStation 5,1206168,7,#N/A,0
Call of Duty: Modern Warfare,309555,7,486329,1
Final Fantasy VII Remake,211758,7,647442,2
Star Wars Battlefront II,73262,7,124265,3
The Last of Us Part II,69718,7,68635,4
Cats,55034,7,#N/A,5
Artemis Fowl,48739,7,#N/A,6
Star Wars: The High Republic,48472,7,53559,7
Suicide Squad [1987],35681,7,#N/A,8
Xbox Series X,26740,7,#N/A,9
PlayStation 5,426662,8,1206168,0
Space Force,186801,8,#N/A,1
Google Stadia,112571,8,#N/A,2
Final Fantasy VII Remake,83100,8,211758,3
Disintegration,75903,8,#N/A,4
Call of Duty: Modern Warfare,64120,8,309555,5
The Batman,52096,8,#N/A,6
Artemis Fowl,49093,8,48739,7
Call of Duty: Warzone,34576,8,#N/A,8
Animal Crossing: New Horizons,33258,8,#N/A,9
Final Fantasy VII Remake,332275,9,83100,0
Animal Crossing: New Horizons,186751,9,33258,1
PlayStation 5,115649,9,426662,2
The Batman,52260,9,52096,3
The Simpsons,48401,9,#N/A,4
"Tiger King: Murder, Mayhem and Madness",47179,9,#N/A,5
Mortal Kombat [2021],45295,9,#N/A,6
LEGO Star Wars: The Skywalker Saga,43520,9,#N/A,7
Space Force,37799,9,186801,8
Marvel's Thor: Love and Thunder,35901,9,#N/A,9
Final Fantasy VII Remake,258507,10,332275,0
Animal Crossing: New Horizons,114761,10,186751,1
The Witcher 3: Wild Hunt,106016,10,#N/A,2
Marvel's Thor: Love and Thunder,51816,10,35901,3
PlayStation 5,50182,10,115649,4
Star Wars: The Clone Wars,49927,10,#N/A,5
The Batman,43657,10,52260,6
LEGO Star Wars: The Skywalker Saga,36461,10,43520,7
Mortal Kombat Legends: Scorpion's Revenge,36383,10,#N/A,8
Sonic the Hedgehog: The Movie,29229,10,#N/A,9
Divinity: Original Sin II,178580,11,#N/A,0
Final Fantasy VII Remake,138780,11,258507,1
Animal Crossing: New Horizons,102240,11,114761,2
Mortal Kombat Legends: Scorpion's Revenge,61363,11,36383,3
PlayStation 5,39595,11,50182,4
The Witcher 3: Wild Hunt,38103,11,106016,5
The Batman,37272,11,43657,6
The Main Event,36744,11,#N/A,7
Dwayne Johnson,36656,11,#N/A,8
Killers of the Flower Moon,30867,11,#N/A,9
Saturday Night Live,128267,12,#N/A,0
Final Fantasy VII Remake,103807,12,138780,1
Divinity: Original Sin II,62006,12,178580,2
"Tiger King: Murder, Mayhem and Madness",39510,12,#N/A,3
Star Wars Battlefront II,36708,12,#N/A,4
Animal Crossing: New Horizons,36587,12,102240,5
The Main Event,36170,12,36744,6
Blade Runner,31577,12,#N/A,7
PlayStation 5,30477,12,39595,8
Westworld,28904,12,#N/A,9
Dune [remake],207032,13,#N/A,0
Gears Tactics,115097,13,#N/A,1
Final Fantasy VII Remake,82889,13,103807,2
PlayStation 5,70814,13,30477,3
Westworld,70638,13,28904,4
Ghost of Tsushima,54758,13,#N/A,5
Star Wars: The Rise of Skywalker,48678,13,#N/A,6
Splash,38459,13,#N/A,7
