name,value,year,last value,rank
Uncharted 4: A Thief's End,118860,1,118860,0
Final Fantasy VII Remake,109820,1,109820,1
Super Mario Galaxy,99737,1,99737,2
Persona 5 Royal,88030,1,88030,3
Xbox Series X,85008,1,85008,4
Star Wars: The Rise of Skywalker,77186,1,77186,5
DuckTales [2017],71664,1,71664,6
Mortal Shell,65598,1,65598,7
Call of Duty: Modern Warfare 2: Campaign Remastered,65210,1,65210,8
Resident Evil 3,52297,1,52297,9
The Last of Us Part II,575763,2,#N/A,0
Final Fantasy VII Remake,227755,2,109820,1
Uncharted 4: A Thief's End,136763,2,118860,2
Resident Evil Resistance,134121,2,#N/A,3
Star Wars: The Rise of Skywalker,126509,2,77186,4
Xbox Series X,123965,2,85008,5
DuckTales [2017],122800,2,71664,6
Persona 5 Royal,121829,2,88030,7
Super Mario Galaxy,106542,2,99737,8
Mortal Shell,102974,2,65598,9
The Last of Us Part II,817221,3,575763,0
Final Fantasy VII Remake,395793,3,227755,1
Resident Evil 3,226285,3,#N/A,2
Resident Evil Resistance,175309,3,134121,3
Star Wars: The Rise of Skywalker,174565,3,126509,4
Xbox Series X,162129,3,123965,5
Call of Duty: Modern Warfare 2: Campaign Remastered,150466,3,#N/A,6
Uncharted 4: A Thief's End,138496,3,136763,7
Persona 5 Royal,134267,3,121829,8
Venom: Let There Be Carnage,130011,3,#N/A,9
The Last of Us Part II,861496,4,817221,0
Final Fantasy VII Remake,489217,4,395793,1
Resident Evil 3,347337,4,226285,2
Batman Begins,297897,4,#N/A,3
Star Wars: The Rise of Skywalker,223837,4,174565,4
Call of Duty: Modern Warfare 2: Campaign Remastered,200848,4,150466,5
Marvel's What If...,194964,4,#N/A,6
Xbox Series X,188804,4,162129,7
Resident Evil Resistance,187216,4,175309,8
Venom: Let There Be Carnage,168487,4,130011,9
The Last of Us Part II,872515,5,861496,0
Final Fantasy VII Remake,527131,5,489217,1
Batman Begins,480786,5,297897,2
Resident Evil 3,397906,5,347337,3
Marvel's What If...,321568,5,194964,4
Star Wars: The Rise of Skywalker,235704,5,223837,5
Call of Duty: Modern Warfare 2: Campaign Remastered,219750,5,200848,6
Xbox Series X,207990,5,188804,7
Resident Evil Resistance,192578,5,187216,8
Venom: Let There Be Carnage,175457,5,175457,9
Final Fantasy VII Remake,1174573,6,527131,0
The Last of Us Part II,941150,6,872515,1
Call of Duty: Modern Warfare,541168,6,#N/A,2
Batman Begins,526077,6,480786,3
Resident Evil 3,470566,6,397906,4
Marvel's What If...,354419,6,321568,5
Star Wars: The Rise of Skywalker,246552,6,235704,6
Call of Duty: Modern Warfare 2: Campaign Remastered,228496,6,219750,7
Animal Crossing: New Horizons,227516,6,#N/A,8
Xbox Series X,218360,6,207990,9
Final Fantasy VII Remake,1386331,7,1174573,0
PlayStation 5,1230476,7,#N/A,1
The Last of Us Part II,1010868,7,941150,2
Call of Duty: Modern Warfare,850723,7,541168,3
Batman Begins,536827,7,526077,4
Resident Evil 3,492404,7,470566,5
Marvel's What If...,357934,7,354419,6
Star Wars: The Rise of Skywalker,250716,7,246552,7
Animal Crossing: New Horizons,246615,7,227516,8
Xbox Series X,245100,7,218360,9
PlayStation 5,1657138,8,1230476,0
Final Fantasy VII Remake,1469431,8,1386331,1
The Last of Us Part II,1029260,8,1010868,2
Call of Duty: Modern Warfare,914843,8,850723,3
Batman Begins,540080,8,536827,4
Resident Evil 3,506644,8,492404,5
Marvel's What If...,359382,8,357934,6
Animal Crossing: New Horizons,279873,8,246615,7
Xbox Series X,258667,8,245100,8
Star Wars: The Rise of Skywalker,253300,8,250716,9
Final Fantasy VII Remake,1801706,9,1469431,0
PlayStation 5,1772787,9,1657138,1
The Last of Us Part II,1036345,9,1029260,2
Call of Duty: Modern Warfare,934651,9,914843,3
Batman Begins,541680,9,540080,4
Resident Evil 3,516573,9,506644,5
Animal Crossing: New Horizons,466624,9,279873,6
Marvel's What If...,360166,9,359382,7
Xbox Series X,261539,9,258667,8
Star Wars: The Rise of Skywalker,255433,9,253300,9
Final Fantasy VII Remake,2060213,10,1801706,0
PlayStation 5,1822969,10,1772787,1
The Last of Us Part II,1038873,10,1036345,2
Call of Duty: Modern Warfare,946840,10,934651,3
Animal Crossing: New Horizons,581385,10,466624,4
Batman Begins,542706,10,541680,5
Resident Evil 3,525722,10,516573,6
Marvel's What If...,360587,10,360166,7
Xbox Series X,281724,10,261539,8
Star Wars: The Rise of Skywalker,257656,10,255433,9
Final Fantasy VII Remake,2198993,11,2060213,0
PlayStation 5,1862564,11,1822969,1
The Last of Us Part II,1040807,11,1038873,2
Call of Duty: Modern Warfare,959547,11,946840,3
Animal Crossing: New Horizons,683625,11,581385,4
Resident Evil 3,544496,11,525722,5
Batman Begins,544308,11,542706,6
Marvel's What If...,361292,11,360587,7
Xbox Series X,283609,11,281724,8
Star Wars: The Rise of Skywalker,259523,11,257656,9
Final Fantasy VII Remake,2302800,12,2198993,0
PlayStation 5,1893041,12,1862564,1
The Last of Us Part II,1042994,12,1040807,2
Call of Duty: Modern Warfare,968817,12,959547,3
Animal Crossing: New Horizons,720212,12,683625,4
Resident Evil 3,556752,12,544496,5
Batman Begins,545240,12,544308,6
Marvel's What If...,361814,12,361292,7
"Tiger King: Murder, Mayhem and Madness",294590,12,#N/A,8
Xbox Series X,285056,12,283609,9
Final Fantasy VII Remake,2385689,13,2302800,0
PlayStation 5,1963855,13,1893041,1
The Last of Us Part II,1044477,13,1042994,2
Call of Duty: Modern Warfare,977575,13,968817,3
Animal Crossing: New Horizons,758201,13,720212,4
Resident Evil 3,564118,13,556752,5
Batman Begins,545830,13,545240,6
Marvel's What If...,362219,13,361814,7
"Tiger King: Murder, Mayhem and Madness",330571,13,294590,8
