name,value,year,last value,rank
Animal Crossing: New Horizons,738156,1,738156,0
The Legend of Zelda: Breath of the Wild,269155,1,269155,1
Grand Theft Auto V,229709,1,229709,2
Red Dead Redemption 2,177081,1,177081,3
The Witcher 3: Wild Hunt,131443,1,131443,4
Pokemon Sword,101334,1,101334,5
The Elder Scrolls V: Skyrim,88820,1,88820,6
The Sims 4,69269,1,69269,7
Assassin's Creed Odyssey,64010,1,64010,8
Persona 5,58620,1,58620,9
Animal Crossing: New Horizons,783712,2,738156,0
The Legend of Zelda: Breath of the Wild,265836,2,269155,1
Grand Theft Auto V,238897,2,229709,2
Red Dead Redemption 2,176060,2,177081,3
The Witcher 3: Wild Hunt,131837,2,131443,4
Pokemon Sword,96257,2,101334,5
The Elder Scrolls V: Skyrim,88504,2,88820,6
The Sims 4,66197,2,69269,7
Assassin's Creed Odyssey,63089,2,64010,8
Persona 5,62399,2,58620,9
Animal Crossing: New Horizons,894791,3,783712,0
The Legend of Zelda: Breath of the Wild,255457,3,265836,1
Grand Theft Auto V,218181,3,238897,2
Red Dead Redemption 2,171801,3,176060,3
The Witcher 3: Wild Hunt,128854,3,131837,4
Pokemon Sword,89504,3,96257,5
The Elder Scrolls V: Skyrim,88523,3,88504,6
The Sims 4,63792,3,66197,7
Assassin's Creed Odyssey,62375,3,63089,8
Persona 5,60795,3,62399,9
Animal Crossing: New Horizons,1016053,4,894791,0
The Legend of Zelda: Breath of the Wild,307031,4,255457,1
Grand Theft Auto V,242749,4,218181,2
Red Dead Redemption 2,202746,4,171801,3
The Witcher 3: Wild Hunt,152847,4,128854,4
The Elder Scrolls V: Skyrim,102422,4,88523,5
Pokemon Sword,100426,4,89504,6
Resident Evil 3,77901,4,#N/A,7
Assassin's Creed Odyssey,71430,4,62375,8
Persona 5,70938,4,60795,9
Animal Crossing: New Horizons,1175222,5,1016053,0
The Legend of Zelda: Breath of the Wild,315364,5,307031,1
Grand Theft Auto V,242518,5,242749,2
Red Dead Redemption 2,212820,5,202746,3
The Witcher 3: Wild Hunt,158232,5,152847,4
Pokemon Sword,105712,5,100426,5
The Elder Scrolls V: Skyrim,103417,5,102422,6
Resident Evil 3,74549,5,77901,7
Assassin's Creed Odyssey,73190,5,71430,8
Persona 5,71014,5,71014,9
Animal Crossing: New Horizons,1078081,6,1175222,0
The Legend of Zelda: Breath of the Wild,253175,6,315364,1
Grand Theft Auto V,224783,6,242518,2
Red Dead Redemption 2,180463,6,212820,3
The Witcher 3: Wild Hunt,131225,6,158232,4
Pokemon Sword,92160,6,105712,5
The Elder Scrolls V: Skyrim,91030,6,103417,6
Assassin's Creed Odyssey,63010,6,73190,7
Persona 5,62416,6,71014,8
The Sims 4,59721,6,#N/A,9
Animal Crossing: New Horizons,986631,7,1078081,0
The Legend of Zelda: Breath of the Wild,248771,7,253175,1
Grand Theft Auto V,218589,7,224783,2
Red Dead Redemption 2,176208,7,180463,3
The Witcher 3: Wild Hunt,125974,7,131225,4
Pokemon Sword,90886,7,92160,5
The Elder Scrolls V: Skyrim,88330,7,91030,6
Assassin's Creed Odyssey,61541,7,63010,7
Persona 5,61033,7,62416,8
PlayStation 5,59542,7,#N/A,9
Animal Crossing: New Horizons,913562,8,986631,0
The Legend of Zelda: Breath of the Wild,245083,8,248771,1
Grand Theft Auto V,216471,8,218589,2
Red Dead Redemption 2,168331,8,176208,3
The Witcher 3: Wild Hunt,126249,8,125974,4
The Elder Scrolls V: Skyrim,88547,8,88330,5
Pokemon Sword,88213,8,90886,6
Persona 5,60816,8,61033,7
Assassin's Creed Odyssey,60265,8,61541,8
The Sims 4,54997,8,#N/A,9
Animal Crossing: New Horizons,876566,9,913562,0
The Legend of Zelda: Breath of the Wild,257475,9,245083,1
Grand Theft Auto V,244972,9,216471,2
Red Dead Redemption 2,182365,9,168331,3
The Witcher 3: Wild Hunt,130273,9,126249,4
Final Fantasy VII Remake,97833,9,#N/A,5
The Elder Scrolls V: Skyrim,92128,9,88547,6
Pokemon Sword,90856,9,88213,7
Assassin's Creed Odyssey,63361,9,60265,8
Persona 5,58521,9,60816,9
Animal Crossing: New Horizons,924389,10,876566,0
Final Fantasy VII Remake,403555,10,97833,1
The Legend of Zelda: Breath of the Wild,281657,10,257475,2
Grand Theft Auto V,242924,10,244972,3
Red Dead Redemption 2,199894,10,182365,4
The Witcher 3: Wild Hunt,140867,10,130273,5
The Elder Scrolls V: Skyrim,97984,10,92128,6
Pokemon Sword,94921,10,90856,7
Assassin's Creed Odyssey,67778,10,63361,8
The Sims 4,59949,10,#N/A,9
Animal Crossing: New Horizons,964248,11,924389,0
Final Fantasy VII Remake,452046,11,403555,1
The Legend of Zelda: Breath of the Wild,306551,11,281657,2
Grand Theft Auto V,253005,11,242924,3
Red Dead Redemption 2,210445,11,199894,4
The Witcher 3: Wild Hunt,150358,11,140867,5
The Elder Scrolls V: Skyrim,102108,11,97984,6
Pokemon Sword,93704,11,94921,7
Assassin's Creed Odyssey,72252,11,67778,8
Persona 5,60209,11,#N/A,9
Animal Crossing: New Horizons,1164063,12,964248,0
Final Fantasy VII Remake,533493,12,452046,1
The Legend of Zelda: Breath of the Wild,324996,12,306551,2
Grand Theft Auto V,272149,12,253005,3
Red Dead Redemption 2,227386,12,210445,4
The Witcher 3: Wild Hunt,161355,12,150358,5
The Elder Scrolls V: Skyrim,107730,12,102108,6
Pokemon Sword,101017,12,93704,7
Assassin's Creed Odyssey,76453,12,72252,8
The Sims 4,62397,12,#N/A,9
Animal Crossing: New Horizons,781881,13,1164063,0
Final Fantasy VII Remake,681214,13,533493,1
The Legend of Zelda: Breath of the Wild,293459,13,324996,2
Grand Theft Auto V,258624,13,272149,3
Red Dead Redemption 2,213195,13,227386,4
The Witcher 3: Wild Hunt,145462,13,161355,5
The Elder Scrolls V: Skyrim,99267,13,107730,6
Pokemon Sword,89651,13,101017,7
Assassin's Creed Odyssey,71416,13,76453,8
The Sims 4,60278,13,62397,9
Animal Crossing: New Horizons,735871,14,781881,0
Final Fantasy VII Remake,531483,14,681214,1
The Legend of Zelda: Breath of the Wild,269425,14,293459,2
Grand Theft Auto V,258979,14,258624,3
Red Dead Redemption 2,189701,14,213195,4
The Witcher 3: Wild Hunt,129548,14,145462,5
The Elder Scrolls V: Skyrim,94145,14,99267,6
Pokemon Sword,87952,14,89651,7
Assassin's Creed Odyssey,63957,14,71416,8
The Sims 4,53003,14,60278,9
Animal Crossing: New Horizons,724065,15,735871,0
Final Fantasy VII Remake,422517,15,531483,1
The Legend of Zelda: Breath of the Wild,261514,15,269425,2
Grand Theft Auto V,245586,15,258979,3
Red Dead Redemption 2,184555,15,189701,4
