name,value,year,lastValue,rank
PlayStation 4 Pro,95489,1,95489,0
Halo Infinite,65482,1,65482,1
The Umbrella Academy,49835,1,49835,2
Marvel's Avengers: Age of Ultron,46246,1,46246,3
The Last of Us Part II,45364,1,45364,4
X-Men [2000],36665,1,36665,5
Star Wars: Episode IV -- A New Hope,32510,1,32510,6
Destroy All Humans!,32509,1,32509,7
Ghost of Tsushima,25838,1,25838,8
J.R.R. Tolkien's The Lord of the Rings Project,24123,1,24123,9
The Ridiculous Six,325457,2,#N/A,0
PlayStation 4 Pro,144990,2,95489,1
The Umbrella Academy,95575,2,49835,2
The Last of Us Part II,95101,2,45364,3
Ghost of Tsushima,92948,2,25838,4
Halo Infinite,92726,2,65482,5
Suicide Squad [2016],89102,2,#N/A,6
Marvel's Avengers: Age of Ultron,81242,2,46246,7
X-Men [2000],75957,2,36665,8
Destroy All Humans!,57047,2,32509,9
The Ridiculous Six,386847,3,325457,0
Call of Duty: Modern Warfare,263238,3,#N/A,1
PlayStation 4 Pro,225498,3,144990,2
Marvel's Avengers,210191,3,#N/A,3
Xbox One X,148785,3,#N/A,4
The Last of Us Part II,136679,3,95101,5
Suicide Squad [2016],127537,3,89102,6
The Umbrella Academy,124840,3,95575,7
The Legend of Zelda: Breath of the Wild,120133,3,#N/A,8
An American Pickle,119008,3,#N/A,9
Call of Duty: Modern Warfare,635085,4,263238,0
The Ridiculous Six,391255,4,386847,1
Marvel's Avengers,327786,4,210191,2
PlayStation 5,260336,4,#N/A,3
PlayStation 4 Pro,251972,4,225498,4
Teenage Mutant Ninja Turtles (IDW),192249,4,#N/A,5
Xbox One X,183380,4,148785,6
The Last of Us Part II,175933,4,136679,7
An American Pickle,157765,4,119008,8
The Legend of Zelda: Breath of the Wild,153980,4,120133,9
Call of Duty: Modern Warfare,676977,5,635085,0
Marvel's Avengers,554853,5,327786,1
The Ridiculous Six,394876,5,391255,2
PlayStation 5,356520,5,260336,3
PlayStation 4 Pro,264802,5,251972,4
Teenage Mutant Ninja Turtles (IDW),247457,5,192249,5
The Last of Us Part II,238598,5,175933,6
Xbox One X,190183,5,183380,7
An American Pickle,166204,5,157765,8
The Tax Collector,164928,5,164928,9
Marvel's Avengers,721999,6,554853,0
Call of Duty: Modern Warfare,696093,6,676977,1
PlayStation 5,412544,6,356520,2
The Ridiculous Six,395150,6,394876,3
The Last of Us Part II,282360,6,238598,4
Teenage Mutant Ninja Turtles (IDW),277288,6,247457,5
PlayStation 4 Pro,268236,6,264802,6
Xbox One X,191668,6,190183,7
Xbox Series X,179167,6,#N/A,8
An American Pickle,172267,6,166204,9
Marvel's Avengers,790420,7,721999,0
Call of Duty: Modern Warfare,703574,7,696093,1
PlayStation 5,438984,7,412544,2
The Ridiculous Six,395483,7,395150,3
The Last of Us Part II,317216,7,282360,4
Teenage Mutant Ninja Turtles (IDW),292402,7,277288,5
PlayStation 4 Pro,270770,7,268236,6
Xbox Series X,223697,7,179167,7
Xbox One X,192200,7,191668,8
An American Pickle,177228,7,172267,9
Marvel's Avengers,879033,8,790420,0
Call of Duty: Modern Warfare,708123,8,703574,1
PlayStation 5,449197,8,438984,2
The Ridiculous Six,395839,8,395483,3
Teenage Mutant Ninja Turtles (IDW),380864,8,292402,4
The Last of Us Part II,362187,8,317216,5
PlayStation 4 Pro,274223,8,270770,6
Zack Snyder's Justice League,270489,8,#N/A,7
Xbox Series X,236983,8,223697,8
Xbox One X,192536,8,192200,9
Marvel's Avengers,995615,9,879033,0
Mortal Kombat [2021],855497,9,#N/A,1
Call of Duty: Modern Warfare,712852,9,708123,2
PlayStation 5,461846,9,449197,3
The Last of Us Part II,416376,9,362187,4
The Ridiculous Six,396081,9,395839,5
Teenage Mutant Ninja Turtles (IDW),387541,9,380864,6
Zack Snyder's Justice League,372287,9,270489,7
Xbox Series X,277116,9,236983,8
PlayStation 4 Pro,276833,9,274223,9
Mortal Kombat [2021],1718629,10,855497,0
Marvel's Avengers,1183756,10,995615,1
Call of Duty: Modern Warfare,717260,10,712852,2
The Last of Us Part II,496325,10,416376,3
Fortnite,491351,10,#N/A,4
PlayStation 5,475682,10,461846,5
The Ridiculous Six,396425,10,396081,6
Teenage Mutant Ninja Turtles (IDW),389652,10,387541,7
Zack Snyder's Justice League,388171,10,372287,8
Xbox Series X,326941,10,277116,9
Mortal Kombat [2021],2514141,11,1718629,0
Marvel's Avengers,1348940,11,1183756,1
Call of Duty: Modern Warfare,720474,11,717260,2
The Last of Us Part II,587644,11,496325,3
Fortnite,572308,11,491351,4
Xbox Series X,506843,11,326941,5
PlayStation 5,479144,11,475682,6
The Ridiculous Six,396592,11,396425,7
Teenage Mutant Ninja Turtles (IDW),395603,11,389652,8
Zack Snyder's Justice League,394455,11,388171,9
Mortal Kombat [2021],2860512,12,2514141,0
Marvel's Avengers,1379934,12,1348940,1
Call of Duty: Modern Warfare,724189,12,720474,2
The Last of Us Part II,622896,12,587644,3
Fortnite,577135,12,572308,4
Xbox Series X,576469,12,506843,5
PlayStation 5,496982,12,479144,6
Halo Infinite,405501,12,#N/A,7
