name,value,year,last value,rank
PlayStation 4 Pro,95489,1,95489,0
Halo Infinite,65482,1,65482,1
The Umbrella Academy,49835,1,49835,2
Marvel's Avengers: Age of Ultron,46246,1,46246,3
The Last of Us Part II,45364,1,45364,4
X-Men [2000],36665,1,36665,5
Star Wars: Episode IV -- A New Hope,32510,1,32510,6
Destroy All Humans!,32509,1,32509,7
Ghost of Tsushima,25838,1,25838,8
J.R.R. Tolkien's The Lord of the Rings Project,24123,1,24123,9
The Ridiculous Six,307880,2,#N/A,0
Suicide Squad [2016],89083,2,#N/A,1
Ghost of Tsushima,67110,2,25838,2
Burnout 3: Takedown,53000,2,#N/A,3
The Last of Us Part II,49737,2,45364,4
PlayStation 4 Pro,49501,2,95489,5
The Umbrella Academy,45740,2,49835,6
Xbox Series X,42926,2,#N/A,7
X-Men [2000],39292,2,36665,8
Halo: The Master Chief Collection,37934,2,#N/A,9
Call of Duty: Modern Warfare,257211,3,#N/A,0
Marvel's Avengers,188136,3,#N/A,1
Xbox One X,148550,3,#N/A,2
An American Pickle,118993,3,#N/A,3
The Legend of Zelda: Breath of the Wild,116864,3,#N/A,4
Valorant,102933,3,#N/A,5
PlayStation 4 Pro,80508,3,49501,6
The Ridiculous Six,61390,3,307880,7
PlayStation 5,59291,3,#N/A,8
Burnout 3: Takedown,41589,3,53000,9
Call of Duty: Modern Warfare,371847,4,257211,0
PlayStation 5,195460,4,59291,1
Teenage Mutant Ninja Turtles (IDW),190894,4,#N/A,2
The Tax Collector,135889,4,#N/A,3
Marvel's Avengers,117595,4,188136,4
Zack Snyder's Justice League,115098,4,#N/A,5
Mulan,72042,4,#N/A,6
Injustice: Gods Among Us,53454,4,#N/A,7
Teenage Mutant Ninja Turtles -- Point Grey Pictures Reboot,48996,4,#N/A,8
Dune [2020],45753,4,45753,9
Marvel's Avengers,227067,5,117595,0
PlayStation 5,96184,5,195460,1
Horizon: Zero Dawn,84265,5,#N/A,2
Mulan,64711,5,72042,3
The Last of Us Part II,62665,5,#N/A,4
Street Fighter V: Champion Edition,57149,5,#N/A,5
The Suicide Squad,55939,5,#N/A,6
Teenage Mutant Ninja Turtles (IDW),55208,5,190894,7
Raised By Wolves,53517,5,#N/A,8
The Amazing Spider-Man [2018 - Current],50854,5,50854,9
Marvel's Avengers,167146,6,227067,0
Outriders,94754,6,#N/A,1
Braid: Anniversary Edition,82137,6,#N/A,2
Xbox Series X,80470,6,#N/A,3
Crash Bandicoot 4: It's About Time,70441,6,#N/A,4
Fall Guys: Ultimate Knockout,61544,6,#N/A,5
PlayStation 5,56024,6,96184,6
The Last of Us Part II,43762,6,62665,7
Call of Duty: Warzone,41199,6,#N/A,8
Alan Wake,39932,6,#N/A,9
Suicide Squad: Kill The Justice League,89451,7,#N/A,0
Marvel's Avengers,68421,7,167146,1
Braid: Anniversary Edition,64013,7,82137,2
Xbox Series X,44530,7,80470,3
Outriders,41983,7,94754,4
Fall Guys: Ultimate Knockout,37711,7,61544,5
The Last of Us Part II,34856,7,43762,6
Marvel's Shang-Chi and the Legend of the Ten Rings,34387,7,#N/A,7
Call of Duty: Warzone,32346,7,41199,8
John Wick: Chapter 4,29766,7,#N/A,9
Zack Snyder's Justice League,100925,8,#N/A,0
Marvel's Avengers,88613,8,68421,1
Teenage Mutant Ninja Turtles (IDW),88462,8,#N/A,2
The Last of Us Part II,44971,8,34856,3
Marvel's Shang-Chi and the Legend of the Ten Rings,42271,8,34387,4
Black Adam,36512,8,#N/A,5
Suicide Squad [2016],35402,8,#N/A,6
Bravely Default II,32406,8,#N/A,7
Joker,31998,8,#N/A,8
Fall Guys: Ultimate Knockout,27609,8,37711,9
Mortal Kombat [2021],853822,9,#N/A,0
Marvel's Avengers,116582,9,88613,1
Zack Snyder's Justice League,101798,9,100925,2
Doctor Who,81421,9,#N/A,3
Fortnite,72683,9,#N/A,4
Suicide Squad: Kill The Justice League,70582,9,#N/A,5
The Last of Us Part II,54189,9,44971,6
Fall Guys: Ultimate Knockout,45736,9,27609,7
Xbox Series X,40133,9,#N/A,8
Street Fighter V,34733,9,#N/A,9
Mortal Kombat [2021],863132,10,853822,0
Fortnite,308808,10,72683,1
Marvel's Avengers,188141,10,116582,2
Call of Duty: Black Ops Cold War,109236,10,#N/A,3
Cyberpunk 2077,83168,10,#N/A,4
The Last of Us Part II,79949,10,54189,5
Xbox Series X,49825,10,40133,6
Doctor Who,37662,10,81421,7
Tron [reboot],34439,10,#N/A,8
MacGruber: TV Series,32778,10,#N/A,9
Mortal Kombat [2021],795512,11,863132,0
Halo Infinite,198665,11,#N/A,1
Xbox Series X,179902,11,49825,2
Marvel's Avengers,165184,11,188141,3
Tom Clancy's Rainbow Six Siege,126170,11,#N/A,4
Atomic Heart,102977,11,#N/A,5
Cyberpunk 2077,91827,11,83168,6
The Last of Us Part II,91319,11,79949,7
Fortnite,80957,11,308808,8
Will Smith Project [The Fresh Prince of Bel-Air Reboot?],68527,11,#N/A,9
Mortal Kombat [2021],346371,12,795512,0
Avatar: The Last Airbender [Live-Action],159552,12,#N/A,1
Fast & Furious Crossroads,126276,12,#N/A,2
