name,value,year,last value,rank
Star Wars: The Mandalorian,320054,1,320054,0
Star Wars: The Rise of Skywalker,146445,1,146445,1
Avengers: Endgame,85283,1,85283,2
Arrow,80436,1,80436,3
Watchmen: The Series,46369,1,46369,4
Star Wars Jedi: Fallen Order,42656,1,42656,5
Pokemon Sword,38237,1,38237,6
PlayStation 5,36436,1,36436,7
No Time To Die,32257,1,32257,8
Kingdom Hearts III Re:Mind,31730,1,31730,9
Star Wars: The Mandalorian,547715,2,320054,0
Fire Emblem: Three Houses,405806,2,#N/A,1
Watchmen: The Series,218203,2,46369,2
Star Wars: The Rise of Skywalker,209112,2,146445,3
Game of Thrones,190812,2,#N/A,4
Avengers: Endgame,184249,2,85283,5
Arrow,118837,2,80436,6
Kingdom Hearts III Re:Mind,86408,2,31730,7
Star Wars Jedi: Fallen Order,76075,2,42656,8
Pokemon Sword,73216,2,38237,9
Star Wars: The Mandalorian,615633,3,547715,0
Fire Emblem: Three Houses,609231,3,405806,1
No Time To Die,456657,3,#N/A,2
Marvel's Black Widow,385439,3,#N/A,3
Game of Thrones,361907,3,190812,4
Watchmen: The Series,290937,3,218203,5
Star Wars: The Rise of Skywalker,228695,3,209112,6
Avengers: Endgame,199765,3,184249,7
Arrow,157316,3,118837,8
Other,131820,3,#N/A,9
Star Wars: The Mandalorian,648825,4,615633,0
Fire Emblem: Three Houses,647948,4,609231,1
No Time To Die,608478,4,456657,2
Marvel's Black Widow,471859,4,385439,3
Star Wars: The Rise of Skywalker,431442,4,228695,4
Star Wars: Galaxy's Edge,430011,4,#N/A,5
Game of Thrones,419073,4,361907,6
The Witcher,402252,4,#N/A,7
Watchmen: The Series,307476,4,290937,8
WWE 2K20,241539,4,241539,9
The Witcher,812068,5,402252,0
Star Wars: The Mandalorian,671930,5,648825,1
Fire Emblem: Three Houses,669290,5,647948,2
No Time To Die,627822,5,608478,3
Star Wars: The Rise of Skywalker,593141,5,431442,4
Marvel's Black Widow,510955,5,471859,5
Star Wars: Galaxy's Edge,441190,5,430011,6
Game of Thrones,425227,5,419073,7
WWE 2K20,351233,5,241539,8
Watchmen: The Series,315592,5,315592,9
The Witcher,975840,6,812068,0
Fire Emblem: Three Houses,928455,6,669290,1
Star Wars: The Mandalorian,884898,6,671930,2
No Time To Die,632434,6,627822,3
Star Wars: The Rise of Skywalker,618931,6,593141,4
Marvel's Black Widow,521828,6,510955,5
Star Wars: Galaxy's Edge,448436,6,441190,6
Game of Thrones,428353,6,425227,7
WWE 2K20,361290,6,351233,8
Birds of Prey and the Fantabulous Emancipation of one Harley Quinn,360302,6,#N/A,9
Star Wars: The Mandalorian,1304093,7,884898,0
Fire Emblem: Three Houses,1045124,7,928455,1
The Witcher,1019852,7,975840,2
Star Wars: The Rise of Skywalker,678918,7,618931,3
No Time To Die,635873,7,632434,4
Marvel's Black Widow,545106,7,521828,5
Star Wars: Galaxy's Edge,450520,7,448436,6
Game of Thrones,431539,7,428353,7
Other,420604,7,#N/A,8
Birds of Prey and the Fantabulous Emancipation of one Harley Quinn,371489,7,360302,9
Star Wars: The Mandalorian,1734316,8,1304093,0
Fire Emblem: Three Houses,1147598,8,1045124,1
The Witcher,1070283,8,1019852,2
Star Wars: The Rise of Skywalker,704774,8,678918,3
No Time To Die,637975,8,635873,4
Marvel's Black Widow,560374,8,545106,5
Free Guy,488561,8,#N/A,6
Other,485466,8,420604,7
Star Wars: Galaxy's Edge,451059,8,450520,8
Wonder Woman 1984,445861,8,#N/A,9
Star Wars: The Mandalorian,2093188,9,1734316,0
Fire Emblem: Three Houses,1196574,9,1147598,1
The Witcher,1134416,9,1070283,2
Star Wars: The Rise of Skywalker,794898,9,704774,3
Wonder Woman 1984,656500,9,445861,4
No Time To Die,641274,9,637975,5
Free Guy,570836,9,488561,6
Marvel's Black Widow,567266,9,560374,7
Watchmen: The Series,540409,9,#N/A,8
Other,529368,9,485466,9
Star Wars: The Mandalorian,2145263,10,2093188,0
Fire Emblem: Three Houses,1215603,10,1196574,1
The Witcher,1145688,10,1134416,2
Star Wars: The Rise of Skywalker,883922,10,794898,3
Wonder Woman 1984,782195,10,656500,4
No Time To Die,642964,10,641274,5
Marvel's Black Widow,612438,10,567266,6
Free Guy,591593,10,570836,7
Watchmen: The Series,578509,10,540409,8
Other,552132,10,529368,9
Star Wars: The Mandalorian,2202120,11,2145263,0
Fire Emblem: Three Houses,1233664,11,1215603,1
The Witcher,1225003,11,1145688,2
Star Wars: The Rise of Skywalker,903284,11,883922,3
Wonder Woman 1984,848039,11,782195,4
No Time To Die,643880,11,642964,5
Resident Evil 3,642550,11,#N/A,6
Marvel's Black Widow,635032,11,612438,7
Free Guy,595850,11,591593,8
Other,595147,11,552132,9
Star Wars: The Mandalorian,2455585,12,2202120,0
The Witcher,1330493,12,1225003,1
Fire Emblem: Three Houses,1244786,12,1233664,2
Star Wars: The Rise of Skywalker,1038263,12,903284,3
Xbox Series X,1030748,12,#N/A,4
Wonder Woman 1984,884132,12,848039,5
Resident Evil 3,723683,12,642550,6
Arrow,697788,12,#N/A,7
Marvel's Black Widow,672109,12,635032,8
No Time To Die,644735,12,643880,9
Star Wars: The Mandalorian,2785163,13,2455585,0
Xbox Series X,2145332,13,1030748,1
The Witcher,1361840,13,1330493,2
Fire Emblem: Three Houses,1259070,13,1244786,3
Star Wars: The Rise of Skywalker,1121901,13,1038263,4
Wonder Woman 1984,888773,13,884132,5
Resident Evil 3,735659,13,723683,6
Arrow,725663,13,697788,7
Marvel's Black Widow,676854,13,672109,8
No Time To Die,645264,13,644735,9
Star Wars: The Mandalorian,3202075,14,2785163,0
Xbox Series X,2578945,14,2145332,1
The Witcher,1373136,14,1361840,2
Fire Emblem: Three Houses,1269037,14,1259070,3
Star Wars: The Rise of Skywalker,1169453,14,1121901,4
Wonder Woman 1984,893114,14,888773,5
BoJack Horseman,810149,14,#N/A,6
Resident Evil 3,765132,14,735659,7
Arrow,737583,14,725663,8
Marvel's Black Widow,686298,14,676854,9
Star Wars: The Mandalorian,3481065,15,3202075,0
Xbox Series X,2677663,15,2578945,1
The Witcher,1397139,15,1373136,2
Star Wars: The Rise of Skywalker,1371128,15,1169453,3
BoJack Horseman,1326290,15,810149,4
Fire Emblem: Three Houses,1278000,15,1269037,5
Wonder Woman 1984,929202,15,893114,6
Resident Evil 3,784104,15,765132,7
Arrow,744563,15,737583,8
Other,737066,15,#N/A,9
