name,value,year,last value,rank
Star Wars: The Mandalorian,320054,1,320054,0
Star Wars: The Rise of Skywalker,146445,1,146445,1
Avengers: Endgame,85283,1,85283,2
Arrow,80436,1,80436,3
Watchmen: The Series,46369,1,46369,4
Disney Plus,44177,1,44177,5
Star Wars Jedi: Fallen Order,42656,1,42656,6
Pokemon Sword,38237,1,38237,7
PlayStation 5,36436,1,36436,8
No Time To Die,32257,1,32257,9
Fire Emblem: Three Houses,390127,2,#N/A,0
Star Wars: The Mandalorian,227661,2,320054,1
Game of Thrones,188057,2,#N/A,2
Watchmen: The Series,171834,2,46369,3
Avengers: Endgame,98966,2,85283,4
Star Wars: The Rise of Skywalker,62667,2,146445,5
Kingdom Hearts III Re:Mind,54678,2,#N/A,6
Death Stranding,45429,2,#N/A,7
Super Mario Maker 2,44942,2,#N/A,8
Other,44553,2,#N/A,9
No Time To Die,385605,3,#N/A,0
Marvel's Black Widow,385322,3,#N/A,1
Fire Emblem: Three Houses,203425,3,390127,2
Game of Thrones,171095,3,188057,3
The Witcher,89094,3,#N/A,4
Resident Evil 3,85456,3,#N/A,5
Watchmen: The Series,72734,3,171834,6
Star Wars: The Mandalorian,67918,3,227661,7
Other,65794,3,44553,8
Spider-Man 4 [Sam Raimi],57661,3,#N/A,9
Star Wars: Galaxy's Edge,429316,4,#N/A,0
The Witcher,306886,4,89094,1
WWE 2K20,238544,4,#N/A,2
Star Wars: The Rise of Skywalker,202747,4,#N/A,3
No Time To Die,151821,4,385605,4
Darksiders Genesis,131216,4,#N/A,5
The Wheel of Time,120835,4,#N/A,6
Marvel's Black Widow,86420,4,385322,7
Uncut Gems,85466,4,#N/A,8
Pokemon Sword,64278,4,64278,9
The Witcher,409816,5,306886,0
Birds of Prey and the Fantabulous Emancipation of one Harley Quinn,183175,5,#N/A,1
Star Wars: The Rise of Skywalker,161699,5,202747,2
Alien: Isolation,112637,5,#N/A,3
WWE 2K20,109694,5,238544,4
Temtem,71088,5,#N/A,5
Other,67267,5,#N/A,6
Sonic the Hedgehog: The Movie,61860,5,#N/A,7
Nintendo Switch,52059,5,#N/A,8
Blood & Truth,49626,5,49626,9
Fire Emblem: Three Houses,259165,6,#N/A,0
Star Wars: The Mandalorian,212968,6,#N/A,1
Birds of Prey and the Fantabulous Emancipation of one Harley Quinn,176950,6,183175,2
The Witcher,163772,6,409816,3
Kingdom Hearts III Re:Mind,74180,6,#N/A,4
Other,68568,6,67267,5
Control,65700,6,#N/A,6
The Last of Us Part II,56537,6,#N/A,7
I Am Jesus Christ,54107,6,#N/A,8
Ghostbusters: Afterlife,46678,6,#N/A,9
Star Wars: The Mandalorian,419195,7,212968,0
BoJack Horseman,276461,7,#N/A,1
Free Guy,245729,7,#N/A,2
Marvel's The Eternals,163949,7,#N/A,3
Other,124031,7,68568,4
Fire Emblem: Three Houses,116669,7,259165,5
I Am Jesus Christ,114485,7,54107,6
Marvel's The Falcon and The Winter Soldier,103745,7,#N/A,7
Wonder Woman 1984,65751,7,#N/A,8
Star Wars: The Rise of Skywalker,59987,7,#N/A,9
Star Wars: The Mandalorian,430223,8,419195,0
Wonder Woman 1984,379470,8,65751,1
Free Guy,242659,8,245729,2
Marvel's The Eternals,236194,8,163949,3
Supergirl,114301,8,#N/A,4
Fire Emblem: Three Houses,102474,8,116669,5
Arrow,78579,8,#N/A,6
Marvel's WandaVision,68571,8,#N/A,7
BoJack Horseman,68278,8,276461,8
Marvel's The Falcon and The Winter Soldier,67440,8,103745,9
Star Wars: The Mandalorian,358872,9,430223,0
Ghostbusters: Afterlife,262458,9,#N/A,1
Wonder Woman 1984,210639,9,379470,2
Supergirl,179444,9,114301,3
Watchmen: The Series,163193,9,#N/A,4
Batwoman,136962,9,#N/A,5
Anthem,114768,9,#N/A,6
The Legend of Zelda: Breath of the Wild 2,111328,9,#N/A,7
BioShock,95577,9,#N/A,8
Star Wars: The Rise of Skywalker,90124,9,#N/A,9
Resident Evil 3,426591,10,#N/A,0
Batwoman,142793,10,136962,1
Jumanji: The Next Level,140939,10,#N/A,2
Resident Evil,135386,10,#N/A,3
Wonder Woman 1984,125695,10,210639,4
Ghostbusters: Afterlife,107374,10,262458,5
League of Legends,106354,10,#N/A,6
Overwatch,94963,10,#N/A,7
Star Wars: The Rise of Skywalker,89024,10,90124,8
Final Fantasy VII Remake,69086,10,#N/A,9
Arrow,134525,11,#N/A,0
Resident Evil 3,111339,11,426591,1
Xbox Series X,103594,11,#N/A,2
Jumanji: The Next Level,98063,11,140939,3
The Matrix 4,80217,11,#N/A,4
The Witcher,79315,11,#N/A,5
The Flash,79306,11,#N/A,6
Home Alone,76548,11,#N/A,7
Resident Evil 2,74561,11,#N/A,8
Wonder Woman 1984,65844,11,125695,9
Xbox Series X,816695,12,103594,0
Star Wars: The Mandalorian,253465,12,#N/A,1
Justice League,181788,12,#N/A,2
Star Wars: The Last Jedi,151792,12,#N/A,3
Star Wars: The Rise of Skywalker,134979,12,#N/A,4
Arrow,133810,12,134525,5
Death Stranding,108580,12,#N/A,6
The Witcher,105490,12,79315,7
Inside,91928,12,#N/A,8
Sonic the Hedgehog: The Movie,83877,12,#N/A,9
Xbox Series X,1114584,13,816695,0
Star Wars: The Mandalorian,329578,13,253465,1
Death Stranding,107358,13,108580,2
Halo: The Master Chief Collection,101229,13,#N/A,3
The Office,85194,13,#N/A,4
Star Wars: The Rise of Skywalker,83638,13,134979,5
6 Underground,80003,13,#N/A,6
PT,62963,13,#N/A,7
Sonic the Hedgehog: The Movie,61979,13,83877,8
Mortal Kombat [2021],58380,13,#N/A,9
Xbox Series X,433613,14,1114584,0
BoJack Horseman,425612,14,#N/A,1
Star Wars: The Mandalorian,416912,14,329578,2
Pokemon Sword,84763,14,#N/A,3
Fortnite,69257,14,#N/A,4
American Gods,52165,14,#N/A,5
Mortal Kombat [2021],50628,14,58380,6
Star Wars: The Rise of Skywalker,47552,14,83638,7
6 Underground,44416,14,80003,8
Watchmen: The Series,43534,14,#N/A,9
BoJack Horseman,516141,15,425612,0
Little Monsters [2019],289621,15,#N/A,1
Star Wars: The Mandalorian,278990,15,416912,2
Star Wars: The Rise of Skywalker,201675,15,47552,3
Xbox Series X,98718,15,433613,4
Pokemon Sword,78635,15,84763,5
Other,74191,15,#N/A,6
Watchmen: The Series,68458,15,43534,7
Saturday Night Live,60513,15,#N/A,8
Sonic the Hedgehog: The Movie,48378,15,#N/A,9
