name,value,year,last value,rank
Final Fantasy VII Remake,227462,1,227462,0
Xbox Series X,150860,1,150860,1
F9 [Fast & Furious 9],92191,1,92191,2
Lethal Weapon,87439,1,87439,3
Locke & Key,59561,1,59561,4
The Witcher,55417,1,55417,5
Birds of Prey And the Fantabulous Emancipation of One Harley Quinn,52707,1,52707,6
The Matrix 4,43475,1,43475,7
Star Trek: Picard,35127,1,35127,8
Mission: Impossible 7,27353,1,27353,9
Marvel's WandaVision,410476,2,#N/A,0
Final Fantasy VII Remake,81232,2,227462,1
Marvel's Black Widow,75737,2,#N/A,2
Xbox Series X,59486,2,150860,3
Sonic the Hedgehog: The Movie,52005,2,#N/A,4
Locke & Key,51538,2,59561,5
Marvel's Loki,41939,2,#N/A,6
Super Bowl 54,37389,2,#N/A,7
Marvel's The Falcon and The Winter Soldier,35506,2,#N/A,8
The Matrix 4,34815,2,43475,9
Marvel's WandaVision,670279,3,410476,0
Marvel's Loki,143316,3,41939,1
Sonic the Hedgehog: The Movie,105389,3,52005,2
Marvel's The Falcon and The Winter Soldier,74818,3,35506,3
Zombie Army 4: Dead War,73629,3,#N/A,4
Super Mario: The Movie [Illumination Entertainment],72483,3,#N/A,5
The Wonderful 101,68398,3,#N/A,6
Marvel's Black Widow,64998,3,75737,7
Warcraft III: Reforged,55520,3,#N/A,8
The Last of Us Part II,50120,3,#N/A,9
PlayStation 5,158192,4,#N/A,0
Marvel's WandaVision,143915,4,670279,1
The Dark Knight,134909,4,#N/A,2
Altered Carbon,121669,4,#N/A,3
F9 [Fast & Furious 9],121104,4,#N/A,4
The Rhythm Section,93469,4,#N/A,5
Star Wars: The Mandalorian,69320,4,#N/A,6
The Dark Crystal: Age of Resistance Tactics,63025,4,#N/A,7
Castlevania,51814,4,#N/A,8
Altered Carbon: Season 2,39509,4,39509,9
Birds of Prey And the Fantabulous Emancipation of One Harley Quinn,247302,5,#N/A,0
Star Wars: Darth Vader [2015 - 2016],154972,5,#N/A,1
Mass Effect 2,93454,5,#N/A,2
Final Fantasy VII Remake,78731,5,#N/A,3
PlayStation 5,74222,5,158192,4
Super Smash Bros. Ultimate,61253,5,#N/A,5
Atomic Heart,59517,5,#N/A,6
Snake Eyes [G.I. Joe Spinoff],58120,5,#N/A,7
Spiral: From the Book of Saw,56074,5,#N/A,8
Xbox Series X,48762,5,48762,9
Birds of Prey And the Fantabulous Emancipation of One Harley Quinn,168565,6,247302,0
Star Wars: Darth Vader [2015 - 2016],96232,6,154972,1
Warcraft III: Reforged,81147,6,#N/A,2
The Witcher,63016,6,#N/A,3
PlayStation 5,48772,6,74222,4
Star Trek: Picard,45778,6,#N/A,5
Final Fantasy VII Remake,41411,6,78731,6
Mass Effect 2,35545,6,93454,7
Pokemon,31119,6,#N/A,8
Ubisoft,29238,6,#N/A,9
Final Fantasy VII Remake,1335053,7,41411,0
Daymare: 1998,202196,7,#N/A,1
Birds of Prey And the Fantabulous Emancipation of One Harley Quinn,174145,7,168565,2
Chaos Walking,81545,7,#N/A,3
PlayStation 5,46387,7,48772,4
Resident Evil: The Series,44368,7,#N/A,5
Warcraft III: Reforged,32108,7,81147,6
X-Men [2019],31522,7,#N/A,7
Mythic Quest: Raven's Banquet,30046,7,#N/A,8
Locke & Key,27915,7,#N/A,9
Final Fantasy VII Remake,662165,8,1335053,0
Birds of Prey And the Fantabulous Emancipation of One Harley Quinn,492732,8,174145,1
Chaos Walking,140510,8,81545,2
Resident Evil: The Series,77242,8,44368,3
Daymare: 1998,67984,8,202196,4
Obi-Wan Kenobi Disney Series,57610,8,#N/A,5
The Witcher,55502,8,#N/A,6
Call of Duty: Modern Warfare,51302,8,#N/A,7
F9 [Fast & Furious 9],46152,8,#N/A,8
Locke & Key,45215,8,27915,9
Birds of Prey And the Fantabulous Emancipation of One Harley Quinn,312007,9,492732,0
Academy Awards,284069,9,#N/A,1
Final Fantasy VII Remake,203792,9,662165,2
Obi-Wan Kenobi Disney Series,111558,9,57610,3
Dragon Ball FighterZ,47409,9,#N/A,4
Call of Duty: Modern Warfare,45303,9,51302,5
System Shock 3,41401,9,#N/A,6
Locke & Key,41306,9,45215,7
Robert Downey Jr.,31858,9,#N/A,8
Chaos Walking,31419,9,140510,9
Birds of Prey And the Fantabulous Emancipation of One Harley Quinn,214317,10,312007,0
Academy Awards,204373,10,284069,1
Final Fantasy VII Remake,119843,10,203792,2
Joker,100454,10,#N/A,3
Anthem,94829,10,#N/A,4
Resident Evil 7 Biohazard,87408,10,#N/A,5
Red Dead Redemption 2,71200,10,#N/A,6
The Irishman,65184,10,#N/A,7
Parasite,46108,10,#N/A,8
Ragnarok,37785,10,#N/A,9
Birds of Prey And the Fantabulous Emancipation of One Harley Quinn,163331,11,214317,0
Pokemon Sword,80086,11,#N/A,1
Outriders,77392,11,#N/A,2
Joker,65871,11,100454,3
Final Fantasy VII Remake,55901,11,119843,4
Resident Evil 7 Biohazard,55509,11,87408,5
The Hunt [2020],42155,11,#N/A,6
Wonder Woman 1984,40286,11,#N/A,7
Granblue Fantasy Versus,37850,11,#N/A,8
Ragnarok,37734,11,37785,9
Star Wars: The Rise Of Kylo Ren,113739,12,#N/A,0
Dark Nights: Metal,78595,12,#N/A,1
Final Fantasy VII Remake,76448,12,55901,2
PlayStation 4 Pro,73891,12,#N/A,3
Sonic the Hedgehog: The Movie,69347,12,#N/A,4
Jurassic World: Dominion,66595,12,#N/A,5
"Honey, I Shrunk the Kids",58172,12,#N/A,6
New World,53090,12,#N/A,7
Nintendo Switch,51143,12,#N/A,8
Westworld,34880,12,#N/A,9
The Batman,960581,13,#N/A,0
Armageddon,563949,13,#N/A,1
Final Fantasy VII Remake,465484,13,76448,2
Sonic the Hedgehog: The Movie,254382,13,69347,3
Limetown,204459,13,#N/A,4
Dreams,137733,13,#N/A,5
Marvel's Avengers,117048,13,#N/A,6
Star Wars: The Rise of Skywalker,76965,13,#N/A,7
Star Wars: The Rise Of Kylo Ren,63506,13,113739,8
The Mighty Ducks: The Series,46006,13,#N/A,9
The Batman,393877,14,960581,0
Armageddon,196352,14,563949,1
Marvel's Avengers,179842,14,117048,2
Final Fantasy VII Remake,151360,14,465484,3
Limetown,117575,14,204459,4
Sonic the Hedgehog: The Movie,98986,14,254382,5
Masters of the Universe: Revelation,85050,14,#N/A,6
The Witcher,67080,14,#N/A,7
Fantasy Island,56398,14,#N/A,8
Stranger Things,53236,14,#N/A,9
The Last Airbender,240597,15,#N/A,0
The Batman,106464,15,393877,1
Dreams,77522,15,#N/A,2
Armageddon,76322,15,196352,3
Marvel's Avengers,71515,15,179842,4
The Iron Mask,53185,15,#N/A,5
Limetown,42414,15,117575,6
Masters of the Universe: Revelation,42022,15,85050,7
The Witcher,40903,15,67080,8
Sonic the Hedgehog: The Movie,39525,15,98986,9
The Last Airbender,110463,16,240597,0
Sonic the Hedgehog: The Movie,99893,16,39525,1
Tom Clancy's Rainbow Six Siege,92929,16,#N/A,2
Demon Slayer: Kimetsu no Yaiba,77968,16,#N/A,3
Dreams,62488,16,77522,4
The Batman,58807,16,106464,5
Queen of Katwe,51771,16,#N/A,6
Battlestar Galactica [reboot],41442,16,#N/A,7
The Iron Mask,27727,16,53185,8
Luigi's Mansion 3,27609,16,#N/A,9
Venom 2,192915,17,#N/A,0
Persona 5 Royal,132101,17,#N/A,1
Tom Clancy's Rainbow Six Siege,59443,17,92929,2
Sonic the Hedgehog: The Movie,48902,17,99893,3
Jurassic World: Dominion,40714,17,#N/A,4
The Batman,40544,17,58807,5
Rick and Morty,37787,17,#N/A,6
Dreams,28388,17,62488,7
The Last Airbender,25017,17,110463,8
Luigi's Mansion 3,21517,17,27609,9
The Batman,147322,18,40544,0
The Witcher,84678,18,#N/A,1
Venom 2,58334,18,192915,2
The Witcher 3: Wild Hunt,47257,18,#N/A,3
Star Wars: The Clone Wars,46132,18,#N/A,4
My Hero Academia: Heroes Rising,41759,18,#N/A,5
Final Fantasy VII Remake,37479,18,#N/A,6
Doom Eternal,33312,18,#N/A,7
Jurassic World: Dominion,30487,18,40714,8
The Last Airbender,30001,18,25017,9
New World,163443,19,#N/A,0
The Batman,112110,19,147322,1
Final Fantasy VII Remake,81612,19,37479,2
Avengers: Endgame,75383,19,#N/A,3
Star Wars: The Clone Wars,66711,19,46132,4
Fortnite,66588,19,#N/A,5
The Umbrella Academy,65212,19,#N/A,6
The Witcher,61930,19,84678,7
Guardians of the Galaxy Vol. 3,57477,19,#N/A,8
The Call of the Wild,49220,19,#N/A,9
Star Wars: The Mandalorian,792652,20,#N/A,0
Mortal Kombat [2021],120846,20,#N/A,1
Metroid Prime,101863,20,#N/A,2
Animal Crossing: New Horizons,99673,20,#N/A,3
Castlevania,88467,20,#N/A,4
Fortnite,80714,20,66588,5
Maneater,80003,20,#N/A,6
The Umbrella Academy,75350,20,65212,7
The Call of the Wild,69700,20,49220,8
Hasbro,69071,20,#N/A,9
Star Wars: The Mandalorian,194376,21,792652,0
The Batman,166027,21,#N/A,1
Star Wars: The Clone Wars,109384,21,#N/A,2
Animal Crossing: New Horizons,107409,21,99673,3
Onward,102185,21,#N/A,4
Red Dead Redemption 2,85317,21,#N/A,5
The Witcher,69603,21,#N/A,6
Jurassic World,64709,21,#N/A,7
Star Trek: Picard,55671,21,#N/A,8
Microsoft Flight Simulator [Next-Gen],54477,21,#N/A,9
Star Wars: The Mandalorian,120809,22,194376,0
Animal Crossing: New Horizons,99951,22,107409,1
Altered Carbon,94621,22,#N/A,2
Call of Duty: Modern Warfare,49186,22,#N/A,3
Star Wars -- J.D. Dillard / Matt Owens Project,45216,22,#N/A,4
Doom Eternal,44264,22,#N/A,5
The Witcher,42473,22,69603,6
The Batman,41058,22,166027,7
Friends,37320,22,#N/A,8
Star Wars: The Clone Wars,36897,22,109384,9
Resident Evil 3,1046035,23,#N/A,0
Animal Crossing: New Horizons,151786,23,99951,1
