name,value,year,last value,rank
Final Fantasy VII Remake,227462,1,227462,0
Xbox Series X,150860,1,150860,1
F9 [Fast & Furious 9],92191,1,92191,2
Lethal Weapon,87439,1,87439,3
Locke & Key,59561,1,59561,4
The Witcher,55417,1,55417,5
Birds of Prey And the Fantabulous Emancipation of One Harley Quinn,52707,1,52707,6
The Matrix 4,43475,1,43475,7
Star Trek: Picard,35127,1,35127,8
Mission: Impossible 7,27353,1,27353,9
Marvel's WandaVision,410500,2,#N/A,0
Final Fantasy VII Remake,308694,2,227462,1
Xbox Series X,210346,2,150860,2
Lethal Weapon,116531,2,87439,3
F9 [Fast & Furious 9],116283,2,92191,4
Locke & Key,111099,2,59561,5
The Witcher,81251,2,55417,6
The Matrix 4,78290,2,43475,7
Marvel's Black Widow,75832,2,#N/A,8
Birds of Prey And the Fantabulous Emancipation of One Harley Quinn,71408,2,52707,9
Marvel's WandaVision,1080779,3,410500,0
Final Fantasy VII Remake,339527,3,308694,1
Xbox Series X,220206,3,210346,2
Marvel's Loki,188297,3,#N/A,3
Sonic the Hedgehog: The Movie,159041,3,#N/A,4
Marvel's Black Widow,140830,3,75832,5
F9 [Fast & Furious 9],126906,3,116283,6
Lethal Weapon,122904,3,116531,7
Locke & Key,121799,3,111099,8
Marvel's The Falcon and The Winter Soldier,110615,3,#N/A,9
Marvel's WandaVision,1224694,4,1080779,0
Final Fantasy VII Remake,350631,4,339527,1
Xbox Series X,254412,4,220206,2
F9 [Fast & Furious 9],248010,4,126906,3
Marvel's Loki,195727,4,188297,4
PlayStation 5,173994,4,#N/A,5
Sonic the Hedgehog: The Movie,169521,4,159041,6
Marvel's Black Widow,148630,4,140830,7
The Dark Knight,135335,4,#N/A,8
Marvel's The Falcon and The Winter Soldier,134062,4,110615,9
Marvel's WandaVision,1264313,5,1224694,0
Final Fantasy VII Remake,429362,5,350631,1
Birds of Prey And the Fantabulous Emancipation of One Harley Quinn,327302,5,#N/A,2
Xbox Series X,303174,5,254412,3
F9 [Fast & Furious 9],285336,5,248010,4
PlayStation 5,248216,5,173994,5
Marvel's Loki,197391,5,195727,6
Sonic the Hedgehog: The Movie,170997,5,169521,7
Star Wars: Darth Vader [2015 - 2016],155014,5,#N/A,8
The Dark Knight,153416,5,153416,9
Marvel's WandaVision,1271246,6,1264313,0
Birds of Prey And the Fantabulous Emancipation of One Harley Quinn,495867,6,327302,1
Final Fantasy VII Remake,470773,6,429362,2
Xbox Series X,312153,6,303174,3
PlayStation 5,296988,6,248216,4
F9 [Fast & Furious 9],295790,6,285336,5
Star Wars: Darth Vader [2015 - 2016],251246,6,155014,6
Warcraft III: Reforged,224014,6,#N/A,7
Marvel's Loki,198026,6,197391,8
Sonic the Hedgehog: The Movie,172381,6,170997,9
Final Fantasy VII Remake,1805826,7,470773,0
Marvel's WandaVision,1273821,7,1271246,1
Birds of Prey And the Fantabulous Emancipation of One Harley Quinn,670012,7,495867,2
PlayStation 5,343375,7,296988,3
Xbox Series X,315416,7,312153,4
F9 [Fast & Furious 9],299913,7,295790,5
Star Wars: Darth Vader [2015 - 2016],265780,7,251246,6
Warcraft III: Reforged,256122,7,224014,7
Daymare: 1998,202231,7,#N/A,8
Marvel's Loki,198326,7,198026,9
Final Fantasy VII Remake,2467991,8,1805826,0
Marvel's WandaVision,1275038,8,1273821,1
Birds of Prey And the Fantabulous Emancipation of One Harley Quinn,1162744,8,670012,2
PlayStation 5,368528,8,343375,3
F9 [Fast & Furious 9],346065,8,299913,4
Xbox Series X,317774,8,315416,5
Daymare: 1998,270215,8,202231,6
Star Wars: Darth Vader [2015 - 2016],267419,8,265780,7
Warcraft III: Reforged,264423,8,256122,8
The Witcher,239345,8,#N/A,9
Final Fantasy VII Remake,2671783,9,2467991,0
Birds of Prey And the Fantabulous Emancipation of One Harley Quinn,1474751,9,1162744,1
Marvel's WandaVision,1278604,9,1275038,2
PlayStation 5,376286,9,368528,3
F9 [Fast & Furious 9],372348,9,346065,4
Xbox Series X,318940,9,317774,5
Academy Awards,315182,9,#N/A,6
Daymare: 1998,294228,9,270215,7
Locke & Key,270715,9,#N/A,8
Warcraft III: Reforged,269133,9,264423,9
Final Fantasy VII Remake,2791626,10,2671783,0
Birds of Prey And the Fantabulous Emancipation of One Harley Quinn,1689068,10,1474751,1
Marvel's WandaVision,1279284,10,1278604,2
Academy Awards,519555,10,315182,3
PlayStation 5,411338,10,376286,4
F9 [Fast & Furious 9],377444,10,372348,5
Xbox Series X,319860,10,318940,6
Daymare: 1998,300549,10,294228,7
Locke & Key,294921,10,270715,8
Warcraft III: Reforged,272256,10,269133,9
Final Fantasy VII Remake,2847527,11,2791626,0
Birds of Prey And the Fantabulous Emancipation of One Harley Quinn,1852399,11,1689068,1
Marvel's WandaVision,1283701,11,1279284,2
Academy Awards,541702,11,519555,3
PlayStation 5,427238,11,411338,4
F9 [Fast & Furious 9],378834,11,377444,5
Locke & Key,320950,11,294921,6
Xbox Series X,320397,11,319860,7
Daymare: 1998,302506,11,300549,8
The Witcher,278108,11,#N/A,9
Final Fantasy VII Remake,2923975,12,2847527,0
Birds of Prey And the Fantabulous Emancipation of One Harley Quinn,1883563,12,1852399,1
Marvel's WandaVision,1284930,12,1283701,2
Academy Awards,545399,12,541702,3
PlayStation 5,432394,12,427238,4
F9 [Fast & Furious 9],379295,12,378834,5
Xbox Series X,339585,12,320397,6
Locke & Key,330602,12,320950,7
Daymare: 1998,303182,12,302506,8
The Witcher,283203,12,278108,9
Final Fantasy VII Remake,3389459,13,2923975,0
Birds of Prey And the Fantabulous Emancipation of One Harley Quinn,1893445,13,1883563,1
Marvel's WandaVision,1285631,13,1284930,2
The Batman,1006514,13,#N/A,3
Armageddon,563961,13,#N/A,4
Academy Awards,546709,13,545399,5
Sonic the Hedgehog: The Movie,533317,13,#N/A,6
PlayStation 5,449616,13,432394,7
F9 [Fast & Furious 9],379691,13,379295,8
Xbox Series X,347531,13,339585,9
Final Fantasy VII Remake,3540819,14,3389459,0
Birds of Prey And the Fantabulous Emancipation of One Harley Quinn,1915479,14,1893445,1
The Batman,1400391,14,1006514,2
Marvel's WandaVision,1286440,14,1285631,3
Armageddon,760313,14,563961,4
Sonic the Hedgehog: The Movie,632303,14,533317,5
Academy Awards,547354,14,546709,6
PlayStation 5,498805,14,449616,7
F9 [Fast & Furious 9],380080,14,379691,8
The Witcher,354709,14,#N/A,9
Final Fantasy VII Remake,3576515,15,3540819,0
Birds of Prey And the Fantabulous Emancipation of One Harley Quinn,1929083,15,1915479,1
The Batman,1506855,15,1400391,2
Marvel's WandaVision,1287014,15,1286440,3
Armageddon,836635,15,760313,4
Sonic the Hedgehog: The Movie,671828,15,632303,5
Academy Awards,547840,15,547354,6
PlayStation 5,506519,15,498805,7
The Witcher,395612,15,354709,8
F9 [Fast & Furious 9],380297,15,380080,9
Final Fantasy VII Remake,3593280,16,3576515,0
Birds of Prey And the Fantabulous Emancipation of One Harley Quinn,1933455,16,1929083,1
The Batman,1565662,16,1506855,2
Marvel's WandaVision,1287130,16,1287014,3
Armageddon,851197,16,836635,4
Sonic the Hedgehog: The Movie,771721,16,671828,5
Academy Awards,548475,16,547840,6
PlayStation 5,510600,16,506519,7
The Witcher,409961,16,395612,8
Dreams,395587,16,#N/A,9
Final Fantasy VII Remake,3603202,17,3593280,0
Birds of Prey And the Fantabulous Emancipation of One Harley Quinn,1936153,17,1933455,1
The Batman,1606206,17,1565662,2
Marvel's WandaVision,1287309,17,1287130,3
Armageddon,859406,17,851197,4
Sonic the Hedgehog: The Movie,820623,17,771721,5
Academy Awards,548795,17,548475,6
PlayStation 5,513663,17,510600,7
Dreams,423975,17,395587,8
The Witcher,418916,17,409961,9
Final Fantasy VII Remake,3640681,18,3603202,0
Birds of Prey And the Fantabulous Emancipation of One Harley Quinn,1937788,18,1936153,1
The Batman,1753528,18,1606206,2
Marvel's WandaVision,1287435,18,1287309,3
Armageddon,863164,18,859406,4
Sonic the Hedgehog: The Movie,835570,18,820623,5
Academy Awards,548941,18,548795,6
PlayStation 5,523030,18,513663,7
The Witcher,503594,18,418916,8
Dreams,435883,18,423975,9
Final Fantasy VII Remake,3722293,19,3640681,0
Birds of Prey And the Fantabulous Emancipation of One Harley Quinn,1938952,19,1937788,1
The Batman,1865638,19,1753528,2
Marvel's WandaVision,1287776,19,1287435,3
Armageddon,865293,19,863164,4
Sonic the Hedgehog: The Movie,842627,19,835570,5
The Witcher,565524,19,503594,6
Academy Awards,549064,19,548941,7
PlayStation 5,534492,19,523030,8
Dreams,442773,19,435883,9
Final Fantasy VII Remake,3736443,20,3722293,0
Birds of Prey And the Fantabulous Emancipation of One Harley Quinn,1939985,20,1938952,1
The Batman,1883604,20,1865638,2
Marvel's WandaVision,1288593,20,1287776,3
Star Wars: The Mandalorian,1002781,20,#N/A,4
Armageddon,867128,20,865293,5
Sonic the Hedgehog: The Movie,851130,20,842627,6
The Witcher,574777,20,565524,7
PlayStation 5,554517,20,534492,8
Academy Awards,549181,20,549064,9
Final Fantasy VII Remake,3741471,21,3736443,0
The Batman,2049631,21,1883604,1
Birds of Prey And the Fantabulous Emancipation of One Harley Quinn,1941089,21,1939985,2
Marvel's WandaVision,1289049,21,1288593,3
Star Wars: The Mandalorian,1197157,21,1002781,4
Armageddon,868742,21,867128,5
Sonic the Hedgehog: The Movie,855231,21,851130,6
The Witcher,644380,21,574777,7
PlayStation 5,566973,21,554517,8
Academy Awards,549255,21,549181,9
Final Fantasy VII Remake,3744892,22,3741471,0
The Batman,2090689,22,2049631,1
Birds of Prey And the Fantabulous Emancipation of One Harley Quinn,1942220,22,1941089,2
Star Wars: The Mandalorian,1317966,22,1197157,3
Marvel's WandaVision,1289275,22,1289049,4
Armageddon,869531,22,868742,5
Sonic the Hedgehog: The Movie,858012,22,855231,6
The Witcher,686853,22,644380,7
PlayStation 5,572345,22,566973,8
