name,value,year,last value,rank
Dota 2,442899,1,442899,0
Parasite,294046,1,294046,1
Star Wars: The Rise of Skywalker,205850,1,205850,2
Watchmen: The Series,195053,1,195053,3
Star Wars: The Mandalorian,153981,1,153981,4
Mob Psycho 100,139880,1,139880,5
The Witcher,102369,1,102369,6
Luigi's Mansion 3,76422,1,76422,7
Marvel's WandaVision,75684,1,75684,8
A Quiet Place: Part II,74435,1,74435,9
Batman: The Animated Series,625001,2,#N/A,0
Star Wars: The Rise of Skywalker,365687,2,205850,1
Dota 2,302510,2,442899,2
Final Fantasy VII Remake,245244,2,#N/A,3
Mob Psycho 100,214831,2,139880,4
Marvel's The Falcon and The Winter Soldier,178167,2,#N/A,5
Marvel's The Eternals,119316,2,#N/A,6
The Witcher,108829,2,102369,7
Parasite,94756,2,294046,8
PlayStation 4 Pro,81413,2,#N/A,9
Star Wars: The Rise of Skywalker,687165,3,365687,0
The Witcher,109350,3,108829,1
Dota 2,96724,3,302510,2
Marvel's The Falcon and The Winter Soldier,86509,3,178167,3
The Grudge [2020],81874,3,#N/A,4
Luigi's Mansion 3,64596,3,#N/A,5
Final Fantasy VII Remake,56484,3,245244,6
Mob Psycho 100,55114,3,214831,7
Star Wars: The Mandalorian,50914,3,#N/A,8
The Witcher 3: Wild Hunt,43915,3,#N/A,9
Star Wars: The Rise of Skywalker,379830,4,687165,0
Dota 2,110424,4,96724,1
Parasite,79707,4,#N/A,2
Luigi's Mansion 3,65153,4,64596,3
The Witcher,60963,4,109350,4
Watchmen: The Series,50369,4,#N/A,5
Mob Psycho 100,47434,4,55114,6
The Grudge [2020],47062,4,81874,7
Star Wars: The Mandalorian,43802,4,50914,8
The Witcher 3: Wild Hunt,30121,4,43915,9
Star Wars: The Rise of Skywalker,180172,5,379830,0
Call of Duty: Modern Warfare,113794,5,#N/A,1
The Golden Globe Awards,98773,5,#N/A,2
Dota 2,87712,5,110424,3
Parasite,68823,5,79707,4
Luigi's Mansion 3,61801,5,65153,5
The Witcher,54972,5,60963,6
Cyberpunk 2077,51765,5,#N/A,7
Watchmen: The Series,45625,5,50369,8
Star Wars: The Mandalorian,41359,5,41359,9
PlayStation 5,644327,6,#N/A,0
The Grudge [2020],315054,6,#N/A,1
The Batman,134348,6,#N/A,2
Star Wars: The Rise of Skywalker,131966,6,180172,3
Dracula [2020],128819,6,#N/A,4
Xbox Series X,97695,6,#N/A,5
The X-Files,96968,6,#N/A,6
The Golden Globe Awards,93395,6,98773,7
Mahershala Ali,84074,6,#N/A,8
Disintegration,76601,6,#N/A,9
PlayStation 5,315268,7,644327,0
Star Wars: The Rise of Skywalker,257477,7,131966,1
Avatar 2,197916,7,#N/A,2
The Lord of the Rings: Gollum,135524,7,#N/A,3
The Batman,129560,7,134348,4
Dracula [2020],90389,7,128819,5
Nintendo Switch,86378,7,#N/A,6
Marvel's Thor: Love and Thunder,83816,7,#N/A,7
Pokemon Sword,43221,7,#N/A,8
The Grudge [2020],37820,7,315054,9
Star Wars: The Rise of Skywalker,269741,8,257477,0
PlayStation 5,138272,8,315268,1
The Witcher,132537,8,#N/A,2
Crysis,94302,8,#N/A,3
Underwater,85914,8,#N/A,4
Locke & Key,81704,8,#N/A,5
Ozark,55945,8,#N/A,6
GTFO,55294,8,#N/A,7
Star Wars: The Rise Of Kylo Ren,43696,8,#N/A,8
Disney Plus,43107,8,#N/A,9
Pokemon Sword,936100,9,#N/A,0
WB Games Montreal Project,283820,9,#N/A,1
The Witcher,146457,9,132537,2
Batman: Arkham Origins,135547,9,#N/A,3
Star Wars: The Rise of Skywalker,86031,9,269741,4
GTFO,76293,9,55294,5
Birds of Prey and the Fantabulous Emancipation of one Harley Quinn,70259,9,#N/A,6
PlayStation 5,70100,9,138272,7
Mighty Morphin Power Rangers,69197,9,#N/A,8
Marvel's Doctor Strange in the Multiverse of Madness,49613,9,#N/A,9
Pokemon Sword,274550,10,936100,0
Monster Hunter,218400,10,#N/A,1
Dota 2,105325,10,#N/A,2
Batman: Arkham Knight,103311,10,#N/A,3
WB Games Montreal Project,100678,10,283820,4
Resident Evil 3,96924,10,#N/A,5
Disintegration,87452,10,#N/A,6
The Witcher,85118,10,146457,7
Marvel's Doctor Strange in the Multiverse of Madness,58884,10,49613,8
Animal Crossing: New Horizons,49172,10,#N/A,9
Dota 2,199690,11,105325,0
Pokemon Sword,129955,11,274550,1
Monster Hunter,109547,11,218400,2
Star Wars: The Rise of Skywalker,106779,11,#N/A,3
The Witcher,95442,11,85118,4
Batman: Arkham Knight,81292,11,103311,5
Luigi's Mansion 3,47423,11,#N/A,6
Call of Duty: Modern Warfare,42366,11,#N/A,7
Star Wars Jedi: Fallen Order,39977,11,#N/A,8
Attack on Titan,39210,11,#N/A,9
Star Wars: The Rise of Skywalker,121197,12,106779,0
Dota 2,116798,12,199690,1
Assassin's Creed [2020],106697,12,#N/A,2
The Witcher,75810,12,95442,3
Pokemon Sword,64411,12,129955,4
Dracula [2020],47094,12,#N/A,5
Luigi's Mansion 3,45576,12,47423,6
Star Wars Jedi: Fallen Order,34697,12,39977,7
Westworld,30370,12,#N/A,8
Monster Hunter,29254,12,109547,9
PlayStation 5,451487,13,#N/A,0
Morbius,440664,13,#N/A,1
The Witcher,155659,13,75810,2
Bloodborne,99389,13,#N/A,3
Joker,99369,13,#N/A,4
Dreams,90620,13,#N/A,5
Star Wars: The Mandalorian,77497,13,#N/A,6
Halo: The Series,72352,13,#N/A,7
Assassin's Creed [2020],59586,13,106697,8
Academy Awards,53267,13,#N/A,9
J.R.R. Tolkien's The Lord of the Rings Project,791898,14,#N/A,0
The Flash,226271,14,#N/A,1
PlayStation 5,188527,14,451487,2
Marvel's Avengers,165079,14,#N/A,3
Morbius,132430,14,440664,4
Final Fantasy VII Remake,126521,14,#N/A,5
Star Wars: The Rise of Skywalker,116661,14,#N/A,6
Dragon Ball Z: Kakarot,102013,14,#N/A,7
Super Smash Bros. Ultimate,91025,14,#N/A,8
Star Wars: The Mandalorian,80197,14,77497,9
J.R.R. Tolkien's The Lord of the Rings Project,488956,15,791898,0
Star Wars: The Rise of Skywalker,296540,15,116661,1
Dolittle,229875,15,#N/A,2
Arrow,213380,15,#N/A,3
Dragon Ball Z: Kakarot,190020,15,102013,4
DC's Legends of Tomorrow,167777,15,#N/A,5
The Flash,122383,15,226271,6
Crisis On Infinite Earths,119622,15,#N/A,7
No Time To Die,110439,15,#N/A,8
Bad Boys For Life,98368,15,#N/A,9
Cyberpunk 2077,229241,16,#N/A,0
Dragon Ball Z: Kakarot,208558,16,190020,1
DC's Legends of Tomorrow,137691,16,167777,2
Super Smash Bros. Ultimate,136295,16,#N/A,3
Star Wars: The Rise of Skywalker,121697,16,296540,4
The Wheel of Time,113605,16,#N/A,5
Dolittle,73877,16,229875,6
J.R.R. Tolkien's The Lord of the Rings Project,64743,16,488956,7
Bad Boys For Life,64595,16,98368,8
Arrow,60703,16,213380,9
Star Wars: The Mandalorian,223383,17,#N/A,0
Dragon Ball Z: Kakarot,156521,17,208558,1
Locke & Key,92797,17,#N/A,2
The Simpsons,80742,17,#N/A,3
Once Upon a Time in Hollywood,76764,17,#N/A,4
PlayStation 5,69203,17,#N/A,5
Left 4 Dead,59957,17,#N/A,6
Cyberpunk 2077,49734,17,229241,7
Hunt: Showdown,47799,17,#N/A,8
Star Wars: The Rise of Skywalker,40977,17,121697,9
The Batman,282577,18,#N/A,0
Star Wars: The Rise of Skywalker,142732,18,40977,1
PlayStation 5,123545,18,69203,2
Star Wars: The Mandalorian,82330,18,223383,3
Dragon Ball Z: Kakarot,75380,18,156521,4
Call of Duty: Modern Warfare,47132,18,#N/A,5
The Witcher,43114,18,#N/A,6
Luigi's Mansion 3,36827,18,#N/A,7
Star Trek: Picard,30773,18,#N/A,8
Action Comics [2011 - Current],30020,18,#N/A,9
The Batman,144055,19,282577,0
Star Wars: The Rise of Skywalker,116976,19,142732,1
Call of Duty: Modern Warfare,59232,19,47132,2
Dragon Ball Z: Kakarot,51369,19,75380,3
The Witcher,51148,19,43114,4
Star Trek: Picard,42242,19,30773,5
Luigi's Mansion 3,37792,19,36827,6
PlayStation 5,36794,19,123545,7
Bad Boys For Life,34649,19,#N/A,8
Monster Hunter,31247,19,#N/A,9
Arrow,98781,20,#N/A,0
Cyberpunk 2077,92426,20,#N/A,1
Confederate,68145,20,#N/A,2
Avenue 5,52756,20,#N/A,3
Bill & Ted's Excellent Video Game Adventure,52588,20,#N/A,4
The Legend of Zelda: Breath of the Wild,48712,20,#N/A,5
Dragon Ball Z: Kakarot,45917,20,51369,6
Dying Light 2,45170,20,#N/A,7
The Batman,44218,20,144055,8
Mobile Suit Gundam (1979),43558,20,#N/A,9
Altered Carbon,272607,21,#N/A,0
Dragon Ball Z: Kakarot,206672,21,45917,1
Doom Eternal,118145,21,#N/A,2
Dragon Ball Z,112904,21,#N/A,3
Cyberpunk 2077,99748,21,92426,4
Star Wars: The Rise of Skywalker,73772,21,#N/A,5
Arrow,52017,21,98781,6
Batman / Catwoman,51558,21,#N/A,7
The Matrix 4,49578,21,#N/A,8
What Did Jack Do?,42099,21,#N/A,9
Star Wars: The Clone Wars,121861,22,#N/A,0
