name,value,year,last value,rank
Dota 2,442899,1,442899,0
Parasite,294046,1,294046,1
Star Wars: The Rise of Skywalker,205850,1,205850,2
Watchmen: The Series,195053,1,195053,3
Star Wars: The Mandalorian,153981,1,153981,4
Mob Psycho 100,139880,1,139880,5
The Witcher,102369,1,102369,6
Luigi's Mansion 3,76422,1,76422,7
Marvel's WandaVision,75684,1,75684,8
A Quiet Place: Part II,74435,1,74435,9
Dota 2,745409,2,442899,0
Batman: The Animated Series,625061,2,#N/A,1
Star Wars: The Rise of Skywalker,571537,2,205850,2
Parasite,388802,2,294046,3
Mob Psycho 100,354711,2,139880,4
Final Fantasy VII Remake,248052,2,#N/A,5
Watchmen: The Series,233554,2,195053,6
Star Wars: The Mandalorian,222563,2,153981,7
The Witcher,211198,2,102369,8
Marvel's The Falcon and The Winter Soldier,178498,2,#N/A,9
Star Wars: The Rise of Skywalker,1258702,3,571537,0
Dota 2,842133,3,745409,1
Batman: The Animated Series,626071,3,625061,2
Mob Psycho 100,409825,3,354711,3
Parasite,406262,3,388802,4
The Witcher,320548,3,211198,5
Final Fantasy VII Remake,304536,3,248052,6
Star Wars: The Mandalorian,273477,3,222563,7
Marvel's The Falcon and The Winter Soldier,265007,3,178498,8
Watchmen: The Series,246796,3,233554,9
Star Wars: The Rise of Skywalker,1638532,4,1258702,0
Dota 2,952557,4,842133,1
Batman: The Animated Series,626141,4,626071,2
Parasite,485969,4,406262,3
Mob Psycho 100,457259,4,409825,4
The Witcher,381511,4,320548,5
Final Fantasy VII Remake,329289,4,304536,6
Star Wars: The Mandalorian,317279,4,273477,7
Watchmen: The Series,297165,4,246796,8
Marvel's The Falcon and The Winter Soldier,288955,4,265007,9
Star Wars: The Rise of Skywalker,1818704,5,1638532,0
Dota 2,1040269,5,952557,1
Batman: The Animated Series,626251,5,626141,2
Parasite,554792,5,485969,3
Mob Psycho 100,485497,5,457259,4
The Witcher,436483,5,381511,5
Star Wars: The Mandalorian,358638,5,317279,6
Final Fantasy VII Remake,344019,5,329289,7
Watchmen: The Series,342790,5,297165,8
Luigi's Mansion 3,331838,5,331838,9
Star Wars: The Rise of Skywalker,1950670,6,1818704,0
Dota 2,1068725,6,1040269,1
PlayStation 5,673586,6,#N/A,2
Batman: The Animated Series,626294,6,626251,3
Parasite,566589,6,554792,4
Mob Psycho 100,492094,6,485497,5
The Witcher,477717,6,436483,6
The Grudge [2020],457247,6,#N/A,7
Star Wars: The Mandalorian,393831,6,358638,8
Luigi's Mansion 3,371033,6,331838,9
Star Wars: The Rise of Skywalker,2208147,7,1950670,0
Dota 2,1081852,7,1068725,1
PlayStation 5,988854,7,673586,2
Batman: The Animated Series,626356,7,626294,3
Parasite,572253,7,566589,4
The Witcher,509969,7,477717,5
Mob Psycho 100,498285,7,492094,6
The Grudge [2020],495067,7,457247,7
Star Wars: The Mandalorian,419020,7,393831,8
Luigi's Mansion 3,404795,7,371033,9
Star Wars: The Rise of Skywalker,2477888,8,2208147,0
PlayStation 5,1127126,8,988854,1
Dota 2,1093246,8,1081852,2
The Witcher,642506,8,509969,3
Batman: The Animated Series,626386,8,626356,4
Parasite,575111,8,572253,5
The Grudge [2020],503226,8,495067,6
Mob Psycho 100,502645,8,498285,7
Luigi's Mansion 3,435819,8,404795,8
Star Wars: The Mandalorian,435168,8,419020,9
Star Wars: The Rise of Skywalker,2563919,9,2477888,0
PlayStation 5,1197226,9,1127126,1
Dota 2,1104387,9,1093246,2
Pokemon Sword,1067763,9,#N/A,3
The Witcher,788963,9,642506,4
Batman: The Animated Series,626540,9,626386,5
Parasite,594902,9,575111,6
The Grudge [2020],506631,9,503226,7
Mob Psycho 100,505994,9,502645,8
Luigi's Mansion 3,465750,9,435819,9
Star Wars: The Rise of Skywalker,2602575,10,2563919,0
Pokemon Sword,1342313,10,1067763,1
PlayStation 5,1210459,10,1197226,2
Dota 2,1209712,10,1104387,3
The Witcher,874081,10,788963,4
Batman: The Animated Series,626575,10,626540,5
Parasite,604584,10,594902,6
Mob Psycho 100,508942,10,505994,7
The Grudge [2020],507692,10,506631,8
Luigi's Mansion 3,498581,10,465750,9
Star Wars: The Rise of Skywalker,2709354,11,2602575,0
Pokemon Sword,1472268,11,1342313,1
Dota 2,1409402,11,1209712,2
PlayStation 5,1216332,11,1210459,3
The Witcher,969523,11,874081,4
Batman: The Animated Series,626598,11,626575,5
Parasite,606345,11,604584,6
Luigi's Mansion 3,546004,11,498581,7
Mob Psycho 100,512308,11,508942,8
The Grudge [2020],508560,11,507692,9
Star Wars: The Rise of Skywalker,2830551,12,2709354,0
Pokemon Sword,1536679,12,1472268,1
Dota 2,1526200,12,1409402,2
PlayStation 5,1221579,12,1216332,3
The Witcher,1045333,12,969523,4
Batman: The Animated Series,626675,12,626598,5
Parasite,608383,12,606345,6
Luigi's Mansion 3,591580,12,546004,7
Mob Psycho 100,514878,12,512308,8
The Grudge [2020],509393,12,508560,9
Star Wars: The Rise of Skywalker,2848176,13,2830551,0
PlayStation 5,1673066,13,1221579,1
Pokemon Sword,1563443,13,1536679,2
Dota 2,1558359,13,1526200,3
The Witcher,1200992,13,1045333,4
Batman: The Animated Series,626701,13,626675,5
Luigi's Mansion 3,618679,13,591580,6
Parasite,609844,13,608383,7
Star Wars: The Mandalorian,552395,13,#N/A,8
Mob Psycho 100,517332,13,514878,9
Star Wars: The Rise of Skywalker,2964837,14,2848176,0
PlayStation 5,1861593,14,1673066,1
Pokemon Sword,1573678,14,1563443,2
Dota 2,1569522,14,1558359,3
The Witcher,1274384,14,1200992,4
J.R.R. Tolkien's The Lord of the Rings Project,838598,14,#N/A,5
Luigi's Mansion 3,642108,14,618679,6
Star Wars: The Mandalorian,632592,14,552395,7
Batman: The Animated Series,626779,14,626701,8
Parasite,610961,14,609844,9
Star Wars: The Rise of Skywalker,3261377,15,2964837,0
PlayStation 5,1902582,15,1861593,1
Pokemon Sword,1586127,15,1573678,2
Dota 2,1577516,15,1569522,3
J.R.R. Tolkien's The Lord of the Rings Project,1327554,15,838598,4
The Witcher,1302386,15,1274384,5
Luigi's Mansion 3,665655,15,642108,6
Star Wars: The Mandalorian,659080,15,632592,7
Batman: The Animated Series,626795,15,626779,8
Parasite,612205,15,610961,9
Star Wars: The Rise of Skywalker,3383074,16,3261377,0
PlayStation 5,1930015,16,1902582,1
Pokemon Sword,1595907,16,1586127,2
Dota 2,1585062,16,1577516,3
J.R.R. Tolkien's The Lord of the Rings Project,1392297,16,1327554,4
The Witcher,1334374,16,1302386,5
Luigi's Mansion 3,688977,16,665655,6
Star Wars: The Mandalorian,677616,16,659080,7
Batman: The Animated Series,626834,16,626795,8
Morbius,613822,16,#N/A,9
Star Wars: The Rise of Skywalker,3424051,17,3383074,0
PlayStation 5,1999218,17,1930015,1
Pokemon Sword,1633777,17,1595907,2
Dota 2,1593139,17,1585062,3
J.R.R. Tolkien's The Lord of the Rings Project,1429458,17,1392297,4
The Witcher,1354582,17,1334374,5
Star Wars: The Mandalorian,900999,17,677616,6
Dragon Ball Z: Kakarot,730486,17,#N/A,7
Luigi's Mansion 3,714455,17,688977,8
Batman: The Animated Series,626851,17,626834,9
Star Wars: The Rise of Skywalker,3566783,18,3424051,0
PlayStation 5,2122763,18,1999218,1
Pokemon Sword,1651533,18,1633777,2
Dota 2,1599426,18,1593139,3
J.R.R. Tolkien's The Lord of the Rings Project,1445059,18,1429458,4
The Witcher,1397696,18,1354582,5
Star Wars: The Mandalorian,983329,18,900999,6
Dragon Ball Z: Kakarot,805866,18,730486,7
Luigi's Mansion 3,751282,18,714455,8
Batman: The Animated Series,626878,18,626851,9
Star Wars: The Rise of Skywalker,3683759,19,3566783,0
PlayStation 5,2159557,19,2122763,1
Pokemon Sword,1662725,19,1651533,2
Dota 2,1604909,19,1599426,3
J.R.R. Tolkien's The Lord of the Rings Project,1455523,19,1445059,4
The Witcher,1448844,19,1397696,5
Star Wars: The Mandalorian,1012436,19,983329,6
Dragon Ball Z: Kakarot,857235,19,805866,7
Luigi's Mansion 3,789074,19,751282,8
The Batman,748658,19,#N/A,9
Star Wars: The Rise of Skywalker,3719394,20,3683759,0
PlayStation 5,2172774,20,2159557,1
Pokemon Sword,1671507,20,1662725,2
Dota 2,1610313,20,1604909,3
The Witcher,1486019,20,1448844,4
J.R.R. Tolkien's The Lord of the Rings Project,1458338,20,1455523,5
Star Wars: The Mandalorian,1024070,20,1012436,6
Dragon Ball Z: Kakarot,903152,20,857235,7
Luigi's Mansion 3,818256,20,789074,8
The Batman,792876,20,748658,9
Star Wars: The Rise of Skywalker,3793166,21,3719394,0
PlayStation 5,2182345,21,2172774,1
Pokemon Sword,1678175,21,1671507,2
Dota 2,1617165,21,1610313,3
The Witcher,1527499,21,1486019,4
J.R.R. Tolkien's The Lord of the Rings Project,1460869,21,1458338,5
Dragon Ball Z: Kakarot,1109824,21,903152,6
Star Wars: The Mandalorian,1030743,21,1024070,7
Luigi's Mansion 3,838638,21,818256,8
The Batman,803189,21,792876,9
Star Wars: The Rise of Skywalker,3846263,22,3793166,0
PlayStation 5,2193859,22,2182345,1
Pokemon Sword,1684004,22,1678175,2
Dota 2,1623308,22,1617165,3
