name,value,year,last value,rank
The Last of Us Part II,125596,1,125596,0
Crysis Remastered,114233,1,114233,1
Justice League,96669,1,96669,2
Cyberpunk 2077,82319,1,82319,3
Hamilton,76772,1,76772,4
Star Trek: Lower Decks,53561,1,53561,5
PlayStation 5,45225,1,45225,6
Beavis and Butt-Head,40151,1,40151,7
Fallout 76,37712,1,37712,8
Jurassic World: Dominion,34514,1,34514,9
Transformers / Back to the Future,388362,2,#N/A,0
The Last of Us Part II,257630,2,125596,1
Marvel's Iron Man VR,156162,2,#N/A,2
Crysis Remastered,137839,2,114233,3
Justice League,123252,2,96669,4
Monster Hunter,120829,2,#N/A,5
Final Fantasy VII Remake,117758,2,#N/A,6
Cyberpunk 2077,108034,2,82319,7
Hamilton,84887,2,76772,8
Star Trek: Lower Decks,73421,2,53561,9
Transformers / Back to the Future,611420,3,388362,0
The Last of Us Part II,399050,3,257630,1
Batman: Black and White Statues,201552,3,#N/A,2
Monster Hunter,196111,3,120829,3
Final Fantasy VII Remake,185791,3,117758,4
Marvel's Iron Man VR,180713,3,156162,5
Mortal Kombat 11,149714,3,#N/A,6
Crysis Remastered,140932,3,137839,7
Justice League,125495,3,123252,8
Cyberpunk 2077,119017,3,108034,9
Transformers / Back to the Future,689129,4,611420,0
The Last of Us Part II,537256,4,399050,1
The Tax Collector,277031,4,#N/A,2
Batman: Black and White Statues,268911,4,201552,3
Monster Hunter,246793,4,196111,4
Final Fantasy VII Remake,232968,4,185791,5
Marvel's Iron Man VR,198879,4,180713,6
Mortal Kombat 11,165898,4,149714,7
Hamilton,143329,4,#N/A,8
Crysis Remastered,142314,4,140932,9
The Last of Us Part II,740658,5,537256,0
Transformers / Back to the Future,717314,5,689129,1
Final Fantasy VII Remake,318066,5,232968,2
The Tax Collector,314601,5,277031,3
Batman: Black and White Statues,288168,5,268911,4
Monster Hunter,258087,5,246793,5
Marvel's Iron Man VR,209633,5,198879,6
Hamilton,205312,5,143329,7
Mortal Kombat 11,170076,5,165898,8
Mortal Shell,154102,5,154102,9
The Last of Us Part II,998242,6,740658,0
Transformers / Back to the Future,750861,6,717314,1
Final Fantasy VII Remake,447170,6,318066,2
The Tax Collector,330440,6,314601,3
Batman: Black and White Statues,294935,6,288168,4
Monster Hunter,265652,6,258087,5
Hamilton,217210,6,205312,6
Marvel's Iron Man VR,213545,6,209633,7
Iron Man,181136,6,#N/A,8
Mortal Shell,175741,6,154102,9
The Last of Us Part II,1191100,7,998242,0
Transformers / Back to the Future,759208,7,750861,1
Final Fantasy VII Remake,473853,7,447170,2
The Tax Collector,331478,7,330440,3
Batman: Black and White Statues,297254,7,294935,4
Monster Hunter,267955,7,265652,5
Hamilton,227031,7,217210,6
Assassin's Creed Valhalla,218289,7,#N/A,7
Marvel's Iron Man VR,216899,7,213545,8
Iron Man,188005,7,181136,9
The Last of Us Part II,1308676,8,1191100,0
Transformers / Back to the Future,761200,8,759208,1
Final Fantasy VII Remake,484853,8,473853,2
