name,value,year,last value,rank
The Last of Us Part II,125596,1,125596,0
Crysis Remastered,114233,1,114233,1
Justice League,96669,1,96669,2
Cyberpunk 2077,82319,1,82319,3
Hamilton,76772,1,76772,4
Star Trek: Lower Decks,53561,1,53561,5
PlayStation 5,45225,1,45225,6
Beavis and Butt-Head,40151,1,40151,7
Fallout 76,37712,1,37712,8
Jurassic World: Dominion,34514,1,34514,9
Transformers / Back to the Future,388362,2,#N/A,0
Marvel's Iron Man VR,146361,2,#N/A,1
The Last of Us Part II,132034,2,125596,2
Monster Hunter,120810,2,#N/A,3
Final Fantasy VII Remake,111356,2,#N/A,4
Alien,67406,2,#N/A,5
NBA 2K21 [Next-Gen],58277,2,#N/A,6
Hyper Scape,44653,2,#N/A,7
Halo Infinite,44274,2,#N/A,8
Fallout 3,42730,2,#N/A,9
Transformers / Back to the Future,223058,3,388362,0
Batman: Black and White Statues,201548,3,#N/A,1
The Last of Us Part II,141420,3,132034,2
Mortal Kombat 11,112220,3,#N/A,3
The Old Guard,86074,3,#N/A,4
The Tax Collector,79963,3,#N/A,5
Monster Hunter,75282,3,120810,6
Final Fantasy VII Remake,68033,3,111356,7
Hanna,46056,3,#N/A,8
Songbird,29497,3,#N/A,9
The Tax Collector,197068,4,79963,0
The Last of Us Part II,138206,4,141420,1
Transformers / Back to the Future,77709,4,223058,2
Batman: Black and White Statues,67359,4,201548,3
Batman v Superman: Dawn of Justice,65767,4,#N/A,4
Monster Hunter,50682,4,75282,5
Hamilton,49102,4,#N/A,6
Final Fantasy VII Remake,47177,4,68033,7
The Old Guard,34736,4,86074,8
Mortal Shell,31126,4,31126,9
The Last of Us Part II,203402,5,138206,0
Iron Man,123668,5,#N/A,1
Batman Returns,115747,5,#N/A,2
Final Fantasy VII Remake,85098,5,47177,3
Mortal Shell,71741,5,31126,4
Hamilton,61983,5,49102,5
The Tax Collector,37570,5,197068,6
Transformers / Back to the Future,28185,5,77709,7
Independence Day,27736,5,#N/A,8
Batman v Superman: Dawn of Justice,25268,5,25268,9
The Last of Us Part II,257584,6,203402,0
Marvel's Black Widow,133119,6,#N/A,1
Final Fantasy VII Remake,129104,6,85098,2
Assassin's Creed Valhalla,121221,6,#N/A,3
WB Games Montreal Project,105564,6,#N/A,4
Greyhound,76265,6,#N/A,5
Hulk Hogan Biopic,66705,6,#N/A,6
Back 4 Blood,61207,6,#N/A,7
Wonder Woman 1984,60270,6,#N/A,8
Iron Man,57402,6,123668,9
The Last of Us Part II,192858,7,257584,0
Mad Max: Furiosa,110014,7,#N/A,1
Assassin's Creed Valhalla,93407,7,121221,2
Destiny 2,70963,7,#N/A,3
Warrior Nun: The Series,59528,7,#N/A,4
Kingdoms of Amalur: Re-Reckoning,59000,7,#N/A,5
WB Games Montreal Project,56230,7,105564,6
Hulk Hogan Biopic,53467,7,66705,7
PlayStation 5,52750,7,#N/A,8
Marvel's Black Widow,49128,7,133119,9
Frozen 2,425776,8,#N/A,0
