name,value,year,last value,rank
Star Wars (Hasbro),706454,1,706454,0
The Last of Us Part II,144713,1,144713,1
PlayStation 5,132372,1,132372,2
WWE 2K20,44553,1,44553,3
The Lord of the Rings: The Fellowship of the Ring,37007,1,37007,4
Rick and Morty,34071,1,34071,5
AJ and the Queen,32641,1,32641,6
Batman v Superman: Dawn of Justice,30260,1,30260,7
Space Force,28769,1,28769,8
WWE [PPVs],22247,1,22247,9
Star Wars (Hasbro),1173737,2,706454,0
The Last of Us Part II,205244,2,144713,1
PlayStation 5,181647,2,132372,2
WWE 2K20,81606,2,44553,3
Rick and Morty,78350,2,34071,4
Batman v Superman: Dawn of Justice,61469,2,30260,5
Call of Duty: Modern Warfare,56554,2,#N/A,6
The Lord of the Rings: The Fellowship of the Ring,46501,2,37007,7
AJ and the Queen,44679,2,32641,8
Space Force,40542,2,28769,9
Star Wars (Hasbro),1305528,3,1173737,0
Pokemon Shield,282743,3,#N/A,1
The Last of Us Part II,245971,3,205244,2
PlayStation 5,198613,3,181647,3
Batwoman,119730,3,#N/A,4
Marvel's Avengers,100116,3,#N/A,5
Rick and Morty,92505,3,78350,6
WWE 2K20,91829,3,81606,7
Call of Duty: Modern Warfare,86644,3,56554,8
Ghostwire: Tokyo,79452,3,#N/A,9
Star Wars (Hasbro),1316621,4,1305528,0
The Last of Us Part II,433937,4,245971,1
Pokemon Shield,331286,4,282743,2
PlayStation 5,238512,4,198613,3
Kingdoms of Amalur: Reckoning,211962,4,#N/A,4
Xbox One X,139881,4,#N/A,5
Batwoman,129794,4,119730,6
Ghostwire: Tokyo,121803,4,79452,7
Marvel's Avengers,114704,4,100116,8
Call of Duty: Modern Warfare,102396,4,86644,9
Star Wars (Hasbro),1317262,5,1316621,0
The Last of Us Part II,482094,5,433937,1
Pokemon Shield,343770,5,331286,2
PlayStation 5,298373,5,238512,3
Kingdoms of Amalur: Reckoning,238079,5,211962,4
Xbox One X,191608,5,139881,5
Pokemon,183872,5,#N/A,6
Batwoman,158433,5,129794,7
The Sims 4,131370,5,#N/A,8
Ghostwire: Tokyo,127581,5,127581,9
Star Wars (Hasbro),1317484,6,1317262,0
The Last of Us Part II,530522,6,482094,1
Pokemon Shield,347900,6,343770,2
PlayStation 5,311945,6,298373,3
Kingdoms of Amalur: Reckoning,241731,6,238079,4
Pokemon,228948,6,183872,5
Xbox One X,196629,6,191608,6
Batwoman,174802,6,158433,7
Other,148887,6,#N/A,8
The Sims 4,134521,6,131370,9
Star Wars (Hasbro),1317585,7,1317484,0
The Last of Us Part II,897157,7,530522,1
Pokemon Shield,350986,7,347900,2
PlayStation 5,332399,7,311945,3
Kingdoms of Amalur: Reckoning,243300,7,241731,4
Pokemon,241258,7,228948,5
Batwoman,231345,7,174802,6
Xbox One X,202196,7,196629,7
Other,161318,7,148887,8
Ghostbusters [1984],150104,7,#N/A,9
Star Wars (Hasbro),1318049,8,1317585,0
The Last of Us Part II,1064735,8,897157,1
PlayStation 5,494995,8,332399,2
Pokemon Shield,352864,8,350986,3
Pokemon,248100,8,241258,4
The Flash,247919,8,#N/A,5
Batwoman,244949,8,231345,6
Kingdoms of Amalur: Reckoning,244645,8,243300,7
13 Reasons Why,234953,8,#N/A,8
Xbox One X,203513,8,202196,9
Star Wars (Hasbro),1318703,9,1318049,0
The Last of Us Part II,1165677,9,1064735,1
PlayStation 5,576492,9,494995,2
Pokemon Shield,354514,9,352864,3
The Flash,321339,9,247919,4
Pokemon,251359,9,248100,5
13 Reasons Why,250520,9,234953,6
Batwoman,248002,9,244949,7
Kingdoms of Amalur: Reckoning,245524,9,244645,8
Xbox One X,204007,9,203513,9
Star Wars (Hasbro),1320162,10,1318703,0
The Last of Us Part II,1220666,10,1165677,1
PlayStation 5,757111,10,576492,2
Pokemon Shield,355622,10,354514,3
The Flash,327099,10,321339,4
Batwoman,261802,10,248002,5
13 Reasons Why,255160,10,250520,6
Pokemon,252475,10,251359,7
Kingdoms of Amalur: Reckoning,246095,10,245524,8
Other,221963,10,#N/A,9
PlayStation 5,3894965,11,757111,0
Star Wars (Hasbro),1321387,11,1320162,1
The Last of Us Part II,1313022,11,1220666,2
Pokemon Shield,356592,11,355622,3
The Flash,332088,11,327099,4
Marvel's Spider-Man,275944,11,#N/A,5
Batwoman,264083,11,261802,6
13 Reasons Why,258309,11,255160,7
Pokemon,253416,11,252475,8
Kingdoms of Amalur: Reckoning,246555,11,246095,9
PlayStation 5,4686813,12,3894965,0
The Last of Us Part II,2094395,12,1313022,1
Star Wars (Hasbro),1321906,12,1321387,2
Pokemon Shield,357318,12,356592,3
The Flash,339977,12,332088,4
Marvel's Spider-Man,298658,12,275944,5
Resident Evil 8,287969,12,#N/A,6
Other,266479,12,#N/A,7
Batwoman,264632,12,264083,8
13 Reasons Why,260406,12,258309,9
PlayStation 5,4865546,13,4686813,0
The Last of Us Part II,2230832,13,2094395,1
Star Wars (Hasbro),1322458,13,1321906,2
The Ridiculous Six,377321,13,#N/A,3
Pokemon Shield,357951,13,357318,4
The Flash,341858,13,339977,5
Marvel's Spider-Man,302457,13,298658,6
Resident Evil 8,299474,13,287969,7
Other,280281,13,266479,8
Batwoman,265037,13,264632,9
PlayStation 5,4941899,14,4865546,0
The Last of Us Part II,2377541,14,2230832,1
Star Wars (Hasbro),1322830,14,1322458,2
The Ridiculous Six,714851,14,377321,3
Pokemon Shield,358571,14,357951,4
The Flash,342878,14,341858,5
Resident Evil 8,307543,14,299474,6
Marvel's Spider-Man,305268,14,302457,7
Other,291860,14,280281,8
Batwoman,265572,14,265037,9
PlayStation 5,5089480,15,4941899,0
The Last of Us Part II,2467559,15,2377541,1
Star Wars (Hasbro),1323305,15,1322830,2
The Ridiculous Six,802802,15,714851,3
Pokemon Shield,753881,15,358571,4
Star Wars: Squadrons,418567,15,#N/A,5
Pokemon Sword,412754,15,#N/A,6
Xbox Series X,365748,15,#N/A,7
The Flash,343650,15,342878,8
Other,312348,15,291860,9
PlayStation 5,5143927,16,5089480,0
The Last of Us Part II,2510671,16,2467559,1
Star Wars (Hasbro),1323726,16,1323305,2
The Ridiculous Six,1093709,16,802802,3
Pokemon Shield,868102,16,753881,4
Star Wars: Squadrons,494974,16,418567,5
Pokemon Sword,460566,16,412754,6
Xbox Series X,433639,16,365748,7
Other,357992,16,312348,8
The Flash,344397,16,343650,9
PlayStation 5,5164126,17,5143927,0
The Last of Us Part II,2549515,17,2510671,1
Star Wars (Hasbro),1324582,17,1323726,2
The Ridiculous Six,1143381,17,1093709,3
