name,value,year,last value,rank
Star Wars (Hasbro),706454,1,706454,0
The Last of Us Part II,144713,1,144713,1
PlayStation 5,132372,1,132372,2
WWE 2K20,44553,1,44553,3
The Lord of the Rings: The Fellowship of the Ring,37007,1,37007,4
Rick and Morty,34071,1,34071,5
AJ and the Queen,32641,1,32641,6
Batman v Superman: Dawn of Justice,30260,1,30260,7
Space Force,28769,1,28769,8
WWE [PPVs],22247,1,22247,9
Star Wars (Hasbro),467283,2,706454,0
The Last of Us Part II,60531,2,144713,1
PlayStation 5,49275,2,132372,2
Rick and Morty,44279,2,34071,3
Call of Duty: Modern Warfare,39633,2,#N/A,4
WWE 2K20,37053,2,44553,5
Batman v Superman: Dawn of Justice,31209,2,30260,6
AJ and the Queen,12038,2,32641,7
Space Force,11773,2,28769,8
Final Fantasy VII Remake,11091,2,#N/A,9
Pokemon Shield,280676,3,#N/A,0
Star Wars (Hasbro),131791,3,467283,1
Batwoman,100438,3,#N/A,2
Marvel's Avengers,96981,3,#N/A,3
Ghostwire: Tokyo,79433,3,#N/A,4
13 Reasons Why,66903,3,#N/A,5
Marvel's Daredevil,51139,3,#N/A,6
The Last of Us Part II,40727,3,60531,7
Other,32860,3,#N/A,8
Call of Duty: Modern Warfare,30090,3,39633,9
Kingdoms of Amalur: Reckoning,194529,4,#N/A,0
The Last of Us Part II,187966,4,40727,1
Xbox One X,139745,4,#N/A,2
The Sims 4,93800,4,#N/A,3
Grand Theft Auto Online,71095,4,#N/A,4
Alien: Covenant,66029,4,#N/A,5
The Outer Worlds,50482,4,#N/A,6
Pokemon Shield,48543,4,280676,7
Ghostwire: Tokyo,42351,4,79433,8
PlayStation 5,39899,4,39899,9
Pokemon,181981,5,#N/A,0
Fantastic Four,63883,5,#N/A,1
PlayStation 5,59861,5,39899,2
Valorant,52796,5,#N/A,3
Xbox One X,51727,5,139745,4
The Elder Scrolls Online: Greymoor,51635,5,#N/A,5
The Last of Us Part II,48157,5,187966,6
Sable,39555,5,#N/A,7
Cyberpunk 2077,39200,5,#N/A,8
The Last Days of American Crime,37005,5,37005,9
Ghostbusters [1984],80502,6,#N/A,0
Fantastic Four,65670,6,63883,1
The Last Days of American Crime,62560,6,37005,2
The Last of Us Part II,48428,6,48157,3
Pokemon,45076,6,181981,4
Valorant,42494,6,52796,5
All in the Family,38861,6,#N/A,6
Destiny 2,33001,6,#N/A,7
The Elder Scrolls Online: Greymoor,32148,6,51635,8
Other,27597,6,#N/A,9
The Last of Us Part II,366635,7,48428,0
The Last of Us: The Series,129244,7,#N/A,1
Batwoman,56543,7,#N/A,2
13 Reasons Why,51108,7,#N/A,3
Ghostbusters [1984],37430,7,80502,4
Doom Eternal,34658,7,#N/A,5
The Elder Scrolls Online: Greymoor,28009,7,32148,6
Just Mercy,24219,7,#N/A,7
PlayStation 5,20454,7,#N/A,8
The Legend of Zelda: Breath of the Wild,19023,7,#N/A,9
The Flash,244316,8,#N/A,0
The Last of Us Part II,167578,8,366635,1
PlayStation 5,162596,8,20454,2
13 Reasons Why,111516,8,51108,3
The King of Staten Island,90338,8,#N/A,4
Looney Tunes Cartoons,38686,8,#N/A,5
The Last of Us: The Series,29469,8,129244,6
Evil Dead Rise,27625,8,#N/A,7
Other,25605,8,#N/A,8
Doom Eternal,20699,8,34658,9
The Last of Us Part II,100942,9,167578,0
Bill & Ted Face the Music,93650,9,#N/A,1
PlayStation 5,81497,9,162596,2
Space Force,81026,9,#N/A,3
Nintendo Switch,78611,9,#N/A,4
The Flash,73420,9,244316,5
Batman [2016 - Current],52820,9,#N/A,6
Destiny 2,52694,9,#N/A,7
Nemesis: Distress,43323,9,#N/A,8
30 For 30,34527,9,#N/A,9
PlayStation 5,180619,10,81497,0
Disintegration,132419,10,#N/A,1
Justice League,66398,10,#N/A,2
Mortal Shell,64985,10,#N/A,3
The Last of Us Part II,54989,10,100942,4
Call of Duty: Warzone,42878,10,#N/A,5
Big Buck Hunter Pro,41061,10,#N/A,6
Batman [2016 - Current],36194,10,52820,7
Second Extinction,32098,10,#N/A,8
Dead Space,31262,10,#N/A,9
PlayStation 5,3137854,11,180619,0
Marvel's Spider-Man,267605,11,#N/A,1
Resident Evil 8,217923,11,#N/A,2
Justice League,102548,11,66398,3
The Last of Us Part II,92356,11,54989,4
Horizon: Forbidden West,81617,11,#N/A,5
Xbox Series X,76111,11,#N/A,6
Artemis Fowl,71866,11,#N/A,7
Demon's Souls,70905,11,#N/A,8
Grand Theft Auto VI [rumored title],61916,11,#N/A,9
PlayStation 5,791848,12,3137854,0
The Last of Us Part II,781373,12,92356,1
Marvel's Spider-Man: Miles Morales,168516,12,#N/A,2
Mortal Kombat 11,74163,12,#N/A,3
Resident Evil 8,69931,12,217923,4
Desperados III,51717,12,#N/A,5
Gears 5,44576,12,#N/A,6
Demon's Souls,42713,12,70905,7
Star Wars: The Last Jedi,33033,12,#N/A,8
Tenet,31644,12,#N/A,9
The Ridiculous Six,377313,13,#N/A,0
PlayStation 5,178733,13,791848,1
The Last of Us Part II,136437,13,781373,2
Gears 5,66134,13,44576,3
The Office,61561,13,#N/A,4
Ghostrunner,47545,13,#N/A,5
Greyhound,35273,13,#N/A,6
Torchlight III,33177,13,#N/A,7
Mortal Kombat 11,33079,13,74163,8
No Time To Die,31903,13,#N/A,9
The Ridiculous Six,337530,14,377313,0
AJ and the Queen,149015,14,#N/A,1
The Last of Us Part II,146709,14,136437,2
The Suicide Squad,93482,14,#N/A,3
PlayStation 5,76353,14,178733,4
The Office,64688,14,61561,5
Ghostrunner,42101,14,47545,6
The Witcher,30030,14,#N/A,7
Overwatch,26121,14,#N/A,8
Torchlight III,24506,14,33177,9
Pokemon Shield,395310,15,#N/A,0
Star Wars: Squadrons,382116,15,#N/A,1
Pokemon Sword,342754,15,#N/A,2
Xbox Series X,166025,15,#N/A,3
PlayStation 5,147581,15,76353,4
The Last of Us Part II,90018,15,146709,5
The Ridiculous Six,87951,15,337530,6
The Suicide Squad,77390,15,93482,7
Little Devil Inside,70712,15,#N/A,8
The Witcher,54101,15,30030,9
The Ridiculous Six,290907,16,87951,0
Pokemon Shield,114221,16,395310,1
The Umbrella Academy,98695,16,#N/A,2
Madden NFL 21,92313,16,#N/A,3
Star Wars: Squadrons,76407,16,382116,4
Kingdom Hearts: Melody Of Memory,70000,16,#N/A,5
Xbox Series X,67891,16,166025,6
PlayStation 5,54447,16,147581,7
Pokemon Sword,47812,16,342754,8
Other,45644,16,#N/A,9
LEGO Star Wars: The Skywalker Saga,701148,17,#N/A,0
