name,value,year,last value,rank
The Legend of Zelda: Breath of the Wild,271857,1,271857,0
Red Dead Redemption 2,146525,1,146525,1
Pokemon Sword,140203,1,140203,2
Grand Theft Auto V,140193,1,140193,3
The Witcher 3: Wild Hunt,132229,1,132229,4
The Elder Scrolls V: Skyrim,66943,1,66943,5
Yakuza 0,45998,1,45998,6
The Sims 4,45467,1,45467,7
Super Mario Odyssey,40278,1,40278,8
Assassin's Creed Odyssey,35340,1,35340,9
The Legend of Zelda: Breath of the Wild,460176,2,271857,0
Red Dead Redemption 2,254461,2,146525,1
Pokemon Sword,241337,2,140203,2
Grand Theft Auto V,239580,2,140193,3
The Witcher 3: Wild Hunt,228028,2,132229,4
The Elder Scrolls V: Skyrim,116963,2,66943,5
Yakuza 0,84886,2,45998,6
The Sims 4,77655,2,45467,7
Super Mario Odyssey,66353,2,40278,8
Assassin's Creed Odyssey,62020,2,35340,9
The Legend of Zelda: Breath of the Wild,641888,3,460176,0
Red Dead Redemption 2,358109,3,254461,1
Grand Theft Auto V,337793,3,239580,2
Pokemon Sword,336280,3,241337,3
The Witcher 3: Wild Hunt,318541,3,228028,4
The Elder Scrolls V: Skyrim,165347,3,116963,5
Yakuza 0,124275,3,84886,6
The Sims 4,107687,3,77655,7
Super Mario Odyssey,91470,3,66353,8
Assassin's Creed Odyssey,88659,3,62020,9
The Legend of Zelda: Breath of the Wild,822845,4,641888,0
Red Dead Redemption 2,458587,4,358109,1
Grand Theft Auto V,437387,4,337793,2
Pokemon Sword,428389,4,336280,3
The Witcher 3: Wild Hunt,407952,4,318541,4
The Elder Scrolls V: Skyrim,214078,4,165347,5
Yakuza 0,164024,4,124275,6
The Sims 4,134083,4,107687,7
Super Mario Odyssey,116837,4,91470,8
Assassin's Creed Odyssey,113047,4,88659,9
The Legend of Zelda: Breath of the Wild,1000100,5,822845,0
Red Dead Redemption 2,557603,5,458587,1
Grand Theft Auto V,548852,5,437387,2
Pokemon Sword,513647,5,428389,3
The Witcher 3: Wild Hunt,494518,5,407952,4
The Elder Scrolls V: Skyrim,260545,5,214078,5
Yakuza 0,205209,5,164024,6
The Sims 4,159361,5,134083,7
Super Mario Odyssey,141620,5,116837,8
Assassin's Creed Odyssey,137652,5,137652,9
The Legend of Zelda: Breath of the Wild,1189622,6,1000100,0
Red Dead Redemption 2,662598,6,557603,1
Grand Theft Auto V,658929,6,548852,2
Pokemon Sword,601709,6,513647,3
The Witcher 3: Wild Hunt,586304,6,494518,4
The Elder Scrolls V: Skyrim,309947,6,260545,5
Yakuza 0,248772,6,205209,6
The Sims 4,186565,6,159361,7
