name,value,year,last value,rank
The Legend of Zelda: Breath of the Wild,274214,1,274214,0
Red Dead Redemption 2,153786,1,153786,1
Pokemon Sword,146855,1,146855,2
Grand Theft Auto V,141771,1,141771,3
The Witcher 3: Wild Hunt,133919,1,133919,4
Pokemon: Mewtwo Strikes Back -- Evolution,98271,1,98271,5
Dragon Ball Super,85364,1,85364,6
Star Wars: The Rise of Skywalker,74358,1,74358,7
The Suicide Squad,71469,1,71469,8
The Elder Scrolls V: Skyrim,67369,1,67369,9
Final Fantasy VII Remake,371864,2,#N/A,0
The Legend of Zelda: Breath of the Wild,189804,2,274214,1
Marvel's WandaVision,174293,2,#N/A,2
Marvel Future Fight,133695,2,#N/A,3
PlayStation 5,129923,2,#N/A,4
Red Dead Redemption 2,112545,2,153786,5
Pokemon Sword,106515,2,146855,6
Grand Theft Auto V,100823,2,141771,7
The Witcher 3: Wild Hunt,97215,2,133919,8
The Walking Dead,62367,2,#N/A,9
Final Fantasy VII Remake,238593,3,371864,0
The Legend of Zelda: Breath of the Wild,183780,3,189804,1
PlayStation 5,126864,3,129923,2
Red Dead Redemption 2,105831,3,112545,3
Grand Theft Auto V,99751,3,100823,4
J.R.R. Tolkien's The Lord of the Rings Project,99593,3,#N/A,5
Celeste,99368,3,#N/A,6
Pokemon Sword,98456,3,106515,7
The Witcher 3: Wild Hunt,91758,3,97215,8
Marvel's WandaVision,88043,3,174293,9
The Batman,763776,4,#N/A,0
Beyond Good & Evil HD,204306,4,#N/A,1
The Legend of Zelda: Breath of the Wild,182908,4,183780,2
Final Fantasy VII Remake,156960,4,238593,3
J.R.R. Tolkien's The Lord of the Rings Project,142367,4,99593,4
Red Dead Redemption 2,110038,4,105831,5
Celeste,108175,4,99368,6
Grand Theft Auto V,100981,4,99751,7
Ghostrunner,96913,4,#N/A,8
Pokemon Sword,96191,4,98456,9
The Legend of Zelda: Breath of the Wild,191063,5,182908,0
The Batman,146263,5,763776,1
God of War,138011,5,#N/A,2
Grand Theft Auto V,112988,5,100981,3
Red Dead Redemption 2,102428,5,110038,4
