name,value,year,last value,rank
Pokemon: Mewtwo Strikes Back -- Evolution,97487,1,97487,0
Dragon Ball Super,84659,1,84659,1
Star Wars: The Rise of Skywalker,73188,1,73188,2
The Suicide Squad,70827,1,70827,3
The Dark Knight,58925,1,58925,4
The Batman,54959,1,54959,5
Mario + Rabbids Kingdom Battle,49965,1,49965,6
Xbox Series X,44254,1,44254,7
Marvel's She-Hulk,34407,1,34407,8
The Walking Dead,30547,1,30547,9
Final Fantasy VII Remake,355992,2,#N/A,0
Marvel's WandaVision,173842,2,#N/A,1
Marvel Future Fight,133303,2,#N/A,2
PlayStation 5,129214,2,#N/A,3
The Walking Dead,61756,2,30547,4
Doctor Who,61343,2,#N/A,5
Justice League Dark: Apokolips War,48266,2,#N/A,6
Half-Life: Alyx,47587,2,#N/A,7
Xbox Series X,39290,2,44254,8
Other,36012,2,#N/A,9
Final Fantasy VII Remake,210033,3,355992,0
PlayStation 5,124453,3,129214,1
J.R.R. Tolkien's The Lord of the Rings Project,99513,3,#N/A,2
Celeste,97731,3,#N/A,3
Marvel's WandaVision,87319,3,173842,4
The Boys,79991,3,#N/A,5
Monster Hunter Generations Ultimate,79002,3,#N/A,6
Bloodstained: Ritual of the Night,38341,3,#N/A,7
Marvel Future Fight,33175,3,133303,8
Star Trek 4,30359,3,#N/A,9
The Batman,758818,4,#N/A,0
Beyond Good & Evil HD,204093,4,#N/A,1
J.R.R. Tolkien's The Lord of the Rings Project,142267,4,99513,2
Final Fantasy VII Remake,122938,4,210033,3
Celeste,106431,4,97731,4
Ghostrunner,96700,4,#N/A,5
Castlevania: Symphony of the Night,65166,4,#N/A,6
No Time To Die,61108,4,#N/A,7
The Last Duel,50018,4,#N/A,8
Call of Duty: Modern Warfare,43770,4,43770,9
The Batman,141920,5,758818,0
God of War,121608,5,#N/A,1
Beyond Good & Evil HD,97781,5,204093,2
Castlevania,85207,5,#N/A,3
Ghost of Tsushima,80477,5,#N/A,4
Star Trek: Picard,68802,5,#N/A,5
Final Fantasy VII Remake,59073,5,122938,6
Star Wars: The Rise of Skywalker,57564,5,#N/A,7
J.R.R. Tolkien's The Lord of the Rings Project,55074,5,142267,8
The Last of Us,52852,5,52852,9
Resident Evil 3,218113,6,#N/A,0
Marvel's Thor: Love and Thunder,74306,6,#N/A,1
God of War,68703,6,121608,2
Pokemon Mystery Dungeon: Rescue Team DX,66149,6,#N/A,3
Spenser Confidential,62079,6,#N/A,4
The Last of Us Part II,60247,6,#N/A,5
One-Punch Man: A Hero Nobody Knows,55737,6,#N/A,6
Castlevania,45499,6,85207,7
Star Trek: Picard,38551,6,68802,8
Quibi,37958,6,#N/A,9
Marvel's Thor: Love and Thunder,91050,7,74306,0
Resident Evil 3,56665,7,218113,1
Castlevania,47152,7,45499,2
Star Wars: The Mandalorian,35685,7,#N/A,3
Samsung,33594,7,#N/A,4
Doom Eternal,30654,7,#N/A,5
One-Punch Man: A Hero Nobody Knows,26595,7,55737,6
Marvel's The Falcon and The Winter Soldier,26383,7,#N/A,7
The Batman,24827,7,#N/A,8
A Quiet Place: Part II,21296,7,#N/A,9
Saturday Night Live,78886,8,#N/A,0
Cyberpunk 2077,74653,8,#N/A,1
Castlevania,49489,8,47152,2
Marvel's The Falcon and The Winter Soldier,34058,8,26383,3
Westworld,27138,8,#N/A,4
The Walking Dead,26430,8,#N/A,5
Onward,24981,8,#N/A,6
WWE [PPVs],23249,8,#N/A,7
Marvel's Thor: Love and Thunder,22793,8,91050,8
Luigi's Mansion 3,21660,8,#N/A,9
Call of Duty: Modern Warfare,131158,9,#N/A,0
Batman: Three Jokers,89251,9,#N/A,1
Call of Duty: Warzone,81678,9,#N/A,2
Star Wars: The Force Awakens,70218,9,#N/A,3
The Outsider,53818,9,#N/A,4
Resident Evil 3,52355,9,#N/A,5
The Walking Dead,47452,9,26430,6
Mortal Kombat Legends: Scorpion's Revenge,44291,9,#N/A,7
Scarlett Johansson,43035,9,#N/A,8
Cyberpunk 2077,30581,9,74653,9
Avatar: The Last Airbender,260258,10,#N/A,0
Nioh 2,198280,10,#N/A,1
Ori and the Will of the Wisps,125493,10,#N/A,2
Star Wars: The Rise of Skywalker,102032,10,#N/A,3
The Last of Us: The Series,89059,10,#N/A,4
The Boys,76314,10,#N/A,5
Call of Duty: Warzone,73978,10,81678,6
Madden NFL 20,55279,10,#N/A,7
Kumail Nanjiani,54814,10,#N/A,8
Command & Conquer Remastered Collection,54654,10,#N/A,9
Nioh 2,174471,11,198280,0
The Last of Us: The Series,130291,11,89059,1
Avatar: The Last Airbender,120302,11,260258,2
Bloodshot,108276,11,#N/A,3
The Hunt [2020],101645,11,#N/A,4
