name,value,year,last value,rank
Pokemon: Mewtwo Strikes Back -- Evolution,97487,1,97487,0
Dragon Ball Super,84659,1,84659,1
Star Wars: The Rise of Skywalker,73188,1,73188,2
The Suicide Squad,70827,1,70827,3
The Dark Knight,58925,1,58925,4
The Batman,54959,1,54959,5
Mario + Rabbids Kingdom Battle,49965,1,49965,6
Xbox Series X,44254,1,44254,7
The Walking Dead,30547,1,30547,8
The Invisible Man,30445,1,30445,9
Final Fantasy VII Remake,358318,2,#N/A,0
Marvel's WandaVision,173971,2,#N/A,1
Marvel Future Fight,133305,2,#N/A,2
PlayStation 5,130945,2,#N/A,3
Pokemon: Mewtwo Strikes Back -- Evolution,130836,2,97487,4
Dragon Ball Super,112505,2,84659,5
The Walking Dead,92303,2,30547,6
Star Wars: The Rise of Skywalker,87682,2,73188,7
Xbox Series X,83544,2,44254,8
The Suicide Squad,83261,2,70827,9
Final Fantasy VII Remake,568351,3,358318,0
Marvel's WandaVision,261290,3,173971,1
PlayStation 5,255398,3,130945,2
Marvel Future Fight,166480,3,133305,3
Pokemon: Mewtwo Strikes Back -- Evolution,141706,3,130836,4
Dragon Ball Super,119839,3,112505,5
Xbox Series X,109716,3,83544,6
The Boys,100449,3,#N/A,7
J.R.R. Tolkien's The Lord of the Rings Project,99591,3,#N/A,8
The Walking Dead,97971,3,92303,9
The Batman,834111,4,#N/A,0
Final Fantasy VII Remake,691289,4,568351,1
Marvel's WandaVision,280940,4,261290,2
PlayStation 5,276875,4,255398,3
J.R.R. Tolkien's The Lord of the Rings Project,241858,4,99591,4
Celeste,204368,4,#N/A,5
Beyond Good & Evil HD,204110,4,#N/A,6
Marvel Future Fight,170399,4,166480,7
Pokemon: Mewtwo Strikes Back -- Evolution,144202,4,141706,8
Xbox Series X,123669,4,109716,9
The Batman,976031,5,834111,0
Final Fantasy VII Remake,750362,5,691289,1
Beyond Good & Evil HD,301891,5,204110,2
J.R.R. Tolkien's The Lord of the Rings Project,296932,5,241858,3
Marvel's WandaVision,282924,5,280940,4
PlayStation 5,280046,5,276875,5
Celeste,208908,5,204368,6
Marvel Future Fight,171792,5,170399,7
Star Wars: The Rise of Skywalker,161922,5,#N/A,8
God of War,161469,5,161469,9
The Batman,995458,6,976031,0
Final Fantasy VII Remake,780326,6,750362,1
Beyond Good & Evil HD,313324,6,301891,2
J.R.R. Tolkien's The Lord of the Rings Project,298809,6,296932,3
Marvel's WandaVision,283739,6,282924,4
PlayStation 5,282765,6,280046,5
God of War,230172,6,161469,6
Resident Evil 3,226959,6,#N/A,7
Celeste,222638,6,208908,8
Star Wars: The Rise of Skywalker,177835,6,161922,9
The Batman,1020285,7,995458,0
Final Fantasy VII Remake,792418,7,780326,1
Beyond Good & Evil HD,318532,7,313324,2
J.R.R. Tolkien's The Lord of the Rings Project,299817,7,298809,3
PlayStation 5,288755,7,282765,4
Marvel's WandaVision,284416,7,283739,5
Resident Evil 3,283624,7,226959,6
God of War,236552,7,230172,7
Celeste,227917,7,222638,8
Star Wars: The Rise of Skywalker,183429,7,177835,9
The Batman,1032107,8,1020285,0
Final Fantasy VII Remake,804235,8,792418,1
Beyond Good & Evil HD,321928,8,318532,2
J.R.R. Tolkien's The Lord of the Rings Project,300692,8,299817,3
Resident Evil 3,297727,8,283624,4
PlayStation 5,291856,8,288755,5
Marvel's WandaVision,284966,8,284416,6
God of War,239646,8,236552,7
Celeste,231192,8,227917,8
Castlevania,231133,8,#N/A,9
The Batman,1036399,9,1032107,0
Final Fantasy VII Remake,816355,9,804235,1
Resident Evil 3,350082,9,297727,2
Beyond Good & Evil HD,323742,9,321928,3
J.R.R. Tolkien's The Lord of the Rings Project,301222,9,300692,4
PlayStation 5,294891,9,291856,5
Marvel's WandaVision,285279,9,284966,6
Castlevania,258788,9,231133,7
God of War,241890,9,239646,8
Celeste,233113,9,231192,9
The Batman,1038341,10,1036399,0
Final Fantasy VII Remake,824577,10,816355,1
Resident Evil 3,403027,10,350082,2
Beyond Good & Evil HD,324532,10,323742,3
J.R.R. Tolkien's The Lord of the Rings Project,301399,10,301222,4
Star Wars: The Rise of Skywalker,297501,10,#N/A,5
PlayStation 5,296919,10,294891,6
Marvel's WandaVision,285618,10,285279,7
Castlevania,285054,10,258788,8
Avatar: The Last Airbender,261132,10,#N/A,9
The Batman,1040327,11,1038341,0
Final Fantasy VII Remake,830664,11,824577,1
Resident Evil 3,412356,11,403027,2
Nioh 2,384138,11,#N/A,3
Avatar: The Last Airbender,381434,11,261132,4
Star Wars: The Rise of Skywalker,340176,11,297501,5
Beyond Good & Evil HD,324917,11,324532,6
Castlevania,313474,11,285054,7
