name,value,year,last value,rank
The Legend of Zelda: Breath of the Wild,271857,1,271857,0
Red Dead Redemption 2,146525,1,146525,1
Pokemon Sword,140203,1,140203,2
Grand Theft Auto V,140193,1,140193,3
The Witcher 3: Wild Hunt,132229,1,132229,4
The Elder Scrolls V: Skyrim,66943,1,66943,5
Yakuza 0,45998,1,45998,6
The Sims 4,45467,1,45467,7
Super Mario Odyssey,40278,1,40278,8
Assassin's Creed Odyssey,35340,1,35340,9
The Legend of Zelda: Breath of the Wild,188319,2,271857,0
Red Dead Redemption 2,107936,2,146525,1
Pokemon Sword,101134,2,140203,2
Grand Theft Auto V,99387,2,140193,3
The Witcher 3: Wild Hunt,95799,2,132229,4
The Elder Scrolls V: Skyrim,50020,2,66943,5
Yakuza 0,38888,2,45998,6
The Sims 4,32188,2,45467,7
Fire Emblem: Three Houses,26908,2,#N/A,8
Assassin's Creed Odyssey,26680,2,35340,9
The Legend of Zelda: Breath of the Wild,181712,3,188319,0
Red Dead Redemption 2,103648,3,107936,1
Grand Theft Auto V,98213,3,99387,2
Pokemon Sword,94943,3,101134,3
The Witcher 3: Wild Hunt,90513,3,95799,4
The Elder Scrolls V: Skyrim,48384,3,50020,5
Yakuza 0,39389,3,38888,6
The Sims 4,30032,3,32188,7
Assassin's Creed Odyssey,26639,3,26680,8
Fire Emblem: Three Houses,25687,3,26908,9
The Legend of Zelda: Breath of the Wild,180957,4,181712,0
Red Dead Redemption 2,100478,4,103648,1
Grand Theft Auto V,99594,4,98213,2
Pokemon Sword,92109,4,94943,3
The Witcher 3: Wild Hunt,89411,4,90513,4
The Elder Scrolls V: Skyrim,48731,4,48384,5
Yakuza 0,39749,4,39389,6
The Sims 4,26396,4,30032,7
Super Mario Odyssey,25367,4,#N/A,8
Fire Emblem: Three Houses,25247,4,25687,9
The Legend of Zelda: Breath of the Wild,177255,5,180957,0
Grand Theft Auto V,111465,5,99594,1
Red Dead Redemption 2,99016,5,100478,2
The Witcher 3: Wild Hunt,86566,5,89411,3
Pokemon Sword,85258,5,92109,4
The Elder Scrolls V: Skyrim,46467,5,48731,5
Yakuza 0,41185,5,39749,6
Fire Emblem: Three Houses,25418,5,25247,7
The Sims 4,25278,5,26396,8
Super Mario Odyssey,24783,5,24783,9
The Legend of Zelda: Breath of the Wild,189522,6,177255,0
Grand Theft Auto V,110077,6,111465,1
Red Dead Redemption 2,104995,6,99016,2
The Witcher 3: Wild Hunt,91786,6,86566,3
Pokemon Sword,88062,6,85258,4
The Elder Scrolls V: Skyrim,49402,6,46467,5
Yakuza 0,43563,6,41185,6
Super Mario Odyssey,27607,6,24783,7
