name,value,year,last value,rank
Assassin's Creed Valhalla,426129,1,426129,0
Kraven the Hunter: The Movie,109607,1,109607,1
Assassin's Creed Odyssey,82741,1,82741,2
The Last of Us Part II,77170,1,77170,3
Game of Thrones,71110,1,71110,4
Animal Crossing: New Horizons,59476,1,59476,5
Xbox Series X,51554,1,51554,6
Parks and Recreation,40558,1,40558,7
Call of Duty: Modern Warfare,40368,1,40368,8
Space Jam: A New Legacy,37444,1,37444,9
Assassin's Creed Valhalla,363536,2,426129,0
Spider-Man,93585,2,#N/A,1
Transformers 6 & 7,82351,2,#N/A,2
Extraction [2020],55835,2,#N/A,3
Hollywood,39294,2,#N/A,4
The Wretched,35991,2,#N/A,5
Animal Crossing: New Horizons,34323,2,59476,6
Xbox Series X,32723,2,51554,7
Game of Thrones,31330,2,71110,8
Final Fantasy VII Remake,28804,2,#N/A,9
Assassin's Creed Valhalla,345094,3,363536,0
Deadpool 3,68522,3,#N/A,1
Game of Thrones,53485,3,31330,2
Spider-Man,52844,3,93585,3
Street Fighter II,37841,3,#N/A,4
Extraction [2020],36326,3,55835,5
Bloodshot,34956,3,#N/A,6
Transformers 6 & 7,34504,3,82351,7
Netflix vs the World,34471,3,#N/A,8
Final Fantasy VII Remake,30135,3,28804,9
The Lord of the Rings: Gollum,1214966,4,#N/A,0
Star Wars Jedi: Fallen Order,327161,4,#N/A,1
The Last of Us Part II,170148,4,#N/A,2
"Tiger King: Murder, Mayhem and Madness",156383,4,#N/A,3
Star Wars: The Clone Wars,133523,4,#N/A,4
Star Wars: The Mandalorian,110228,4,#N/A,5
Assassin's Creed Valhalla,108955,4,345094,6
Westworld,98482,4,#N/A,7
Star Wars -- Taika Waititi Project,97863,4,#N/A,8
Demolition Man,70659,4,70659,9
The Lord of the Rings: Gollum,226081,5,1214966,0
Xbox Series X,133354,5,#N/A,1
The Last of Us Part II,105175,5,170148,2
Star Wars: The Clone Wars,95008,5,133523,3
Star Wars Jedi: Fallen Order,93284,5,327161,4
Justice League Dark: Apokolips War,92269,5,#N/A,5
Cyberpunk 2077,89352,5,#N/A,6
Call of Duty: Modern Warfare,42240,5,#N/A,7
Space Force,40142,5,#N/A,8
Stranger Things,40084,5,40084,9
Cyberpunk 2077,323005,6,89352,0
Prince of Persia,218418,6,#N/A,1
Mortal Kombat 11,189073,6,#N/A,2
Star Wars Jedi: Fallen Order,149390,6,93284,3
The Last of Us Part II,144281,6,105175,4
Suicide Squad [2016],60132,6,#N/A,5
The Twilight Zone,44722,6,#N/A,6
Pokemon Shield,43888,6,#N/A,7
Assassin's Creed Valhalla,38616,6,#N/A,8
Marvel's The Eternals,35898,6,#N/A,9
Assassin's Creed Valhalla,364887,7,38616,0
Xbox Series X,191938,7,#N/A,1
Cursed,188654,7,#N/A,2
Prince of Persia,166971,7,218418,3
Scorn,88897,7,#N/A,4
Star Wars Jedi: Fallen Order,88829,7,149390,5
LEGO Star Wars: The Skywalker Saga,71852,7,#N/A,6
Cyberpunk 2077,58050,7,323005,7
Mortal Kombat 11,48809,7,189073,8
Animal Crossing: New Horizons,35730,7,#N/A,9
Xbox Series X,152690,8,191938,0
The Simpsons,118260,8,#N/A,1
The Ascent,95967,8,#N/A,2
Cursed,91319,8,188654,3
Batman Forever,90796,8,#N/A,4
Star Wars: The Mandalorian,84702,8,#N/A,5
Assassin's Creed Valhalla,69893,8,364887,6
Microsoft,58818,8,#N/A,7
Rick and Morty,48113,8,#N/A,8
Fantastic Four,41710,8,#N/A,9
Alien: Isolation,101370,9,#N/A,0
Batman Forever,79140,9,90796,1
The Simpsons,59402,9,118260,2
Fantastic Four,56855,9,41710,3
Xbox Series X,53330,9,152690,4
Solar Opposites,51730,9,#N/A,5
Spider-Man: Into the Spider-Verse,45798,9,#N/A,6
Final Fantasy VII Remake,37390,9,#N/A,7
Microsoft,35984,9,58818,8
Star Wars: The Mandalorian,34563,9,84702,9
Final Fantasy VII Remake,246515,10,37390,0
Avatar 2,74967,10,#N/A,1
Harry Potter and the Sorcerer's Stone,50704,10,#N/A,2
Star Wars: The Clone Wars,41549,10,#N/A,3
Alien: Isolation,40053,10,101370,4
Xbox Series X,33730,10,53330,5
The Batman,31443,10,#N/A,6
Spider-Man: Into the Spider-Verse,29890,10,45798,7
The Simpsons,29807,10,59402,8
Animal Crossing: New Horizons,24087,10,#N/A,9
Final Fantasy VII Remake,159487,11,246515,0
Capone,134666,11,#N/A,1
Nintendo Switch,95434,11,#N/A,2
Deadpool 3,83938,11,#N/A,3
Assassin's Creed Valhalla,66558,11,#N/A,4
Rick and Morty,51894,11,#N/A,5
Disney Gallery: The Mandalorian,51403,11,#N/A,6
Diablo II,45375,11,#N/A,7
Community,42519,11,#N/A,8
The Elder Scrolls VI,40468,11,#N/A,9
Tony Hawk's Pro Skater 1 & 2,588543,12,#N/A,0
PlayStation 5,280522,12,#N/A,1
Dune [remake],156645,12,#N/A,2
Assassin's Creed Valhalla,71916,12,66558,3
Star Wars: The Mandalorian,60976,12,#N/A,4
The Ascent,59963,12,#N/A,5
Tony Hawk's Pro Skater,59137,12,#N/A,6
Nintendo Switch,57986,12,95434,7
Super Mega Baseball 3,50187,12,#N/A,8
Ghost of Tsushima,46819,12,#N/A,9
PlayStation 5,666473,13,280522,0
Joker,427550,13,#N/A,1
Tony Hawk's Pro Skater 1 & 2,335701,13,588543,2
Mafia: Trilogy,201455,13,#N/A,3
The Wonderful 101: Remastered,92233,13,#N/A,4
Assassin's Creed Valhalla,91904,13,71916,5
Epic Games,90368,13,#N/A,6
The Last of Us Part II,68195,13,#N/A,7
Sweet Tooth,31777,13,#N/A,8
Dune [remake],29335,13,156645,9
Ghost of Tsushima,210744,14,#N/A,0
Joker,202454,14,427550,1
Paper Mario: The Origami King,164205,14,#N/A,2
Tony Hawk's Pro Skater 1 & 2,108957,14,335701,3
PlayStation 5,107555,14,666473,4
Nintendo Switch,82751,14,#N/A,5
Mafia: Trilogy,69434,14,201455,6
Grand Theft Auto V,68967,14,#N/A,7
Legends of Runeterra,59708,14,#N/A,8
Resident Evil,42510,14,#N/A,9
Tony Hawk's Pro Skater 1 & 2,168130,15,108957,0
Scoob,136280,15,#N/A,1
Scorn,89199,15,#N/A,2
Ghost of Tsushima,83812,15,210744,3
Wolfgang Petersen's Batman Vs. Superman [unproduced],63419,15,#N/A,4
Resident Evil Resistance,44830,15,#N/A,5
Deep Rock Galactic,44800,15,#N/A,6
Disney Gallery: The Mandalorian,40206,15,#N/A,7
The Ascent,37959,15,#N/A,8
Resident Evil,36041,15,42510,9
Unbreakable Kimmy Schmidt: Kimmy vs. the Reverend,59068,16,#N/A,0
Phantasy Star Online 2,57673,16,#N/A,1
Scorn,54209,16,89199,2
Tony Hawk's Pro Skater 1 & 2,49971,16,168130,3
Deep Rock Galactic,42009,16,44800,4
Raiders of the Lost Ark,28669,16,#N/A,5
Final Fantasy VII Remake,28668,16,#N/A,6
Wolfgang Petersen's Batman Vs. Superman [unproduced],26441,16,63419,7
Deadpool 3,25369,16,#N/A,8
The Ascent,25135,16,37959,9
AJ and the Queen,374342,17,#N/A,0
