name,value,year,last value,rank
Assassin's Creed Valhalla,426129,1,426129,0
Kraven the Hunter: The Movie,109607,1,109607,1
Assassin's Creed Odyssey,82741,1,82741,2
The Last of Us Part II,77170,1,77170,3
Game of Thrones,71110,1,71110,4
Animal Crossing: New Horizons,59476,1,59476,5
Xbox Series X,51554,1,51554,6
Call of Duty: Modern Warfare,40368,1,40368,7
Hollywood,35580,1,35580,8
Final Fantasy VII Remake,30998,1,30998,9
Assassin's Creed Valhalla,789665,2,426129,0
Kraven the Hunter: The Movie,124474,2,109607,1
Assassin's Creed Odyssey,105793,2,82741,2
Game of Thrones,102440,2,71110,3
The Last of Us Part II,97955,2,77170,4
Animal Crossing: New Horizons,93799,2,59476,5
Spider-Man,93754,2,#N/A,6
Xbox Series X,84277,2,51554,7
Extraction [2020],83589,2,#N/A,8
Transformers 6 & 7,82351,2,#N/A,9
Assassin's Creed Valhalla,1134759,3,789665,0
Game of Thrones,155925,3,102440,1
Spider-Man,146598,3,93754,2
Kraven the Hunter: The Movie,130542,3,124474,3
Animal Crossing: New Horizons,123666,3,93799,4
Assassin's Creed Odyssey,122625,3,105793,5
The Last of Us Part II,120498,3,97955,6
Extraction [2020],119915,3,83589,7
Transformers 6 & 7,116855,3,82351,8
Xbox Series X,107744,3,84277,9
Assassin's Creed Valhalla,1243714,4,1134759,0
The Lord of the Rings: Gollum,1215081,4,#N/A,1
Star Wars Jedi: Fallen Order,336965,4,#N/A,2
The Last of Us Part II,290646,4,120498,3
Star Wars: The Clone Wars,187170,4,#N/A,4
Game of Thrones,177827,4,155925,5
Spider-Man,175406,4,146598,6
Xbox Series X,158172,4,107744,7
"Tiger King: Murder, Mayhem and Madness",156959,4,#N/A,8
Animal Crossing: New Horizons,146243,4,123666,9
The Lord of the Rings: Gollum,1441162,5,1215081,0
Assassin's Creed Valhalla,1270638,5,1243714,1
Star Wars Jedi: Fallen Order,430249,5,336965,2
The Last of Us Part II,395821,5,290646,3
Xbox Series X,291526,5,158172,4
Star Wars: The Clone Wars,282178,5,187170,5
Spider-Man,198994,5,175406,6
"Tiger King: Murder, Mayhem and Madness",188905,5,156959,7
Game of Thrones,180855,5,177827,8
Animal Crossing: New Horizons,165119,5,165119,9
The Lord of the Rings: Gollum,1442265,6,1441162,0
Assassin's Creed Valhalla,1309254,6,1270638,1
Star Wars Jedi: Fallen Order,579639,6,430249,2
The Last of Us Part II,540102,6,395821,3
Cyberpunk 2077,418123,6,#N/A,4
Star Wars: The Clone Wars,315224,6,282178,5
Xbox Series X,310765,6,291526,6
Prince of Persia,218477,6,#N/A,7
Spider-Man,204216,6,198994,8
Mortal Kombat 11,202452,6,#N/A,9
Assassin's Creed Valhalla,1674141,7,1309254,0
The Lord of the Rings: Gollum,1442708,7,1442265,1
Star Wars Jedi: Fallen Order,668468,7,579639,2
The Last of Us Part II,560620,7,540102,3
Xbox Series X,502703,7,310765,4
Cyberpunk 2077,476173,7,418123,5
Prince of Persia,385448,7,218477,6
Star Wars: The Clone Wars,328750,7,315224,7
Mortal Kombat 11,251261,7,202452,8
Animal Crossing: New Horizons,219599,7,#N/A,9
Assassin's Creed Valhalla,1744034,8,1674141,0
The Lord of the Rings: Gollum,1442937,8,1442708,1
Star Wars Jedi: Fallen Order,691710,8,668468,2
Xbox Series X,655393,8,502703,3
The Last of Us Part II,564659,8,560620,4
Cyberpunk 2077,503808,8,476173,5
Prince of Persia,394815,8,385448,6
Star Wars: The Clone Wars,335566,8,328750,7
Cursed,279980,8,#N/A,8
Mortal Kombat 11,259656,8,251261,9
Assassin's Creed Valhalla,1774866,9,1744034,0
The Lord of the Rings: Gollum,1443064,9,1442937,1
Xbox Series X,708723,9,655393,2
Star Wars Jedi: Fallen Order,705936,9,691710,3
The Last of Us Part II,567343,9,564659,4
Cyberpunk 2077,517323,9,503808,5
Prince of Persia,402684,9,394815,6
Star Wars: The Clone Wars,351395,9,335566,7
Cursed,289088,9,279980,8
Star Wars: The Mandalorian,276659,9,#N/A,9
Assassin's Creed Valhalla,1795394,10,1774866,0
The Lord of the Rings: Gollum,1443172,10,1443064,1
Xbox Series X,742453,10,708723,2
Star Wars Jedi: Fallen Order,717214,10,705936,3
The Last of Us Part II,569944,10,567343,4
Cyberpunk 2077,527703,10,517323,5
Final Fantasy VII Remake,497747,10,#N/A,6
Prince of Persia,405021,10,402684,7
Star Wars: The Clone Wars,392944,10,351395,8
Cursed,292046,10,289088,9
Assassin's Creed Valhalla,1861952,11,1795394,0
The Lord of the Rings: Gollum,1443269,11,1443172,1
Xbox Series X,757643,11,742453,2
Star Wars Jedi: Fallen Order,724540,11,717214,3
Final Fantasy VII Remake,657234,11,497747,4
The Last of Us Part II,571979,11,569944,5
Cyberpunk 2077,539545,11,527703,6
Star Wars: The Clone Wars,409492,11,392944,7
Prince of Persia,405920,11,405021,8
Animal Crossing: New Horizons,316874,11,#N/A,9
Assassin's Creed Valhalla,1933868,12,1861952,0
The Lord of the Rings: Gollum,1443325,12,1443269,1
Xbox Series X,762730,12,757643,2
Star Wars Jedi: Fallen Order,730206,12,724540,3
Final Fantasy VII Remake,693892,12,657234,4
Tony Hawk's Pro Skater 1 & 2,588543,12,#N/A,5
The Last of Us Part II,573666,12,571979,6
Cyberpunk 2077,544985,12,539545,7
Star Wars: The Clone Wars,416325,12,409492,8
Prince of Persia,406349,12,405920,9
Assassin's Creed Valhalla,2025772,13,1933868,0
The Lord of the Rings: Gollum,1443347,13,1443325,1
PlayStation 5,957608,13,#N/A,2
Tony Hawk's Pro Skater 1 & 2,924244,13,588543,3
Xbox Series X,790542,13,762730,4
Star Wars Jedi: Fallen Order,734637,13,730206,5
Final Fantasy VII Remake,722063,13,693892,6
The Last of Us Part II,641861,13,573666,7
Cyberpunk 2077,548971,13,544985,8
Joker,433871,13,#N/A,9
Assassin's Creed Valhalla,2054525,14,2025772,0
The Lord of the Rings: Gollum,1443401,14,1443347,1
PlayStation 5,1065163,14,957608,2
Tony Hawk's Pro Skater 1 & 2,1033201,14,924244,3
Xbox Series X,795235,14,790542,4
Star Wars Jedi: Fallen Order,741509,14,734637,5
Final Fantasy VII Remake,740765,14,722063,6
The Last of Us Part II,664239,14,641861,7
Joker,636325,14,433871,8
Cyberpunk 2077,552677,14,548971,9
Assassin's Creed Valhalla,2063910,15,2054525,0
The Lord of the Rings: Gollum,1443440,15,1443401,1
Tony Hawk's Pro Skater 1 & 2,1201331,15,1033201,2
PlayStation 5,1087575,15,1065163,3
Xbox Series X,797575,15,795235,4
Final Fantasy VII Remake,764390,15,740765,5
Star Wars Jedi: Fallen Order,745475,15,741509,6
Joker,671755,15,636325,7
The Last of Us Part II,668993,15,664239,8
Cyberpunk 2077,577171,15,552677,9
Assassin's Creed Valhalla,2069124,16,2063910,0
The Lord of the Rings: Gollum,1443472,16,1443440,1
Tony Hawk's Pro Skater 1 & 2,1251302,16,1201331,2
PlayStation 5,1099476,16,1087575,3
Xbox Series X,799150,16,797575,4
Final Fantasy VII Remake,793058,16,764390,5
Star Wars Jedi: Fallen Order,749014,16,745475,6
Joker,680362,16,671755,7
