name,value,year,last value,rank
Death Stranding,1034802,1,1034802,0
Diablo IV,556301,1,556301,1
Stranger Things,400213,1,400213,2
Red Dead Redemption 2,296812,1,296812,3
Call of Duty: Modern Warfare,207428,1,207428,4
Overwatch 2,156366,1,156366,5
Spider-Man: Into the Spider-Verse 2,138092,1,138092,6
The Witcher,134725,1,134725,7
Star Wars: The Rise of Skywalker,124849,1,124849,8
Luigi's Mansion 3,87694,1,87694,9
Death Stranding,1258939,2,1034802,0
Diablo IV,764094,2,556301,1
Stranger Things,435383,2,400213,2
Red Dead Redemption 2,388757,2,296812,3
Call of Duty: Modern Warfare,295161,2,207428,4
Overwatch 2,249073,2,156366,5
Luigi's Mansion 3,204936,2,87694,6
Spider-Man: Into the Spider-Verse 2,190635,2,138092,7
Star Wars: The Rise of Skywalker,166331,2,124849,8
The Witcher,160620,2,134725,9
Death Stranding,1727604,3,1258939,0
Diablo IV,844689,3,764094,1
Stranger Things,453297,3,435383,2
Red Dead Redemption 2,435990,3,388757,3
Call of Duty: Modern Warfare,364905,3,295161,4
Luigi's Mansion 3,356667,3,204936,5
Overwatch 2,284379,3,249073,6
Spider-Man: Into the Spider-Verse 2,204439,3,190635,7
Terminator: Dark Fate,198028,3,#N/A,8
The Witcher,184597,3,160620,9
Death Stranding,2194086,4,1727604,0
Diablo IV,876634,4,844689,1
Red Dead Redemption 2,472203,4,435990,2
Call of Duty: Modern Warfare,465141,4,364905,3
Stranger Things,460570,4,453297,4
Luigi's Mansion 3,453104,4,356667,5
Overwatch 2,347498,4,284379,6
Watchmen: The Series,310439,4,#N/A,7
Call of Duty,290901,4,#N/A,8
Terminator: Dark Fate,247002,4,198028,9
Death Stranding,2293662,5,2194086,0
Diablo IV,885883,5,876634,1
Red Dead Redemption 2,551966,5,472203,2
Luigi's Mansion 3,536268,5,453104,3
Call of Duty: Modern Warfare,517267,5,465141,4
Stranger Things,463594,5,460570,5
Avengers: Endgame,411676,5,#N/A,6
Overwatch 2,407456,5,347498,7
Call of Duty,389108,5,290901,8
Watchmen: The Series,352695,5,352695,9
Death Stranding,2349674,6,2293662,0
Diablo IV,889760,6,885883,1
Luigi's Mansion 3,605255,6,536268,2
Call of Duty: Modern Warfare,602534,6,517267,3
Red Dead Redemption 2,583118,6,551966,4
Stranger Things,493391,6,463594,5
Avengers: Endgame,436289,6,411676,6
Overwatch 2,421831,6,407456,7
Call of Duty,398039,6,389108,8
Watchmen: The Series,384086,6,352695,9
Death Stranding,2668206,7,2349674,0
Diablo IV,889760,7,889760,1
Call of Duty: Modern Warfare,680427,7,602534,2
Luigi's Mansion 3,672879,7,605255,3
Red Dead Redemption 2,596409,7,583118,4
Stranger Things,517842,7,493391,5
Avengers: Endgame,459185,7,436289,6
Overwatch 2,425008,7,421831,7
Call of Duty,401605,7,398039,8
Watchmen: The Series,396535,7,384086,9
Death Stranding,3056181,8,2668206,0
Diablo IV,946001,8,889760,1
Luigi's Mansion 3,740630,8,672879,2
Call of Duty: Modern Warfare,725909,8,680427,3
Red Dead Redemption 2,617053,8,596409,4
Stranger Things,523187,8,517842,5
Avengers: Endgame,470954,8,459185,6
Star Wars: The Rise of Skywalker,425371,8,#N/A,7
Overwatch 2,425008,8,425008,8
BoJack Horseman,420343,8,#N/A,9
Death Stranding,3349563,9,3056181,0
BoJack Horseman,1404020,9,420343,1
Diablo IV,969569,9,946001,2
Luigi's Mansion 3,827577,9,740630,3
Call of Duty: Modern Warfare,754588,9,725909,4
Red Dead Redemption 2,631500,9,617053,5
Avengers: Endgame,558705,9,470954,6
Stranger Things,523187,9,523187,7
Star Wars: The Rise of Skywalker,443169,9,425371,8
Overwatch 2,425008,9,425008,9
Death Stranding,3676622,10,3349563,0
BoJack Horseman,1648800,10,1404020,1
Diablo IV,974598,10,969569,2
Luigi's Mansion 3,913319,10,827577,3
Call of Duty: Modern Warfare,780821,10,754588,4
Red Dead Redemption 2,640226,10,631500,5
Avengers: Endgame,599195,10,558705,6
Stranger Things,523187,10,523187,7
Star Wars: The Rise of Skywalker,457394,10,443169,8
Pokemon Sword,440287,10,#N/A,9
Death Stranding,4106356,11,3676622,0
BoJack Horseman,1751417,11,1648800,1
Diablo IV,974598,11,974598,2
Luigi's Mansion 3,969233,11,913319,3
Call of Duty: Modern Warfare,803809,11,780821,4
Avengers: Endgame,697780,11,599195,5
Red Dead Redemption 2,645520,11,640226,6
Watchmen: The Series,565857,11,#N/A,7
Stranger Things,523187,11,523187,8
Star Wars: The Rise of Skywalker,474166,11,457394,9
Death Stranding,4275265,12,4106356,0
BoJack Horseman,1791109,12,1751417,1
Luigi's Mansion 3,1013894,12,969233,2
Diablo IV,974598,12,974598,3
Call of Duty: Modern Warfare,873037,12,803809,4
Avengers: Endgame,807444,12,697780,5
Star Wars: The Mandalorian,711088,12,#N/A,6
Red Dead Redemption 2,649471,12,645520,7
Watchmen: The Series,599625,12,565857,8
Stranger Things,523187,12,523187,9
Death Stranding,4389000,13,4275265,0
BoJack Horseman,1840011,13,1791109,1
Pokemon Sword,1538085,13,#N/A,2
Star Wars: The Mandalorian,1238019,13,711088,3
Luigi's Mansion 3,1057170,13,1013894,4
Diablo IV,974598,13,974598,5
Call of Duty: Modern Warfare,926503,13,873037,6
Avengers: Endgame,871537,13,807444,7
Star Wars Jedi: Fallen Order,848072,13,#N/A,8
Sonic the Hedgehog: The Movie,681484,13,#N/A,9
Death Stranding,4455523,14,4389000,0
Star Wars Jedi: Fallen Order,1884489,14,848072,1
Pokemon Sword,1872783,14,1538085,2
BoJack Horseman,1842546,14,1840011,3
Star Wars: The Mandalorian,1575783,14,1238019,4
Luigi's Mansion 3,1097568,14,1057170,5
Diablo IV,974598,14,974598,6
Call of Duty: Modern Warfare,957569,14,926503,7
Avengers: Endgame,881782,14,871537,8
Sonic the Hedgehog: The Movie,708812,14,681484,9
Death Stranding,4513777,15,4455523,0
Star Wars Jedi: Fallen Order,3016708,15,1884489,1
Pokemon Sword,2796841,15,1872783,2
Star Wars: The Mandalorian,1923538,15,1575783,3
BoJack Horseman,1842546,15,1842546,4
Luigi's Mansion 3,1132752,15,1097568,5
Call of Duty: Modern Warfare,983495,15,957569,6
Diablo IV,978071,15,974598,7
Avengers: Endgame,898994,15,881782,8
Sonic the Hedgehog: The Movie,717699,15,708812,9
Death Stranding,4559047,16,4513777,0
Pokemon Sword,4050735,16,2796841,1
Star Wars Jedi: Fallen Order,3769093,16,3016708,2
Star Wars: The Mandalorian,2128969,16,1923538,3
BoJack Horseman,1842546,16,1842546,4
Luigi's Mansion 3,1179010,16,1132752,5
Call of Duty: Modern Warfare,1056802,16,983495,6
Diablo IV,978071,16,978071,7
Avengers: Endgame,905554,16,898994,8
Sonic the Hedgehog: The Movie,722195,16,717699,9
Pokemon Sword,4727948,17,4050735,0
Death Stranding,4604077,17,4559047,1
Star Wars Jedi: Fallen Order,4336664,17,3769093,2
Star Wars: The Mandalorian,2298953,17,2128969,3
BoJack Horseman,1842546,17,1842546,4
Luigi's Mansion 3,1224102,17,1179010,5
Call of Duty: Modern Warfare,1099109,17,1056802,6
Diablo IV,978071,17,978071,7
Avengers: Endgame,909582,17,905554,8
Sonic the Hedgehog: The Movie,725427,17,722195,9
Pokemon Sword,5212075,18,4727948,0
Star Wars Jedi: Fallen Order,4814664,18,4336664,1
Death Stranding,4642885,18,4604077,2
Star Wars: The Mandalorian,2432632,18,2298953,3
BoJack Horseman,1842546,18,1842546,4
Luigi's Mansion 3,1252450,18,1224102,5
Call of Duty: Modern Warfare,1124565,18,1099109,6
Diablo IV,978071,18,978071,7
Avengers: Endgame,961862,18,909582,8
Watchmen: The Series,810400,18,#N/A,9
Pokemon Sword,5493090,19,5212075,0
Star Wars Jedi: Fallen Order,5097633,19,4814664,1
Death Stranding,4725446,19,4642885,2
Star Wars: The Mandalorian,2644010,19,2432632,3
BoJack Horseman,1842546,19,1842546,4
Batwoman,1318725,19,#N/A,5
Luigi's Mansion 3,1278305,19,1252450,6
Call of Duty: Modern Warfare,1146948,19,1124565,7
Avengers: Endgame,1048899,19,961862,8
Diablo IV,978071,19,978071,9
Pokemon Sword,5917988,20,5493090,0
Star Wars Jedi: Fallen Order,5352981,20,5097633,1
Death Stranding,4828965,20,4725446,2
Star Wars: The Mandalorian,2811609,20,2644010,3
BoJack Horseman,1842546,20,1842546,4
Batwoman,1577926,20,1318725,5
Luigi's Mansion 3,1303450,20,1278305,6
Call of Duty: Modern Warfare,1164635,20,1146948,7
Star Wars: The Rise of Skywalker,1087468,20,#N/A,8
Avengers: Endgame,1060893,20,1048899,9
Pokemon Sword,6161264,21,5917988,0
Star Wars Jedi: Fallen Order,5526492,21,5352981,1
Death Stranding,4889667,21,4828965,2
Star Wars: The Mandalorian,3218858,21,2811609,3
BoJack Horseman,1842546,21,1842546,4
Batwoman,1617988,21,1577926,5
Star Wars: The Rise of Skywalker,1595247,21,1087468,6
Luigi's Mansion 3,1326593,21,1303450,7
Call of Duty: Modern Warfare,1181105,21,1164635,8
Avengers: Endgame,1064374,21,1060893,9
Pokemon Sword,6300866,22,6161264,0
Star Wars Jedi: Fallen Order,5596877,22,5526492,1
Death Stranding,4914822,22,4889667,2
Star Wars: The Mandalorian,3864134,22,3218858,3
Star Wars: The Rise of Skywalker,2083539,22,1595247,4
BoJack Horseman,1842546,22,1842546,5
Batwoman,1644704,22,1617988,6
Luigi's Mansion 3,1352924,22,1326593,7
Call of Duty: Modern Warfare,1201947,22,1181105,8
Avengers: Endgame,1064374,22,1064374,9
Pokemon Sword,6410654,23,6300866,0
Star Wars Jedi: Fallen Order,5651978,23,5596877,1
Death Stranding,4933080,23,4914822,2
Star Wars: The Mandalorian,4030282,23,3864134,3
Star Wars: The Rise of Skywalker,2237355,23,2083539,4
BoJack Horseman,1842546,23,1842546,5
Batwoman,1655849,23,1644704,6
Luigi's Mansion 3,1388568,23,1352924,7
Call of Duty: Modern Warfare,1276429,23,1201947,8
Avengers: Endgame,1064374,23,1064374,9
Pokemon Sword,6486449,24,6410654,0
Star Wars Jedi: Fallen Order,5702638,24,5651978,1
Death Stranding,4960056,24,4933080,2
Star Wars: The Mandalorian,4249286,24,4030282,3
Star Wars: The Rise of Skywalker,2331539,24,2237355,4
BoJack Horseman,1842546,24,1842546,5
Batwoman,1661729,24,1655849,6
Luigi's Mansion 3,1430167,24,1388568,7
Call of Duty: Modern Warfare,1369842,24,1276429,8
Avengers: Endgame,1064374,24,1064374,9
Pokemon Sword,6578957,25,6486449,0
Star Wars Jedi: Fallen Order,5739049,25,5702638,1
Death Stranding,4978378,25,4960056,2
Star Wars: The Mandalorian,4569706,25,4249286,3
Star Wars: The Rise of Skywalker,2511584,25,2331539,4
Batwoman,1932245,25,1661729,5
BoJack Horseman,1842546,25,1842546,6
Magic: The Gathering,1567778,25,#N/A,7
Luigi's Mansion 3,1456188,25,1430167,8
Call of Duty: Modern Warfare,1418513,25,1369842,9
Pokemon Sword,6638625,26,6578957,0
Star Wars Jedi: Fallen Order,5765997,26,5739049,1
Death Stranding,4991821,26,4978378,2
Star Wars: The Mandalorian,4745266,26,4569706,3
