name,value,year,last value,rank
Death Stranding,1034802,1,1034802,0
Diablo IV,556301,1,556301,1
Stranger Things,400213,1,400213,2
Red Dead Redemption 2,296812,1,296812,3
Call of Duty: Modern Warfare,207428,1,207428,4
Overwatch 2,156366,1,156366,5
Spider-Man: Into the Spider-Verse 2,138092,1,138092,6
The Witcher,134725,1,134725,7
Star Wars: The Rise of Skywalker,124849,1,124849,8
Dawn of X: Excalibur,93211,1,93211,9
Death Stranding,224137,2,1034802,0
Diablo IV,207793,2,556301,1
Luigi's Mansion 3,117242,2,#N/A,2
Overwatch 2,92707,2,156366,3
Red Dead Redemption 2,91945,2,296812,4
Call of Duty: Modern Warfare,87733,2,207428,5
The Dragon Prince,84430,2,#N/A,6
Too Many Cooks,65207,2,#N/A,7
Spider-Man: Into the Spider-Verse 2,52543,2,138092,8
Justice League,51275,2,#N/A,9
Death Stranding,468665,3,224137,0
Luigi's Mansion 3,151731,3,117242,1
Suicide Squad [2016],128402,3,#N/A,2
Terminator: Dark Fate,113143,3,#N/A,3
Watchmen: The Series,93263,3,#N/A,4
Diablo IV,80595,3,207793,5
Call of Duty: Modern Warfare,69744,3,87733,6
Joker,58447,3,#N/A,7
Knives Out,54446,3,#N/A,8
Red Dead Redemption 2,47233,3,91945,9
Death Stranding,466482,4,468665,0
Call of Duty,288597,4,#N/A,1
Avengers: Endgame,211692,4,#N/A,2
Watchmen: The Series,182459,4,93263,3
Lady and the Tramp [2019],153512,4,#N/A,4
Call of Duty: Modern Warfare,100236,4,69744,5
Luigi's Mansion 3,96437,4,151731,6
Pokemon Sword,82081,4,#N/A,7
Game of Thrones,71723,4,#N/A,8
Overwatch 2,63119,4,63119,9
Avengers: Endgame,199984,5,211692,0
Marvel's The Eternals,162715,5,#N/A,1
Resident Evil 2,138839,5,#N/A,2
Mario & Sonic at the Olympic Games Tokyo 2020,109250,5,#N/A,3
Death Stranding,99576,5,466482,4
Call of Duty,98207,5,288597,5
Luigi's Mansion 3,83164,5,96437,6
Game of Thrones,80395,5,71723,7
Red Dead Redemption 2,79763,5,#N/A,8
Honey Boy,78680,5,78680,9
The Witcher,99615,6,#N/A,0
Midway,90526,6,#N/A,1
Call of Duty: Modern Warfare,85267,6,#N/A,2
Batman [2016 - Current],79063,6,#N/A,3
Luigi's Mansion 3,68987,6,83164,4
Last Christmas,65890,6,#N/A,5
Resident Evil 2,61485,6,138839,6
Death Stranding,56012,6,99576,7
Doctor Sleep,51702,6,#N/A,8
Street Fighter V: Arcade Edition,50879,6,#N/A,9
Death Stranding,318532,7,56012,0
Star Wars: The Rise of Skywalker,137795,7,#N/A,1
Batman (1989),100210,7,#N/A,2
Call of Duty: Modern Warfare,77893,7,85267,3
SCOOB,75577,7,#N/A,4
The Invisible Man [2020],69161,7,#N/A,5
Luigi's Mansion 3,67624,7,68987,6
Supernatural,63918,7,#N/A,7
PlayStation 5,53606,7,#N/A,8
Super Smash Bros. Ultimate,41721,7,#N/A,9
BoJack Horseman,420343,8,#N/A,0
Death Stranding,387975,8,318532,1
Need for Speed Heat,126855,8,#N/A,2
Rick and Morty,75653,8,#N/A,3
Star Wars: The Rise of Skywalker,71180,8,137795,4
Luigi's Mansion 3,67751,8,67624,5
Other,64658,8,#N/A,6
Spider-Man: Far From Home,57688,8,#N/A,7
Diablo IV,56241,8,#N/A,8
Fire Emblem: Three Houses,46236,8,#N/A,9
BoJack Horseman,983677,9,420343,0
Death Stranding,293382,9,387975,1
Pokemon Sword,115633,9,#N/A,2
Rick and Morty,90225,9,75653,3
Avengers: Endgame,87751,9,#N/A,4
Luigi's Mansion 3,86947,9,67751,5
Doctor Sleep,58067,9,#N/A,6
Need for Speed Heat,50954,9,126855,7
Borderlands 3,50326,9,#N/A,8
Star Wars: The Mandalorian,48763,9,#N/A,9
Death Stranding,327059,10,293382,0
BoJack Horseman,244780,10,983677,1
Star Wars: The Force Awakens,147100,10,#N/A,2
Pokemon Sword,133269,10,115633,3
Luigi's Mansion 3,85742,10,86947,4
Rick and Morty,83746,10,90225,5
Justice League,64741,10,#N/A,6
Avengers: Endgame,40490,10,87751,7
Batman: Arkham Asylum,35203,10,#N/A,8
Doctor Sleep,34735,10,58067,9
Death Stranding,429734,11,327059,0
SCOOB,183157,11,#N/A,1
Watchmen: The Series,136235,11,#N/A,2
BoJack Horseman,102617,11,244780,3
Avengers: Endgame,98585,11,40490,4
Google Stadia,76963,11,#N/A,5
Batwoman,64397,11,#N/A,6
Ghostbusters: Afterlife,58346,11,#N/A,7
Rick and Morty,56805,11,83746,8
Luigi's Mansion 3,55914,11,85742,9
Sonic the Hedgehog: The Movie,476209,12,#N/A,0
Star Wars: The Mandalorian,475718,12,#N/A,1
Marvel's What If...,455768,12,#N/A,2
Star Wars Jedi: Fallen Order,389275,12,#N/A,3
Death Stranding,168909,12,429734,4
SEGA,164878,12,#N/A,5
Avengers: Endgame,109664,12,98585,6
Marvel's The Falcon and The Winter Soldier,100645,12,#N/A,7
Charlie's Angels,93545,12,#N/A,8
Half-Life 2,73348,12,#N/A,9
Pokemon Sword,1068648,13,#N/A,0
Star Wars: The Mandalorian,526931,13,475718,1
Star Wars Jedi: Fallen Order,368303,13,389275,2
Sonic the Hedgehog: The Movie,205275,13,476209,3
The Witcher,147996,13,#N/A,4
Charlie's Angels,147052,13,93545,5
Death Stranding,113735,13,168909,6
The Batman,78965,13,#N/A,7
Marvel's What If...,67664,13,455768,8
Stormland,64583,13,#N/A,9
Star Wars Jedi: Fallen Order,1036417,14,368303,0
Star Wars: The Mandalorian,337764,14,526931,1
Pokemon Sword,334698,14,1068648,2
The Batman,147158,14,78965,3
Bleeding Edge,117340,14,#N/A,4
Suicide Squad [2019],79633,14,#N/A,5
Pokemon Shield,78944,14,#N/A,6
DCeased,68594,14,#N/A,7
Death Stranding,66523,14,113735,8
Xbox Project Scarlett,57667,14,#N/A,9
Star Wars Jedi: Fallen Order,1132219,15,1036417,0
Pokemon Sword,924058,15,334698,1
Star Wars: The Mandalorian,347755,15,337764,2
Supergirl,233434,15,#N/A,3
Terminator: Resistance,134819,15,#N/A,4
Marvel's What If...,109464,15,#N/A,5
Death Stranding,58254,15,66523,6
Star Wars: The Rise of Skywalker,57370,15,#N/A,7
The Batman,52275,15,147158,8
Anthem,50168,15,#N/A,9
Pokemon Sword,1253894,16,924058,0
Star Wars Jedi: Fallen Order,752385,16,1132219,1
Star Wars: The Mandalorian,205431,16,347755,2
Supergirl,99865,16,233434,3
Call of Duty: Modern Warfare,73307,16,#N/A,4
Marvel Studios,57699,16,#N/A,5
DCeased,54176,16,#N/A,6
Luigi's Mansion 3,46258,16,#N/A,7
Death Stranding,45270,16,58254,8
Joker,41624,16,#N/A,9
Pokemon Sword,677213,17,1253894,0
Star Wars Jedi: Fallen Order,567571,17,752385,1
Star Wars: The Mandalorian,169984,17,205431,2
Justice League,117236,17,#N/A,3
Other,67403,17,#N/A,4
Disney Plus,65257,17,#N/A,5
The Crown,60350,17,#N/A,6
The Witcher,57712,17,#N/A,7
Luigi's Mansion 3,45092,17,46258,8
Death Stranding,45030,17,45270,9
PlayStation 5,647206,18,#N/A,0
Pokemon Sword,484127,18,677213,1
Star Wars Jedi: Fallen Order,478000,18,567571,2
Watchmen: The Series,167861,18,#N/A,3
Star Wars: The Mandalorian,133679,18,169984,4
Disney Plus,89774,18,65257,5
Rick and Morty,81432,18,#N/A,6
Star Wars: The Rise of Skywalker,78928,18,#N/A,7
Justice League,71373,18,117236,8
21 Bridges,56212,18,#N/A,9
Batwoman,1156708,19,#N/A,0
Star Wars Jedi: Fallen Order,282969,19,478000,1
Pokemon Sword,281015,19,484127,2
Star Wars: The Mandalorian,211378,19,133679,3
PlayStation 5,92587,19,647206,4
Star Wars: The Rise of Skywalker,89308,19,78928,5
Avengers: Endgame,87037,19,#N/A,6
LEGO Star Wars: The Complete Saga,82587,19,#N/A,7
Death Stranding,82561,19,#N/A,8
Justice League,64781,19,71373,9
Pokemon Sword,424898,20,281015,0
Star Wars: The Rise of Skywalker,357160,20,89308,1
Batwoman,259201,20,1156708,2
Star Wars Jedi: Fallen Order,255348,20,282969,3
Star Wars: The Mandalorian,167599,20,211378,4
Star Wars: The Force Awakens,122139,20,#N/A,5
Death Stranding,103519,20,82561,6
Borderlands 3,75967,20,#N/A,7
Google Stadia,66460,20,#N/A,8
Joker,66120,20,#N/A,9
Star Wars: The Rise of Skywalker,507779,21,357160,0
Star Wars: The Mandalorian,407249,21,167599,1
Pokemon Sword,243276,21,424898,2
Half-Life: Alyx,179949,21,#N/A,3
Star Wars Jedi: Fallen Order,173511,21,255348,4
Frozen 2,164978,21,#N/A,5
Captain Marvel [2019],87378,21,#N/A,6
Google Stadia,73524,21,66460,7
Death Stranding,60702,21,103519,8
Pokemon Shield,51847,21,#N/A,9
Star Wars: The Mandalorian,645276,22,407249,0
Star Wars: The Rise of Skywalker,488292,22,507779,1
Pokemon Sword,139602,22,243276,2
Resident Evil 3 Remake,121248,22,#N/A,3
The Witcher,99498,22,#N/A,4
Frozen 2,98238,22,164978,5
Supergirl,76057,22,#N/A,6
Shenmue III,75897,22,#N/A,7
Star Wars Jedi: Fallen Order,70385,22,173511,8
No Time To Die,60207,22,#N/A,9
Star Wars: The Mandalorian,166148,23,645276,0
Star Wars: The Rise of Skywalker,153816,23,488292,1
Terminator: Dark Fate,122914,23,#N/A,2
Pokemon Sword,109788,23,139602,3
Shenmue III,97067,23,75897,4
Fantastic Four,86417,23,#N/A,5
Saturday Night Live,78333,23,#N/A,6
Call of Duty: Modern Warfare,74482,23,#N/A,7
Star Wars Jedi: Fallen Order,55101,23,70385,8
Supergirl,51526,23,76057,9
Star Wars: The Mandalorian,219004,24,166148,0
Saturday Night Live,139709,24,78333,1
The Walking Dead,97524,24,#N/A,2
Star Wars: The Rise of Skywalker,94184,24,153816,3
Call of Duty: Modern Warfare,93413,24,74482,4
Pokemon Sword,75795,24,109788,5
1917,69579,24,#N/A,6
Frozen 2,59185,24,#N/A,7
Star Wars Jedi: Fallen Order,50660,24,55101,8
Star Wars: Galaxy's Edge,50150,24,#N/A,9
Magic: The Gathering,1567778,25,#N/A,0
Final Fantasy VII Remake,918033,25,#N/A,1
Star Wars: The Mandalorian,320420,25,219004,2
Batwoman,270516,25,#N/A,3
Dragon Ball Z,247459,25,#N/A,4
Watchmen: The Series,221805,25,#N/A,5
Star Wars: The Rise of Skywalker,180045,25,94184,6
1917,126439,25,69579,7
The Walking Dead,108529,25,97524,8
Rick and Morty,92906,25,#N/A,9
Final Fantasy VII Remake,251080,26,918033,0
Star Wars: The Rise of Skywalker,223287,26,180045,1
Star Wars: The Mandalorian,175560,26,320420,2
Batwoman,165366,26,270516,3
Magic: The Gathering,130153,26,1567778,4
Dragon Ball Z,112858,26,247459,5
Watchmen: The Series,85290,26,221805,6
Call of Duty: Modern Warfare,84638,26,#N/A,7
Avengers: Endgame,77541,26,#N/A,8
Justice League,75729,26,#N/A,9
Star Wars: The Rise of Skywalker,330899,27,223287,0
Star Wars: The Mandalorian,288671,27,175560,1
Final Fantasy VII Remake,75405,27,251080,2
