name,value,year,last value,rank
Transformers,423116,1,423116,0
Supergirl,163272,1,163272,1
Star Wars: The Rise of Skywalker,115801,1,115801,2
Pokemon Sword,87207,1,87207,3
Borderlands 3,86129,1,86129,4
Destiny 2: Shadowkeep,81513,1,81513,5
Star Wars: The Mandalorian,61553,1,61553,6
Other,40643,1,40643,7
Stranger Things,30217,1,30217,8
Mario & Sonic at the Olympic Games Tokyo 2020,20208,1,20208,9
Transformers,542344,2,423116,0
Star Wars: The Rise of Skywalker,267658,2,115801,1
Supergirl,243059,2,163272,2
Pokemon Sword,148952,2,87207,3
Borderlands 3,137537,2,86129,4
The Last of Us Part II,132961,2,#N/A,5
Destiny 2: Shadowkeep,131396,2,81513,6
Joker,118856,2,#N/A,7
Overwatch,108955,2,#N/A,8
Call of Duty: Modern Warfare,96131,2,#N/A,9
Magic: The Gathering,1439453,3,#N/A,0
Transformers,570637,3,542344,1
Star Wars: The Rise of Skywalker,329581,3,267658,2
Supergirl,252897,3,243059,3
Joker,247642,3,118856,4
The Last of Us Part II,192401,3,132961,5
The Walking Dead,183233,3,#N/A,6
Borderlands 3,165055,3,137537,7
Pokemon Sword,163415,3,148952,8
Overwatch,141513,3,108955,9
Magic: The Gathering,1697063,4,1439453,0
Transformers,578802,4,570637,1
Joker,431218,4,247642,2
Star Wars: The Rise of Skywalker,346544,4,329581,3
Supergirl,252897,4,252897,4
The Walking Dead,247943,4,183233,5
Tom Clancy's Ghost Recon Breakpoint,214644,4,#N/A,6
The Last of Us Part II,200880,4,192401,7
Borderlands 3,182283,4,165055,8
Captain Marvel,182039,4,182039,9
Magic: The Gathering,1749647,5,1697063,0
Joker,688434,5,431218,1
Transformers,582803,5,578802,2
The Walking Dead,375973,5,247943,3
Star Wars: The Rise of Skywalker,353046,5,346544,4
Marvel's Avengers,351230,5,#N/A,5
Pokemon Sword,340417,5,#N/A,6
Captain Marvel,294636,5,182039,7
Tom Clancy's Ghost Recon Breakpoint,261607,5,214644,8
Supergirl,252897,5,252897,9
Magic: The Gathering,1775539,6,1749647,0
Joker,1036467,6,688434,1
Captain Marvel,626344,6,294636,2
Transformers,582803,6,582803,3
The Walking Dead,476768,6,375973,4
Marvel's Avengers,436266,6,351230,5
Pokemon Sword,408470,6,340417,6
Star Wars: The Rise of Skywalker,397878,6,353046,7
Tom Clancy's Ghost Recon Breakpoint,305316,6,261607,8
Supergirl,252897,6,252897,9
Magic: The Gathering,1790291,7,1775539,0
Joker,1404828,7,1036467,1
Captain Marvel,799821,7,626344,2
Transformers,582803,7,582803,3
The Walking Dead,522883,7,476768,4
Marvel's Avengers,494189,7,436266,5
Pokemon Sword,425838,7,408470,6
Star Wars: The Rise of Skywalker,425416,7,397878,7
Tom Clancy's Ghost Recon Breakpoint,332024,7,305316,8
Watchmen: The Series,305385,7,#N/A,9
Magic: The Gathering,1797985,8,1790291,0
Joker,1734525,8,1404828,1
Captain Marvel,853391,8,799821,2
Transformers,582803,8,582803,3
PlayStation 5,581624,8,#N/A,4
The Walking Dead,570685,8,522883,5
Marvel's Avengers,557040,8,494189,6
Pokemon Sword,430851,8,425838,7
Star Wars: The Rise of Skywalker,425416,8,425416,8
Tom Clancy's Ghost Recon Breakpoint,343790,8,332024,9
Joker,1944438,9,1734525,0
Magic: The Gathering,1803895,9,1797985,1
Captain Marvel,861170,9,853391,2
PlayStation 5,840686,9,581624,3
Marvel's Avengers,592838,9,557040,4
The Walking Dead,587922,9,570685,5
Transformers,582803,9,582803,6
Pokemon Sword,478258,9,430851,7
Star Wars: The Rise of Skywalker,425416,9,425416,8
Other,415105,9,#N/A,9
Joker,2072710,10,1944438,0
Magic: The Gathering,1808644,10,1803895,1
PlayStation 5,1009112,10,840686,2
Captain Marvel,861170,10,861170,3
Marvel's Avengers,604938,10,592838,4
The Walking Dead,594053,10,587922,5
Transformers,582803,10,582803,6
Star Wars: The Rise of Skywalker,576715,10,425416,7
Other,491432,10,415105,8
Pokemon Sword,483637,10,478258,9
Joker,2246941,11,2072710,0
Magic: The Gathering,1808644,11,1808644,1
PlayStation 5,1115957,11,1009112,2
Captain Marvel,861170,11,861170,3
Star Wars: The Rise of Skywalker,625017,11,576715,4
Marvel's Avengers,604938,11,604938,5
The Walking Dead,594053,11,594053,6
Transformers,582803,11,582803,7
El Camino: A Breaking Bad Movie,559301,11,#N/A,8
Tom Clancy's Ghost Recon Breakpoint,511619,11,#N/A,9
Joker,2369343,12,2246941,0
Magic: The Gathering,1808644,12,1808644,1
PlayStation 5,1157411,12,1115957,2
El Camino: A Breaking Bad Movie,1151376,12,559301,3
Captain Marvel,861170,12,861170,4
Star Wars: The Rise of Skywalker,634994,12,625017,5
Marvel's Avengers,604938,12,604938,6
The Walking Dead,594053,12,594053,7
Transformers,582803,12,582803,8
Other,533023,12,#N/A,9
Joker,2606417,13,2369343,0
Magic: The Gathering,1808644,13,1808644,1
El Camino: A Breaking Bad Movie,1590794,13,1151376,2
PlayStation 5,1177231,13,1157411,3
Captain Marvel,861170,13,861170,4
Star Wars: The Rise of Skywalker,634994,13,634994,5
Marvel's Avengers,617192,13,604938,6
The Walking Dead,615906,13,594053,7
Transformers,582803,13,582803,8
Other,549378,13,533023,9
Joker,2726858,14,2606417,0
Magic: The Gathering,1808644,14,1808644,1
El Camino: A Breaking Bad Movie,1756943,14,1590794,2
PlayStation 5,1274251,14,1177231,3
Call of Duty: Modern Warfare,1054784,14,#N/A,4
Captain Marvel,861170,14,861170,5
The Walking Dead,651768,14,615906,6
Star Wars: The Rise of Skywalker,634994,14,634994,7
Fortnite,632920,14,#N/A,8
Marvel's Avengers,625500,14,617192,9
Joker,2779309,15,2726858,0
Magic: The Gathering,1808644,15,1808644,1
El Camino: A Breaking Bad Movie,1807855,15,1756943,2
Call of Duty: Modern Warfare,1458268,15,1054784,3
PlayStation 5,1385245,15,1274251,4
Fortnite,914616,15,632920,5
Captain Marvel,861170,15,861170,6
The Walking Dead,657649,15,651768,7
Star Wars: The Rise of Skywalker,634994,15,634994,8
Marvel's Avengers,625500,15,625500,9
Joker,2847484,16,2779309,0
El Camino: A Breaking Bad Movie,1819975,16,1807855,1
Magic: The Gathering,1808644,16,1808644,2
Call of Duty: Modern Warfare,1558284,16,1458268,3
PlayStation 5,1422229,16,1385245,4
Fortnite,1198389,16,914616,5
Captain Marvel,861170,16,861170,6
Star Wars: The Rise of Skywalker,676340,16,634994,7
The Walking Dead,657649,16,657649,8
Overwatch,625803,16,#N/A,9
Joker,2890049,17,2847484,0
El Camino: A Breaking Bad Movie,1838782,17,1819975,1
Magic: The Gathering,1808644,17,1808644,2
Call of Duty: Modern Warfare,1746310,17,1558284,3
PlayStation 5,1432290,17,1422229,4
Fortnite,1348565,17,1198389,5
Captain Marvel,861170,17,861170,6
Star Wars: The Rise of Skywalker,680921,17,676340,7
The Walking Dead,657649,17,657649,8
Other,648140,17,#N/A,9
Joker,3001982,18,2890049,0
El Camino: A Breaking Bad Movie,1873502,18,1838782,1
Call of Duty: Modern Warfare,1818397,18,1746310,2
Magic: The Gathering,1808644,18,1808644,3
PlayStation 5,1432290,18,1432290,4
Fortnite,1375832,18,1348565,5
Captain Marvel,861170,18,861170,6
Star Wars: The Rise of Skywalker,736179,18,680921,7
Other,669760,18,648140,8
The Walking Dead,657649,18,657649,9
Joker,3533711,19,3001982,0
Call of Duty: Modern Warfare,1914613,19,1818397,1
El Camino: A Breaking Bad Movie,1879990,19,1873502,2
Magic: The Gathering,1808644,19,1808644,3
PlayStation 5,1432290,19,1432290,4
Fortnite,1383445,19,1375832,5
Captain Marvel,861170,19,861170,6
Star Wars: The Rise of Skywalker,820228,19,736179,7
The Batman,768563,19,#N/A,8
Other,686652,19,669760,9
Joker,3828077,20,3533711,0
Call of Duty: Modern Warfare,2022202,20,1914613,1
El Camino: A Breaking Bad Movie,1888579,20,1879990,2
Magic: The Gathering,1808644,20,1808644,3
PlayStation 5,1454176,20,1432290,4
Fortnite,1387929,20,1383445,5
Star Wars: The Rise of Skywalker,869637,20,820228,6
Captain Marvel,861170,20,861170,7
The Batman,859538,20,768563,8
Star Wars: The Mandalorian,726144,20,#N/A,9
Joker,3949567,21,3828077,0
Call of Duty: Modern Warfare,2075161,21,2022202,1
El Camino: A Breaking Bad Movie,1888579,21,1888579,2
Magic: The Gathering,1808644,21,1808644,3
Star Wars: The Rise of Skywalker,1596208,21,869637,4
PlayStation 5,1475656,21,1454176,5
Fortnite,1387929,21,1387929,6
Watchmen: The Series,926016,21,#N/A,7
The Batman,881015,21,859538,8
Captain Marvel,861170,21,861170,9
Star Wars: The Rise of Skywalker,5143838,22,1596208,0
Joker,3991389,22,3949567,1
Call of Duty: Modern Warfare,2116415,22,2075161,2
El Camino: A Breaking Bad Movie,1888579,22,1888579,3
Magic: The Gathering,1808644,22,1808644,4
PlayStation 5,1475656,22,1475656,5
Fortnite,1387929,22,1387929,6
Watchmen: The Series,1063284,22,926016,7
The Batman,943088,22,881015,8
Captain Marvel,861170,22,861170,9
Star Wars: The Rise of Skywalker,5570604,23,5143838,0
Joker,4010520,23,3991389,1
Call of Duty: Modern Warfare,2150741,23,2116415,2
El Camino: A Breaking Bad Movie,1888579,23,1888579,3
Magic: The Gathering,1808644,23,1808644,4
PlayStation 5,1475656,23,1475656,5
Fortnite,1397202,23,1387929,6
Watchmen: The Series,1122893,23,1063284,7
WWE 2K20,1020058,23,#N/A,8
The Batman,956513,23,943088,9
Star Wars: The Rise of Skywalker,5680740,24,5570604,0
Joker,4051928,24,4010520,1
Call of Duty: Modern Warfare,2393557,24,2150741,2
El Camino: A Breaking Bad Movie,1888579,24,1888579,3
Magic: The Gathering,1808644,24,1808644,4
PlayStation 5,1499044,24,1475656,5
Fortnite,1402384,24,1397202,6
WWE 2K20,1233682,24,1020058,7
The Witcher,1174532,24,#N/A,8
Watchmen: The Series,1151409,24,1122893,9
Star Wars: The Rise of Skywalker,5723046,25,5680740,0
Joker,4135514,25,4051928,1
Call of Duty: Modern Warfare,3022356,25,2393557,2
El Camino: A Breaking Bad Movie,1888579,25,1888579,3
Magic: The Gathering,1808644,25,1808644,4
PlayStation 5,1504085,25,1499044,5
Fortnite,1418154,25,1402384,6
WWE 2K20,1299910,25,1233682,7
The Witcher,1237166,25,1174532,8
Watchmen: The Series,1158386,25,1151409,9
Star Wars: The Rise of Skywalker,5805245,26,5723046,0
Joker,4189590,26,4135514,1
Call of Duty: Modern Warfare,3343322,26,3022356,2
El Camino: A Breaking Bad Movie,1888579,26,1888579,3
Magic: The Gathering,1808644,26,1808644,4
PlayStation 5,1504085,26,1504085,5
Fortnite,1440635,26,1418154,6
WWE 2K20,1326254,26,1299910,7
The Witcher,1252885,26,1237166,8
Watchmen: The Series,1162768,26,1158386,9
Star Wars: The Rise of Skywalker,5855263,27,5805245,0
Joker,4240862,27,4189590,1
Call of Duty: Modern Warfare,3520679,27,3343322,2
El Camino: A Breaking Bad Movie,1888579,27,1888579,3
Magic: The Gathering,1808644,27,1808644,4
PlayStation 5,1504085,27,1504085,5
Fortnite,1447035,27,1440635,6
WWE 2K20,1340209,27,1326254,7
Watchmen: The Series,1278100,27,1162768,8
The Witcher,1252885,27,1252885,9
Star Wars: The Rise of Skywalker,5911747,28,5855263,0
Joker,4264405,28,4240862,1
Call of Duty: Modern Warfare,3637682,28,3520679,2
El Camino: A Breaking Bad Movie,1888579,28,1888579,3
Magic: The Gathering,1808644,28,1808644,4
PlayStation 5,1504085,28,1504085,5
Fortnite,1447035,28,1447035,6
Watchmen: The Series,1417935,28,1278100,7
WWE 2K20,1350099,28,1340209,8
The Outer Worlds,1276397,28,#N/A,9
Star Wars: The Rise of Skywalker,5968327,29,5911747,0
Joker,4277711,29,4264405,1
Call of Duty: Modern Warfare,3784102,29,3637682,2
El Camino: A Breaking Bad Movie,1888579,29,1888579,3
Magic: The Gathering,1808644,29,1808644,4
PlayStation 5,1569980,29,1504085,5
Fortnite,1447035,29,1447035,6
Watchmen: The Series,1444969,29,1417935,7
WWE 2K20,1358450,29,1350099,8
Star Wars: The Mandalorian,1355631,29,#N/A,9
Star Wars: The Rise of Skywalker,5991741,30,5968327,0
Joker,4289760,30,4277711,1
Call of Duty: Modern Warfare,4051856,30,3784102,2
El Camino: A Breaking Bad Movie,1888579,30,1888579,3
Magic: The Gathering,1808644,30,1808644,4
PlayStation 5,1577488,30,1569980,5
Star Wars: The Mandalorian,1490413,30,1355631,6
Fortnite,1480027,30,1447035,7
Watchmen: The Series,1451757,30,1444969,8
The Outer Worlds,1376390,30,#N/A,9
Star Wars: The Rise of Skywalker,6006037,31,5991741,0
Joker,4298414,31,4289760,1
Call of Duty: Modern Warfare,4267218,31,4051856,2
Stranger Things,2111699,31,#N/A,3
El Camino: A Breaking Bad Movie,1888579,31,1888579,4
Magic: The Gathering,1808644,31,1808644,5
The Witcher,1768114,31,#N/A,6
PlayStation 5,1577488,31,1577488,7
Death Stranding,1547367,31,#N/A,8
Star Wars: The Mandalorian,1512821,31,1490413,9
