name,value,year,last value,rank
Transformers,423116,1,423116,0
Supergirl,163272,1,163272,1
God of War,155003,1,155003,2
Star Wars: The Rise of Skywalker,115801,1,115801,3
Fire Emblem: Three Houses,98273,1,98273,4
Birds of Prey,92448,1,92448,5
Pokemon Sword,87207,1,87207,6
Borderlands 3,86129,1,86129,7
NECA,85397,1,85397,8
Destiny 2: Shadowkeep,81513,1,81513,9
Star Wars: The Rise of Skywalker,151857,2,115801,0
The Last of Us Part II,125867,2,#N/A,1
Transformers,119228,2,423116,2
Joker,113974,2,#N/A,3
Overwatch,108955,2,#N/A,4
Spider-Man: Far From Home,103866,2,#N/A,5
Call of Duty: Modern Warfare,91504,2,#N/A,6
Supergirl,79787,2,163272,7
House of X,69188,2,#N/A,8
God of War,61750,2,155003,9
Magic: The Gathering,1439453,3,#N/A,0
Halo Infinite,203319,3,#N/A,1
The Walking Dead,176831,3,#N/A,2
Joker,128786,3,113974,3
Captain Marvel,75463,3,#N/A,4
Stan Lee,68810,3,#N/A,5
Yooka-Laylee and the Impossible Lair,67611,3,#N/A,6
Avatar,66367,3,#N/A,7
Birds of Prey and the Fantabulous Emancipation of one Harley Quinn,64325,3,#N/A,8
Star Wars: The Rise of Skywalker,61923,3,151857,9
Magic: The Gathering,257610,4,1439453,0
Joker,183576,4,128786,1
Tom Clancy's Ghost Recon Breakpoint,147600,4,#N/A,2
Captain Marvel,106576,4,75463,3
Red Dead Redemption 2,104483,4,#N/A,4
Marvel's Avengers,96697,4,#N/A,5
The Irishman,83962,4,#N/A,6
Death Stranding,77225,4,#N/A,7
Spider-Man: Far From Home,70648,4,#N/A,8
The Walking Dead,64710,4,176831,9
Joker,257216,5,183576,0
Marvel's Avengers,254533,5,96697,1
Pokemon Sword,170412,5,#N/A,2
Star Trek: Picard,133427,5,#N/A,3
The Walking Dead,128030,5,64710,4
Captain Marvel,112597,5,106576,5
No Time To Die,98301,5,#N/A,6
Star Wars: The Mandalorian,56175,5,#N/A,7
Magic: The Gathering,52584,5,257610,8
Tom Clancy's Ghost Recon Breakpoint,46963,5,46963,9
Joker,348033,6,257216,0
Captain Marvel,331708,6,112597,1
Watchmen: The Series,113023,6,#N/A,2
The Walking Dead,100795,6,128030,3
Marvel's Avengers,85036,6,254533,4
Star Wars: The Mandalorian,83497,6,56175,5
Star Trek: Picard,73987,6,133427,6
Pokemon Sword,68053,6,170412,7
Batwoman,62624,6,#N/A,8
WWE [PPVs],62587,6,#N/A,9
Joker,368361,7,348033,0
Captain Marvel,173477,7,331708,1
Star Wars (Hasbro),164574,7,#N/A,2
Watchmen: The Series,91821,7,113023,3
Rick and Morty,86449,7,#N/A,4
Vikings,76465,7,#N/A,5
WWE [PPVs],74450,7,62587,6
Indivisible,67606,7,#N/A,7
Marvel's Avengers,57923,7,85036,8
Other,54975,7,#N/A,9
PlayStation 5,581624,8,#N/A,0
Joker,329697,8,368361,1
BoJack Horseman,103338,8,#N/A,2
Other,98790,8,54975,3
Hearthstone: Heroes of WarCraft,88873,8,#N/A,4
Concrete Genie,75815,8,#N/A,5
Marvel's Avengers,62851,8,57923,6
Star Wars (Hasbro),55967,8,164574,7
John Wick Hex,55625,8,#N/A,8
Joker (DC Comics),54992,8,#N/A,9
PlayStation 5,259062,9,581624,0
Joker,209913,9,329697,1
Gemini Man,207037,9,#N/A,2
Red Dead Redemption 2,146704,9,#N/A,3
El Camino: A Breaking Bad Movie,104681,9,#N/A,4
Hearthstone: Heroes of WarCraft,102211,9,88873,5
Other,78470,9,98790,6
Star Wars (Hasbro),55631,9,55967,7
The Flash,52084,9,#N/A,8
Pokemon Sword,47407,9,#N/A,9
PlayStation 5,168426,10,259062,0
Star Wars: The Rise of Skywalker,151299,10,#N/A,1
Joker,128272,10,209913,2
Tom Clancy's Ghost Recon Breakpoint,113911,10,#N/A,3
Gemini Man,111109,10,207037,4
The Addams Family,88775,10,#N/A,5
El Camino: A Breaking Bad Movie,77560,10,104681,6
Other,76327,10,78470,7
Hearthstone: Heroes of WarCraft,65645,10,102211,8
Star Wars (Hasbro),57465,10,55631,9
El Camino: A Breaking Bad Movie,377060,11,77560,0
Joker,174231,11,128272,1
Asgard’s Wrath,113244,11,#N/A,2
PlayStation 5,106845,11,168426,3
Nintendo Switch,84077,11,#N/A,4
Star Wars: The Mandalorian,78002,11,#N/A,5
Apple TV+,77556,11,#N/A,6
Gemini Man,76780,11,111109,7
Star Wars Jedi Knight II: Jedi Outcast,76364,11,#N/A,8
Trine 4: The Nightmare Prince,75681,11,#N/A,9
El Camino: A Breaking Bad Movie,592075,12,377060,0
Joker,122402,12,174231,1
Apple TV+,84287,12,77556,2
Doctor Who: The Edge of Time,82004,12,#N/A,3
Trine 4: The Nightmare Prince,81890,12,75681,4
Overwatch,81317,12,#N/A,5
My Hero One's Justice 2,80092,12,#N/A,6
Mario & Sonic at the Olympic Games Tokyo 2020,79938,12,#N/A,7
Boneworks,79502,12,#N/A,8
Star Wars Jedi Knight II: Jedi Outcast,78729,12,76364,9
El Camino: A Breaking Bad Movie,439418,13,592075,0
Joker,237074,13,122402,1
Fortnite,192813,13,#N/A,2
Star Wars: The Mandalorian,81171,13,#N/A,3
My Hero One's Justice 2,79715,13,80092,4
Nintendo Switch,76866,13,#N/A,5
Star Wars Jedi Knight II: Jedi Outcast,76619,13,78729,6
Overwatch,76427,13,81317,7
Trine 4: The Nightmare Prince,76298,13,81890,8
Mario & Sonic at the Olympic Games Tokyo 2020,76063,13,79938,9
Call of Duty: Modern Warfare,875547,14,#N/A,0
Fortnite,375750,14,192813,1
Disney+,245150,14,#N/A,2
The Witcher 3: Wild Hunt,209394,14,#N/A,3
El Camino: A Breaking Bad Movie,166149,14,439418,4
Joker,120441,14,237074,5
The Batman,104932,14,#N/A,6
PlayStation 5,97020,14,#N/A,7
Mario & Sonic at the Olympic Games Tokyo 2020,86757,14,76063,8
Star Wars: The Mandalorian,86283,14,81171,9
Call of Duty: Modern Warfare,403484,15,875547,0
Fortnite,281696,15,375750,1
Overwatch,137538,15,#N/A,2
PlayStation 5,110994,15,97020,3
DOOM: Annihilation,110737,15,#N/A,4
Jay and Silent Bob Reboot,99728,15,#N/A,5
Maleficent: Mistress of Evil,93224,15,#N/A,6
Google Stadia,89748,15,#N/A,7
The Batman,87563,15,104932,8
Disney+,66896,15,245150,9
Disco Elysium,304486,16,#N/A,0
Fortnite,283773,16,281696,1
Death Stranding,234425,16,#N/A,2
Zombieland: Double Tap,203055,16,#N/A,3
Pokemon Shield,166435,16,#N/A,4
The Lion King,114217,16,#N/A,5
Little Town Hero,103792,16,#N/A,6
Call of Duty: Modern Warfare,100016,16,403484,7
The Batman,81461,16,87563,8
League of Legends,72822,16,#N/A,9
The Batman,206044,17,81461,0
Zombieland: Double Tap,200247,17,203055,1
Call of Duty: Modern Warfare,188026,17,100016,2
Fortnite,150176,17,283773,3
Pokemon Shield,136831,17,166435,4
Star Wars Jedi: Fallen Order,123660,17,#N/A,5
Disco Elysium,92885,17,304486,6
Red Dead Redemption 2,85442,17,#N/A,7
Ring Fit Adventure,67648,17,#N/A,8
Mayans MC -- Sons of Anarchy,64026,17,#N/A,9
Roseanne,325195,18,#N/A,0
The Legend of Zelda: Breath of the Wild,279451,18,#N/A,1
Pokemon Shield,207836,18,136831,2
Star Wars Jedi: Fallen Order,168863,18,123660,3
Joker,111933,18,#N/A,4
The Batman,94899,18,206044,5
Call of Duty: Modern Warfare,72087,18,188026,6
Zombieland: Double Tap,69729,18,200247,7
Star Wars: The Rise of Skywalker,55258,18,#N/A,8
South Park,50120,18,#N/A,9
Joker,531729,19,111933,0
Star Wars Jedi: Fallen Order,220138,19,168863,1
Roseanne,219290,19,325195,2
The Batman,193664,19,94899,3
Ghostbusters 3 -- Jason Reitman Project,105156,19,#N/A,4
Call of Duty: Modern Warfare,96216,19,72087,5
Star Wars: The Rise of Skywalker,84049,19,55258,6
Pokemon Shield,80037,19,207836,7
The Legend of Zelda: Breath of the Wild,76742,19,279451,8
Star Wars: The Mandalorian,39781,19,#N/A,9
Joker,294366,20,531729,0
Call of Duty: Modern Warfare,107589,20,96216,1
The Batman,90975,20,193664,2
Watchmen: The Series,84419,20,#N/A,3
Star Wars Jedi: Fallen Order,76538,20,220138,4
Game of Thrones,75594,20,#N/A,5
Arrow,67822,20,#N/A,6
Marvel's Thor: Love and Thunder,67492,20,#N/A,7
Jared Leto,54895,20,#N/A,8
Ghostbusters 3 -- Jason Reitman Project,54328,20,105156,9
Star Wars: The Rise of Skywalker,726571,21,#N/A,0
WWE 2K20,433875,21,#N/A,1
Watchmen: The Series,376872,21,84419,2
Diablo IV,129963,21,#N/A,3
J.R.R. Tolkien's The Lord of the Rings Project,122767,21,#N/A,4
Joker,121490,21,294366,5
Bloodshot,90215,21,#N/A,6
Assassin's Creed,72203,21,#N/A,7
Terminator: Dark Fate,70054,21,#N/A,8
Gemini Man,67900,21,#N/A,9
Star Wars: The Rise of Skywalker,3547630,22,726571,0
The Outer Worlds,415283,22,#N/A,1
J.R.R. Tolkien's The Lord of the Rings Project,397935,22,122767,2
WWE 2K20,240526,22,433875,3
Terminator: Dark Fate,211781,22,70054,4
Watchmen: The Series,137268,22,376872,5
The Batman,62073,22,#N/A,6
Overwatch,57442,22,#N/A,7
Joker,41822,22,121490,8
Call of Duty: Modern Warfare,41254,22,#N/A,9
The Witcher,524516,23,#N/A,0
Star Wars: The Rise of Skywalker,426766,23,3547630,1
WWE 2K20,278657,23,240526,2
J.R.R. Tolkien's The Lord of the Rings Project,183580,23,397935,3
Terminator: Dark Fate,179821,23,211781,4
Fallout 76,137030,23,#N/A,5
The Outer Worlds,118946,23,415283,6
Medievil,105916,23,#N/A,7
Super Smash Bros. Ultimate,94585,23,#N/A,8
Disney Classic Games: Aladdin and The Lion King,93703,23,#N/A,9
The Witcher,506053,24,524516,0
Call of Duty: Modern Warfare,242816,24,#N/A,1
WWE 2K20,213624,24,278657,2
The Last of Us Part II,194089,24,#N/A,3
Fallout 76,143052,24,137030,4
Star Wars: The Rise of Skywalker,110136,24,426766,5
Avengers: Infinity War,104540,24,#N/A,6
Wonder Woman 1984,86801,24,#N/A,7
Old Man Logan [2016 - Current],74653,24,#N/A,8
J.R.R. Tolkien's The Lord of the Rings Project,68293,24,183580,9
Call of Duty: Modern Warfare,628799,25,242816,0
Avengers: Infinity War,271038,25,104540,1
SpongeBob SquarePants: The Battle For Bikini Bottom Rehydrated,243581,25,#N/A,2
Fallout 76,125877,25,143052,3
The Outer Worlds,109404,25,#N/A,4
Obi-Wan Kenobi Disney Series,90220,25,#N/A,5
Joker,83586,25,#N/A,6
Half-Life 2,80802,25,#N/A,7
Call of Duty,78468,25,#N/A,8
Other,75411,25,#N/A,9
Call of Duty: Modern Warfare,320966,26,628799,0
SpongeBob SquarePants: The Battle For Bikini Bottom Rehydrated,149546,26,243581,1
The Outer Worlds,132334,26,109404,2
Daybreak,90456,26,#N/A,3
Avengers: Infinity War,84071,26,271038,4
Star Wars: The Rise of Skywalker,82199,26,#N/A,5
Game of Thrones,70144,26,#N/A,6
Half-Life 2,63530,26,80802,7
Joker,54076,26,83586,8
Marvel's Thor: Love and Thunder,42275,26,#N/A,9
BoJack Horseman,455378,27,#N/A,0
Call of Duty: Modern Warfare,177357,27,320966,1
Overwatch,147553,27,#N/A,2
Game of Thrones,122738,27,70144,3
Watchmen: The Series,115332,27,#N/A,4
The Outer Worlds,71834,27,132334,5
Saturday Night Live,54125,27,#N/A,6
Joker,51272,27,54076,7
Star Wars: The Rise of Skywalker,50018,27,82199,8
SpongeBob SquarePants: The Battle For Bikini Bottom Rehydrated,40735,27,149546,9
Stranger Things,515057,28,#N/A,0
BoJack Horseman,361405,28,455378,1
Luigi's Mansion 3,271064,28,#N/A,2
Star Wars: The Mandalorian,206973,28,#N/A,3
The Grudge [2020],165923,28,#N/A,4
Watchmen: The Series,139835,28,115332,5
Call of Duty: Modern Warfare,117003,28,177357,6
Dragon Ball Z: Kakarot,90476,28,#N/A,7
Super Smash Bros. Ultimate,87321,28,#N/A,8
Five Nights at Freddy's 2,85762,28,#N/A,9
Stranger Things,457193,29,515057,0
Star Wars: The Mandalorian,381138,29,206973,1
Star Wars -- David Benioff / D.B. Weiss Series,205151,29,#N/A,2
Game of Thrones: The Long Night,157454,29,#N/A,3
Call of Duty: Modern Warfare,146420,29,117003,4
HBO Max,132476,29,#N/A,5
Super Smash Bros. Ultimate,130351,29,87321,6
Tom Clancy's Ghost Recon Breakpoint,127323,29,#N/A,7
Game of Thrones,104682,29,#N/A,8
Star Wars Jedi: Fallen Order,92147,29,#N/A,9
Call of Duty: Modern Warfare,267754,30,146420,0
Stranger Things,210944,30,457193,1
Death Stranding,175426,30,#N/A,2
Doctor Sleep,160963,30,#N/A,3
Star Wars -- David Benioff / D.B. Weiss Series,150332,30,205151,4
Alien: Isolation,145650,30,#N/A,5
Star Wars: The Mandalorian,134782,30,381138,6
Marvel's Avengers,129963,30,#N/A,7
The Batman,91844,30,#N/A,8
Five Nights at Freddy's 2,80879,30,#N/A,9
Stranger Things,816209,31,210944,0
Death Stranding,594722,31,175426,1
The Witcher,498769,31,#N/A,2
Call of Duty: Modern Warfare,215362,31,267754,3
Star Wars -- David Benioff / D.B. Weiss Series,194330,31,150332,4
Dawn of X: Excalibur,185704,31,#N/A,5
Luigi's Mansion 3,97762,31,#N/A,6
Fire Emblem: Three Houses,91625,31,#N/A,7
The Batman,72944,31,91844,8
Game of Thrones,72727,31,#N/A,9
