name,value,year,last value,rank
PlayStation,511462,1,511462,0
Xbox,346173,1,346173,1
Nintendo,201093,1,201093,2
PlayStation,808443,2,511462,0
Xbox,799487,2,346173,1
Nintendo,464345,2,201093,2
PlayStation,773850,3,808443,0
Xbox,611360,3,799487,1
Nintendo,549485,3,464345,2
PlayStation,807242,4,773850,0
Xbox,547750,4,611360,1
Nintendo,450870,4,549485,2
PlayStation,572107,5,807242,0
Xbox,554691,5,547750,1
Nintendo,235480,5,450870,2
PlayStation,749086,6,572107,0
Xbox,706640,6,554691,1
Nintendo,221360,6,235480,2
PlayStation,596593,7,749086,0
Xbox,590659,7,706640,1
Nintendo,310768,7,221360,2
PlayStation,384817,8,596593,0
Xbox,375701,8,590659,1
Nintendo,229271,8,310768,2
PlayStation,487282,9,384817,0
Xbox,426908,9,375701,1
Nintendo,294827,9,229271,2
PlayStation,1379476,10,487282,0
Xbox,732121,10,426908,1
Nintendo,355777,10,294827,2
PlayStation,830128,11,1379476,0
Xbox,540846,11,732121,1
Nintendo,216112,11,355777,2
PlayStation,704248,12,830128,0
Xbox,510717,12,540846,1
Nintendo,179409,12,216112,2
PlayStation,953641,13,704248,0
Xbox,761118,13,510717,1
Nintendo,728840,13,179409,2
PlayStation,833928,14,953641,0
Xbox,696226,14,761118,1
Nintendo,688175,14,728840,2
PlayStation,910034,15,833928,0
Nintendo,786259,15,688175,1
Xbox,778410,15,696226,2
PlayStation,2077225,16,910034,0
Xbox,1878007,16,778410,1
Nintendo,1214548,16,786259,2
PlayStation,1214219,17,2077225,0
Xbox,1092104,17,1878007,1
Nintendo,636613,17,1214548,2
PlayStation,1007304,18,1214219,0
Nintendo,740348,18,636613,1
Xbox,723103,18,1092104,2
PlayStation,929498,19,1007304,0
Xbox,840918,19,723103,1
Nintendo,587586,19,740348,2
Nintendo,727095,20,587586,0
PlayStation,612417,20,929498,1
Xbox,578170,20,840918,2
PlayStation,566318,21,612417,0
Xbox,561774,21,578170,1
Nintendo,316059,21,727095,2
PlayStation,443070,22,566318,0
Xbox,397740,22,561774,1
Nintendo,230353,22,316059,2
Xbox,917161,23,397740,0
PlayStation,854283,23,443070,1
Nintendo,178954,23,230353,2
Xbox,804390,24,917161,0
PlayStation,786624,24,854283,1
Nintendo,332417,24,178954,2
PlayStation,1133443,25,786624,0
Xbox,1015570,25,804390,1
Nintendo,412334,25,332417,2
PlayStation,1309099,26,1133443,0
Xbox,1076797,26,1015570,1
Nintendo,407547,26,412334,2
PlayStation,1637335,27,1309099,0
Xbox,1550352,27,1076797,1
Nintendo,601842,27,407547,2
PlayStation,940708,28,1637335,0
Xbox,899615,28,1550352,1
Nintendo,471489,28,601842,2
PlayStation,649127,29,940708,0
Xbox,611423,29,899615,1
Nintendo,364500,29,471489,2
PlayStation,685250,30,649127,0
Xbox,576994,30,611423,1
Nintendo,568011,30,364500,2
