name,value,year,last value,rank
Joker,336798,1,336798,0
Fire Emblem: Three Houses,236173,1,236173,1
Cyberpunk 2077,61538,1,61538,2
The Dark Crystal: Age of Resistance,49013,1,49013,3
Super Smash Bros. Ultimate,46588,1,46588,4
Avengers: Endgame,46298,1,46298,5
Star Wars: The Rise of Skywalker,45234,1,45234,6
Star Wars: The Mandalorian,32633,1,32633,7
Borderlands 3,20729,1,20729,8
Other,12401,1,12401,9
Joker,695576,2,336798,0
Fire Emblem: Three Houses,373747,2,236173,1
Star Wars: The Mandalorian,333109,2,32633,2
Star Wars: The Rise of Skywalker,119649,2,45234,3
Avengers: Endgame,107132,2,46298,4
Cyberpunk 2077,94845,2,61538,5
The Dark Crystal: Age of Resistance,75406,2,49013,6
Super Smash Bros. Ultimate,69963,2,46588,7
Borderlands 3,35712,2,20729,8
Other,35309,2,12401,9
Joker,885332,3,695576,0
Fire Emblem: Three Houses,458884,3,373747,1
Star Wars: The Mandalorian,457737,3,333109,2
Star Wars: The Rise of Skywalker,354962,3,119649,3
Stephen King's IT Chapter Two,252623,3,#N/A,4
The Batman,135687,3,#N/A,5
Avengers: Endgame,135146,3,107132,6
Cyberpunk 2077,133801,3,94845,7
The Legend of Zelda: Link's Awakening,120877,3,#N/A,8
Pokemon Trading Card Game,108429,3,#N/A,9
Joker,942809,4,885332,0
Star Wars: Galaxy's Edge,879197,4,#N/A,1
Star Wars: The Mandalorian,587669,4,457737,2
Fire Emblem: Three Houses,531864,4,458884,3
Star Wars: The Rise of Skywalker,462863,4,354962,4
Stephen King's IT Chapter Two,303346,4,252623,5
Gears 5,296599,4,#N/A,6
Nintendo Switch,233702,4,#N/A,7
Cyberpunk 2077,193051,4,133801,8
Pokemon Trading Card Game,177904,4,108429,9
Star Wars: Galaxy's Edge,1309811,5,879197,0
Joker,959215,5,942809,1
Star Wars: The Mandalorian,668422,5,587669,2
Fire Emblem: Three Houses,574281,5,531864,3
Nintendo Switch,558890,5,233702,4
Star Wars: The Rise of Skywalker,477929,5,462863,5
Gears 5,375241,5,296599,6
Stephen King's IT Chapter Two,336146,5,303346,7
Deadly Premonition 2: A Blessing in Disguise,235614,5,#N/A,8
Super Smash Bros. Ultimate,224957,5,224957,9
Star Wars: Galaxy's Edge,1413835,6,1309811,0
Joker,969820,6,959215,1
Nintendo Switch,725619,6,558890,2
God of War,717457,6,#N/A,3
Star Wars: The Mandalorian,691327,6,668422,4
Fire Emblem: Three Houses,588959,6,574281,5
Star Wars: The Rise of Skywalker,482939,6,477929,6
Gears 5,437876,6,375241,7
Stephen King's IT Chapter Two,423251,6,336146,8
