name,value,year,last value,rank
Assassin's Creed Odyssey,191796,1,191796,0
Call of Duty: Modern Warfare,101492,1,101492,1
The Last of Us,45750,1,45750,2
Call of Duty: Black Ops 4,34792,1,34792,3
Assassin's Creed Origins,31664,1,31664,4
Assassin's Creed IV: Black Flag,29711,1,29711,5
Call of Duty: Black Ops II,26215,1,26215,6
Assassin's Creed III,26166,1,26166,7
Far Cry 5,20970,1,20970,8
Cyberpunk 2077,20769,1,20769,9
Call of Duty: Modern Warfare,351795,2,101492,0
Assassin's Creed Odyssey,266437,2,191796,1
Cyberpunk 2077,133385,2,20769,2
Assassin's Creed Origins,61545,2,31664,3
The Last of Us,59923,2,45750,4
Call of Duty: Black Ops 4,49702,2,34792,5
Assassin's Creed IV: Black Flag,41535,2,29711,6
Assassin's Creed III,38539,2,26166,7
Assassin's Creed II,36977,2,#N/A,8
Call of Duty: Black Ops II,36918,2,26215,9
Cyberpunk 2077,337338,3,133385,0
Assassin's Creed Odyssey,224808,3,266437,1
Assassin's Creed Valhalla,191020,3,#N/A,2
Call of Duty: Modern Warfare,183020,3,351795,3
Doom Eternal,104938,3,#N/A,4
The Last of Us,51401,3,59923,5
Assassin's Creed Origins,46420,3,61545,6
Call of Duty: Black Ops 4,37615,3,49702,7
Assassin's Creed IV: Black Flag,36415,3,41535,8
Tom Clancy's Rainbow Six Siege,36253,3,#N/A,9
Assassin's Creed Odyssey,223411,4,224808,0
Cyberpunk 2077,217320,4,337338,1
Doom Eternal,185765,4,104938,2
Call of Duty: Modern Warfare,179344,4,183020,3
The Last of Us,136524,4,51401,4
Assassin's Creed Origins,41442,4,46420,5
Call of Duty: Black Ops 4,40016,4,37615,6
Assassin's Creed IV: Black Flag,39929,4,36415,7
Call of Duty: Black Ops II,35285,4,#N/A,8
Assassin's Creed III,33356,4,33356,9
Assassin's Creed Odyssey,224494,5,223411,0
Tom Clancy's Ghost Recon Breakpoint,100750,5,#N/A,1
Call of Duty: Modern Warfare,91671,5,179344,2
Doom Eternal,74469,5,185765,3
The Last of Us,57386,5,136524,4
Resident Evil Resistance,43852,5,#N/A,5
Assassin's Creed Origins,40142,5,41442,6
Assassin's Creed IV: Black Flag,39428,5,39929,7
Call of Duty: Black Ops 4,38156,5,40016,8
Call of Duty: Black Ops II,37569,5,37569,9
Assassin's Creed Odyssey,213595,6,224494,0
Call of Duty: Modern Warfare,135724,6,91671,1
Doom Eternal,123592,6,74469,2
The Last of Us Part II,112790,6,#N/A,3
Cyberpunk 2077,49034,6,#N/A,4
The Last of Us,46902,6,57386,5
Assassin's Creed Origins,38605,6,40142,6
Assassin's Creed IV: Black Flag,37032,6,39428,7
Call of Duty: Black Ops 4,36816,6,38156,8
Assassin's Creed III,35726,6,#N/A,9
Call of Duty: Modern Warfare,226497,7,135724,0
